Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_630_95,630,95,TimeTrack,LSTM,630,2.4094,58.32,22.39,12.05,0.010008669493323411,0.0003189446163606323,4.9568482019688975
Size_630_95,630,95,TimeTrack,GRU,630,2.0283,44.25,19.93,11.92,0.008804433368989265,0.00029224295329581215,4.30121807367949
Size_630_95,630,95,TimeTrack,RNN,630,1.4742,17.08,19.1,13.31,0.009786678960312833,0.00031999006131903566,4.828042787827573
Size_630_95,630,95,TimeTrack,CNN,630,0.6327,10.87,13.29,9.2,0.010156805377747885,0.00032500797361495,5.063276174781655
Size_630_95,630,95,TimeTrack,TCN,630,1.9013,25.66,20.78,15.23,0.010018891152930762,0.0003211302935711442,4.958941357934883
Size_630_95,630,95,TimeTrack,Transformer,630,2.7621,12.34,21.6,14.86,0.009310345495514105,0.00032779783257992493,4.54358432294625
Size_630_95,630,95,TimeTrack,MLP,630,0.8853,2.68,14.95,9.65,0.009230909452371865,0.0002940884664298494,4.5698944450749
Size_630_95,630,95,Dataset2,LSTM,95,1.2861,40.53,14.12,8.56,0.013896688941312312,0.000620726246237963,13.683425870256372
Size_630_95,630,95,Dataset2,GRU,95,1.5396,43.55,14.95,9.3,0.015560602516462508,0.0005447169050271541,17.37166836840623
Size_630_95,630,95,Dataset2,RNN,95,1.2832,8.77,14.12,10.24,0.014513790274529032,0.00029986608460201873,20.565857345556825
Size_630_95,630,95,Dataset2,CNN,95,0.9471,8.73,12.44,9.19,0.016327933708574903,0.0004048535697783142,20.250513715842544
Size_630_95,630,95,Dataset2,TCN,95,0.7379,30.81,14.07,8.51,0.013694364312523011,0.0005810158393651928,13.929687788695452
Size_630_95,630,95,Dataset2,Transformer,95,1.4175,24.33,14.94,10.48,0.013626433189298862,0.000569308801813802,13.898516016462986
Size_630_95,630,95,Dataset2,MLP,95,1.0083,0.67,11.62,8.88,0.014165998925342415,0.00029980622505518045,19.843223306050042
Size_630_95,630,95,Dataset3,LSTM,95,1.3778,41.11,14.12,8.77,0.047630009298222295,0.003236276390947767,22.577179146949515
Size_630_95,630,95,Dataset3,GRU,95,1.3914,40.02,14.95,9.1,0.08254520429636371,0.00866873604283254,41.68149791019925
Size_630_95,630,95,Dataset3,RNN,95,0.7018,13.19,10.79,7.53,0.08541081979398119,0.01087807030483736,39.52499348932071
Size_630_95,630,95,Dataset3,CNN,95,1.0965,7.24,10.78,7.9,0.08383468987470237,0.009482004454398316,42.21199617761797
Size_630_95,630,95,Dataset3,TCN,95,0.7572,42.75,14.96,8.39,0.07488723717481968,0.007444577778038898,37.54159570138606
Size_630_95,630,95,Dataset3,Transformer,95,1.5404,13.96,14.12,10.4,0.14052750722890042,0.02312409090292533,56.77769580598855
Size_630_95,630,95,Dataset3,MLP,95,0.6936,8.25,9.97,7.56,0.06083939642587057,0.00576012896660715,29.877536515281296
Size_1260_189,1260,189,TimeTrack,LSTM,1260,2.0263,34.5,22.16,13.08,0.004549780278009292,3.386506615364683e-05,2.464035009499725
Size_1260_189,1260,189,TimeTrack,GRU,1260,1.8717,31.74,18.28,12.27,0.004589824987393351,3.564387733597906e-05,2.5036911546686844
Size_1260_189,1260,189,TimeTrack,RNN,1260,1.0518,11.56,17.45,11.42,0.005169443813855263,4.073637454136249e-05,2.7817038962066323
Size_1260_189,1260,189,TimeTrack,CNN,1260,1.7063,7.95,14.12,11.5,0.004703294205392471,3.51590074558394e-05,2.541471414654345
Size_1260_189,1260,189,TimeTrack,TCN,1260,1.7459,17.68,24.91,15.96,0.004574230815544779,3.395755642303033e-05,2.475659600205383
Size_1260_189,1260,189,TimeTrack,Transformer,1260,2.1109,22.55,24.82,15.18,0.004511189342200025,3.3392740516494466e-05,2.4428417002560563
Size_1260_189,1260,189,TimeTrack,MLP,1260,1.237,38.18,14.11,9.64,0.005060955585513844,4.084018508369103e-05,2.7381884813072483
Size_1260_189,1260,189,Dataset2,LSTM,189,1.3733,19.93,15.78,9.12,0.02789987302870922,0.0011036235618631625,29.947764302461334
Size_1260_189,1260,189,Dataset2,GRU,189,1.3284,38.88,16.6,9.19,0.031052211816622537,0.001239572054506854,34.25449031252358
