timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779186629246,Dl6Zl,0,0,0.04159313067793846,0.04159313067793846,0.2034347951412201,406.8046569824219
1779186642579,oBUyP,1,0,0.009271213784813881,0.009271213784813881,0.09507738798856735,194.5765380859375
1779186650579,sBBR1,2,0,0.0004338586004450917,0.0004338586004450917,0.016800863668322563,37.876441955566406
1779186656863,YRvGx,3,0,0.00021450628992170095,0.00021450628992170095,0.011402931064367294,24.61600112915039
1779186676328,Xsl3N,4,0,0.028474077582359314,0.028474077582359314,0.16806548833847046,337.445556640625
1779187111835,gdqrz,5,0,0.010348661802709103,0.010348661802709103,0.10052984952926636,204.79623413085938
1779187137257,Sa9fE,6,0,0.09989535063505173,0.09989535063505173,0.315733939409256,627.0148315429688
1779187145423,oYksj,7,0,0.0016516473842784762,0.0016516473842784762,0.03796613961458206,82.36009979248047
1779187169674,F8epr,8,0,0.0031606557313352823,0.0031606557313352823,0.054230041801929474,114.37391662597656
1779187179846,ENBPT,9,0,0.010501819662749767,0.010501819662749767,0.09798745065927505,199.5772247314453
1779187386912,N6NVG,10,0,0.09356413781642914,0.09356413781642914,0.30554333329200745,607.0316772460938
1779187403841,s9wMr,11,0,0.004488077014684677,0.004488077014684677,0.05336824432015419,104.26544952392578
1779187424488,Um4h8,12,0,0.07586214691400528,0.07586214691400528,0.27505406737327576,547.2445068359375
1779187503395,dpEMG,13,0,0.014114095829427242,0.014114095829427242,0.11789586395025253,239.12771606445312
1779187547582,WPWfZ,14,0,0.017352785915136337,0.017352785915136337,0.13090895116329193,264.713134765625
1779187559777,OnR6T,15,0,0.003555655712261796,0.003555655712261796,0.05666620656847954,118.9537582397461
1779187576403,srijx,16,0,0.12829618155956268,0.12829618155956268,0.3578948974609375,709.6890869140625
1779187616463,D8jCb,17,0,0.021760625764727592,0.021760625764727592,0.14676102995872498,295.8253479003906
1779187635534,ZscSC,18,0,0.004851312842220068,0.004851312842220068,0.06780681014060974,141.10777282714844
1779187650932,xqRqC,19,0,0.038963109254837036,0.038963109254837036,0.1944996863603592,387.4344177246094
1779187658172,Wh2iX,20,0,0.13262487947940826,0.13262487947940826,0.3638920485973358,721.4502563476562
1779187664135,dTxJy,21,0,0.11974666267633438,0.11974666267633438,0.34574443101882935,685.8640747070312
1779187670847,xFsSm,22,0,0.00026668599457480013,0.00026668599457480013,0.012881804257631302,23.289270401000977
1779187676120,ZWaTA,23,0,0.03224976360797882,0.03224976360797882,0.17896687984466553,358.9797668457031
1779187680812,ekBtT,24,0,0.0037904689088463783,0.0037904689088463783,0.05972355976700783,109.15355682373047
1779187686200,AIMex,25,0,0.00040145180537365377,0.00040145180537365377,0.016347507014870644,27.574302673339844
1779187692604,hercz,26,0,0.0002667403023224324,0.0002667403023224324,0.01292639970779419,29.302404403686523
1779187699217,c47ue,27,0,0.015364181250333786,0.015364181250333786,0.12308937311172485,249.29896545410156
1779187706184,gHiyr,28,0,0.0014436154160648584,0.0014436154160648584,0.03502871096134186,75.6626205444336
1779187724793,xSP8h,29,0,0.12742412090301514,0.12742412090301514,0.35667455196380615,707.2963256835938
1779187730543,DP7Kn,30,0,0.00031159495119936764,0.00031159495119936764,0.014304440468549728,32.844276428222656
1779187735268,MoVBl,31,0,0.001192221767269075,0.001192221767269075,0.031397294253110886,53.72724151611328
1779187740438,vqpXF,32,0,0.0009144263458438218,0.0009144263458438218,0.02722027711570263,60.73216247558594
1779187753444,u7aBw,33,0,0.2020464539527893,0.2020464539527893,0.4492381811141968,888.7413940429688
1779187758852,KdC1u,34,0,0.00469953753054142,0.00469953753054142,0.06612744927406311,138.03884887695312
1779187765621,nlqIw,35,0,0.0008803890668787062,0.0008803890668787062,0.026718534529209137,59.6231689453125
1779187780257,VCdkG,36,0,0.012479828670620918,0.012479828670620918,0.11075669527053833,225.1483917236328
1779187788590,ltT0t,37,0,0.021843424066901207,0.021843424066901207,0.14694780111312866,296.58477783203125
1779187794520,V1UVK,38,0,0.00020864351245108992,0.00020864351245108992,0.011131449602544308,22.567514419555664
1779187802863,JzH3H,39,0,0.15272819995880127,0.15272819995880127,0.3905394673347473,773.6777954101562
1779187808193,PF9Os,40,0,0.0002089361078105867,0.0002089361078105867,0.011126091703772545,22.30260467529297
1779187814181,OUaBs,41,0,0.04841325804591179,0.04841325804591179,0.21956121921539307,438.3937072753906
1779187820237,W14RE,42,0,0.09344610571861267,0.09344610571861267,0.3053455352783203,606.6648559570312
1779187825654,Wz3Ql,43,0,0.10990603268146515,0.10990603268146515,0.3312074542045593,657.35986328125
1779187831350,aTCzj,44,0,0.0006346325390040874,0.0006346325390040874,0.02121295966207981,35.29770278930664
1779187836427,IfUBI,45,0,0.018404388800263405,0.018404388800263405,0.13487331569194794,272.383056640625
1779187845000,bXW4B,46,0,0.1588645577430725,0.1588645577430725,0.3983174264431,788.9492797851562
1779187873019,EmVWA,47,0,0.0034597727935761213,0.0034597727935761213,0.0569491870701313,119.68157958984375
1779187880844,qh6eY,48,0,0.025205425918102264,0.025205425918102264,0.1580878347158432,317.9654541015625
1779187887317,mxAaa,49,0,0.1314680129289627,0.1314680129289627,0.3622990548610687,718.3253173828125
1779187896340,YygoH,50,0,0.025649476796388626,0.025649476796388626,0.15948501229286194,320.7206115722656
1779187907397,VE3oZ,51,0,0.0004749086801894009,0.0004749086801894009,0.018021415919065475,30.03803253173828
1779187915361,Jt6ci,52,0,0.12777182459831238,0.12777182459831238,0.35716259479522705,708.2371826171875
1779187930367,AwzSX,53,0,0.004416456446051598,0.004416456446051598,0.06477891653776169,135.06027221679688
1779187941507,ja8l0,54,0,0.0006758730742149055,0.0006758730742149055,0.0227745920419693,51.41554260253906
1779187959445,SDb1A,55,0,0.0003452374367043376,0.0003452374367043376,0.015005397610366344,25.750505447387695
1779187972617,HHAR9,56,0,0.004922956693917513,0.004922956693917513,0.06860378384590149,142.5420379638672
1779188012061,RNbvb,57,0,0.26532503962516785,0.26532503962516785,0.5148957371711731,1017.5557861328125
1779188019607,pgpJl,58,0,0.10667302459478378,0.10667302459478378,0.32628971338272095,647.732177734375
1779188031842,rTQbN,59,0,0.01011728961020708,0.01011728961020708,0.0995030626654625,203.1256866455078
1779188037645,IelhQ,60,0,0.130255788564682,0.130255788564682,0.3606221079826355,715.0393676757812
1779188053495,pfdNx,61,0,0.20889100432395935,0.20889100432395935,0.4565250277519226,888.6679077148438
1779188060213,L6p9X,62,0,0.014867446385324001,0.014867446385324001,0.12097495049238205,245.41114807128906
1779188076291,zkds4,63,0,0.005601437762379646,0.005601437762379646,0.07343200594186783,151.9193878173828
1779188084655,KMX9I,64,0,0.00026405081734992564,0.00026405081734992564,0.01298912800848484,29.454753875732422
1779188092646,qICOv,65,0,0.013056142255663872,0.013056142255663872,0.11327856779098511,230.12762451171875
1779188099867,Qkgk1,66,0,0.011817296966910362,0.011817296966910362,0.10769128054380417,219.2060546875
1779188106041,eMZVa,67,0,0.011793583631515503,0.011793583631515503,0.10759594291448593,218.9875946044922
1779188113826,NxQtF,68,0,0.012102904729545116,0.012102904729545116,0.10900886356830597,221.79884338378906
1779188120358,Xtk0e,69,0,0.016389261931180954,0.016389261931180954,0.12716537714004517,257.3792724609375
1779188127230,WLYKX,70,0,0.001353712985292077,0.001353712985292077,0.03386581689119339,58.54142761230469
1779188132896,MOBPh,71,0,0.0005349815473891795,0.0005349815473891795,0.019287271425127983,31.956037521362305
1779188144269,wMrwX,72,0,0.006933837663382292,0.006933837663382292,0.08199837803840637,168.7318878173828
1779188159300,jIUCe,73,0,0.0054620434530079365,0.0054620434530079365,0.07241033762693405,149.98281860351562
1779188164028,jXwxT,74,0,0.00044870260171592236,0.00044870260171592236,0.016559768468141556,31.4655704498291
1779188168601,pniD3,75,0,0.00031081141787581146,0.00031081141787581146,0.014243502169847488,32.4046630859375
1779188173579,Igddy,76,0,0.001540082972496748,0.001540082972496748,0.03650029003620148,63.68080139160156
1779188181135,RK4s5,77,0,0.006179776042699814,0.006179776042699814,0.07668863981962204,158.44125366210938
1779188186153,I1EzJ,78,0,0.17670638859272003,0.17670638859272003,0.4201177656650543,831.70263671875
1779188191055,oxOqf,79,0,0.0030566793866455555,0.0030566793866455555,0.053138021379709244,96.39242553710938
1779188208151,uyEyY,80,0,0.0022939839400351048,0.0022939839400351048,0.045293036848306656,96.95443725585938
1779188216427,qnKKz,81,0,0.13042770326137543,0.13042770326137543,0.36086052656173706,715.5047607421875
1779188223582,jp4ZT,82,0,0.01712263561785221,0.01712263561785221,0.13002553582191467,262.9071044921875
1779188250922,YNRIa,83,0,0.04830807074904442,0.04830807074904442,0.21931149065494537,438.0068359375
1779188265297,fHDLK,84,0,0.002264350885525346,0.002264350885525346,0.0442524179816246,94.45490264892578
1779188273889,nXu61,85,0,0.11466589570045471,0.11466589570045471,0.3383105993270874,671.2857666015625
1779188286021,BeanA,86,0,0.011899353004992008,0.011899353004992008,0.10809788107872009,219.92352294921875
1779188343758,jy0iO,87,0,0.005968617741018534,0.005968617741018534,0.07577849179506302,156.69647216796875
1779188355523,wXLQc,88,0,0.1488199681043625,0.1488199681043625,0.38550296425819397,763.826416015625
