timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779129056275,EAC6u,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/EAC6u,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779129068145,EAC6u,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/EAC6u,0,,local-env,,,,,,,,,,,
1779129068813,xSg40,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/xSg40,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779129081570,xSg40,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/xSg40,1,,local-env,,,,,,,,,,,
1779129082361,kqIDk,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/kqIDk,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779129089293,kqIDk,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/kqIDk,2,,local-env,,,,,,,,,,,
1779129089889,d8Fn2,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/d8Fn2,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779129098256,d8Fn2,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/d8Fn2,3,,local-env,,,,,,,,,,,
1779129098923,iLpOK,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/iLpOK,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779129107694,iLpOK,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/iLpOK,4,,local-env,,,,,,,,,,,
1779129108462,GV8lY,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/GV8lY,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779129116844,GV8lY,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/GV8lY,5,,local-env,,,,,,,,,,,
1779129117503,dlEG2,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/dlEG2,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779129124745,dlEG2,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/dlEG2,6,,local-env,,,,,,,,,,,
1779129125543,Nahus,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/Nahus,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779129132536,Nahus,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/Nahus,7,,local-env,,,,,,,,,,,
1779129133083,hrsr7,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/hrsr7,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779129139633,hrsr7,SUCCEEDED,,,,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/hrsr7,8,,local-env,,,,,,,,,,,
1779129140624,NRKVX,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/8vs2team/environments/local-env/trials/NRKVX,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
