timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779170191140,g9WMR,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/g9WMR,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779170202399,g9WMR,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/g9WMR,0,,local-env,,,,,,,,,,,
1779170203191,WiS0a,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/WiS0a,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779170214158,WiS0a,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/WiS0a,1,,local-env,,,,,,,,,,,
1779170214727,Q28IF,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/Q28IF,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779170225825,Q28IF,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/Q28IF,2,,local-env,,,,,,,,,,,
1779170226759,k6sbI,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/k6sbI,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779170237440,k6sbI,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/k6sbI,3,,local-env,,,,,,,,,,,
1779170238297,jkjFc,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/jkjFc,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779170249513,jkjFc,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/jkjFc,4,,local-env,,,,,,,,,,,
1779170250339,m8ys4,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/m8ys4,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779170261140,m8ys4,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/m8ys4,5,,local-env,,,,,,,,,,,
1779170261868,MGeeE,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/MGeeE,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779170272853,MGeeE,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/MGeeE,6,,local-env,,,,,,,,,,,
1779170273401,zVIYt,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/zVIYt,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779170284064,zVIYt,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/zVIYt,7,,local-env,,,,,,,,,,,
1779170284935,KMZNW,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/KMZNW,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779170295840,KMZNW,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/KMZNW,8,,local-env,,,,,,,,,,,
1779170296475,w7TW7,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/w7TW7,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779170306992,w7TW7,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/w7TW7,9,,local-env,,,,,,,,,,,
1779170307514,mJ8M5,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/mJ8M5,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779170318276,mJ8M5,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/mJ8M5,10,,local-env,,,,,,,,,,,
1779170319056,Mevi2,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/Mevi2,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779170329352,Mevi2,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/Mevi2,11,,local-env,,,,,,,,,,,
1779170330091,ZeCwe,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/ZeCwe,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779170345869,ZeCwe,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/ZeCwe,12,,local-env,,,,,,,,,,,
1779170346633,tajW4,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/tajW4,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779170362882,tajW4,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/tajW4,13,,local-env,,,,,,,,,,,
1779170363676,sBZwf,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/sBZwf,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779170379548,sBZwf,SUCCEEDED,,,,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/sBZwf,14,,local-env,,,,,,,,,,,
1779170380212,yY0K1,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/y8bsu7fq/environments/local-env/trials/yY0K1,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
