timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779138130736,rLbMr,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/rLbMr,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779138136953,rLbMr,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/rLbMr,0,,local-env,,,,,,,,,,,
1779138137765,ih3Kk,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/ih3Kk,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779138143909,ih3Kk,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/ih3Kk,1,,local-env,,,,,,,,,,,
1779138144791,dAvYj,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/dAvYj,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779138150035,dAvYj,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/dAvYj,2,,local-env,,,,,,,,,,,
1779138150815,UORF6,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/UORF6,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779138157411,UORF6,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/UORF6,3,,local-env,,,,,,,,,,,
1779138158345,iGPzE,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/iGPzE,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779138163945,iGPzE,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/iGPzE,4,,local-env,,,,,,,,,,,
1779138164868,pquEm,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/pquEm,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779138171358,pquEm,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/pquEm,5,,local-env,,,,,,,,,,,
1779138171900,qNx34,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/qNx34,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779138178078,qNx34,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/qNx34,6,,local-env,,,,,,,,,,,
1779138178929,Fb4DJ,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/Fb4DJ,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779138184758,Fb4DJ,SUCCEEDED,,,,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/Fb4DJ,7,,local-env,,,,,,,,,,,
1779138185467,rCbbI,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/37rbi405/environments/local-env/trials/rCbbI,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
