timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779131465995,KEEGi,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/KEEGi,0,,local-env,LSTM,128,1,0.5,elu,0.0006409397518122487,13,32,15,5,2
1779131477102,KEEGi,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/KEEGi,0,,local-env,,,,,,,,,,,
1779131478036,LTwse,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/LTwse,1,,local-env,RNN,64,3,0.5,elu,0.009367449226718953,13,128,15,5,2
1779131486600,LTwse,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/LTwse,1,,local-env,,,,,,,,,,,
1779131487581,U48ob,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/U48ob,2,,local-env,RNN,16,2,0.5,sigmoid,0.00013269632546009628,8,128,20,2,2
1779131495025,U48ob,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/U48ob,2,,local-env,,,,,,,,,,,
1779131495613,Wx2dy,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/Wx2dy,3,,local-env,RNN,64,1,0,sigmoid,0.00021986416192755799,13,64,15,5,2
1779131502061,Wx2dy,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/Wx2dy,3,,local-env,,,,,,,,,,,
1779131502647,gsewI,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/gsewI,4,,local-env,TCN,16,3,0.1,relu,0.0002485610795801309,4,32,15,7,2
1779131509934,gsewI,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/gsewI,4,,local-env,,,,,,,,,,,
1779131510678,T4BmB,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/T4BmB,5,,local-env,LSTM,128,1,0.5,tanh,0.005150256760458141,13,32,15,5,2
1779131522029,T4BmB,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/T4BmB,5,,local-env,,,,,,,,,,,
1779131522709,HKj8H,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/HKj8H,6,,local-env,LSTM,128,3,0.5,elu,0.000471319863251452,13,32,15,7,2
1779131545320,HKj8H,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/HKj8H,6,,local-env,,,,,,,,,,,
1779131546244,V7tC0,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/V7tC0,7,,local-env,MLP,128,1,0.5,elu,0.0009467090296716656,13,32,15,5,4
1779131552031,V7tC0,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/V7tC0,7,,local-env,,,,,,,,,,,
1779131552785,ngw5d,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/ngw5d,8,,local-env,GRU,128,3,0.5,relu,0.00016073111160921742,27,32,15,7,2
1779131584174,ngw5d,SUCCEEDED,,,,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/ngw5d,8,,local-env,,,,,,,,,,,
1779131584843,wEXZ2,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/zamwxvdy/environments/local-env/trials/wEXZ2,9,,local-env,LSTM,256,1,0.5,relu,0.002838834622918722,13,32,10,5,4
