timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779134077861,whCKp,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/whCKp,0,,local-env,Transformer,64,2,0,relu,8.834116075175045e-05,17,32,20,3,2
1779134127223,whCKp,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/whCKp,0,,local-env,,,,,,,,,,,
1779134127954,mRajY,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/mRajY,1,,local-env,Transformer,16,2,0.2,relu,0.0026075988348219347,20,128,15,3,4
1779134141547,mRajY,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/mRajY,1,,local-env,,,,,,,,,,,
1779134142501,gseNe,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/gseNe,2,,local-env,Transformer,64,2,0.5,elu,0.001114053360031608,20,16,10,3,2
1779134189555,gseNe,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/gseNe,2,,local-env,,,,,,,,,,,
1779134190109,k5IGl,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/k5IGl,3,,local-env,MLP,256,3,0.1,elu,0.0002887959978975655,26,32,20,3,2
1779134200888,k5IGl,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/k5IGl,3,,local-env,,,,,,,,,,,
1779134201654,qR9H2,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/qR9H2,4,,local-env,Transformer,256,3,0.3,sigmoid,0.002078908596679364,8,128,5,3,4
1779134229786,qR9H2,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/qR9H2,4,,local-env,,,,,,,,,,,
1779134230736,LExZh,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/LExZh,5,,local-env,Transformer,128,4,0.3,tanh,0.003091157496188144,14,16,20,7,8
1779134453138,LExZh,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/LExZh,5,,local-env,,,,,,,,,,,
1779134453996,ufgI0,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/ufgI0,6,,local-env,Transformer,256,3,0.3,tanh,0.0007037307704050046,29,32,5,2,8
1779134584467,ufgI0,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/ufgI0,6,,local-env,,,,,,,,,,,
1779134585205,UYwgr,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/UYwgr,7,,local-env,TCN,256,3,0.5,elu,0.0003931582071424283,26,32,10,7,2
1779134630393,UYwgr,SUCCEEDED,,,,/home/meliani/nni-experiments/4edkf6m2/environments/local-env/trials/UYwgr,7,,local-env,,,,,,,,,,,
