timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779197473654,GR5V0,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/GR5V0,0,,local-env,CNN,128,4,0.2,relu,0.0006904561491834173,19,16,10,2,4
1779197498526,GR5V0,SUCCEEDED,,,,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/GR5V0,0,,local-env,,,,,,,,,,,
1779197499204,PB2jF,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/PB2jF,1,,local-env,MLP,16,1,0.3,elu,3.603367277787454e-05,17,32,20,7,4
1779197510261,PB2jF,SUCCEEDED,,,,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/PB2jF,1,,local-env,,,,,,,,,,,
1779197511243,LOT8s,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/LOT8s,2,,local-env,MLP,256,4,0.3,elu,0.0006897231271792963,20,128,5,5,4
1779197518388,LOT8s,SUCCEEDED,,,,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/LOT8s,2,,local-env,,,,,,,,,,,
1779197519274,EykEy,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/EykEy,3,,local-env,TCN,128,1,0.3,elu,0.004426379952363196,13,128,10,3,2
1779197526713,EykEy,SUCCEEDED,,,,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/EykEy,3,,local-env,,,,,,,,,,,
1779197527303,COCws,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/COCws,4,,local-env,MLP,64,3,0.3,elu,1.3641975361002289e-05,19,128,15,7,4
1779197535940,COCws,SUCCEEDED,,,,/home/meliani/nni-experiments/q3tg5i16/environments/local-env/trials/COCws,4,,local-env,,,,,,,,,,,
