timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779145942371,rHpOU,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/rHpOU,0,,local-env,Transformer,16,3,0.2,tanh,0.009456613954772066,20,16,20,2,4
1779145991110,rHpOU,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/rHpOU,0,,local-env,,,,,,,,,,,
1779145991964,eNnl6,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/eNnl6,1,,local-env,Transformer,256,1,0.3,tanh,0.0003648353075144158,22,64,15,2,2
1779146017235,eNnl6,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/eNnl6,1,,local-env,,,,,,,,,,,
1779146018008,Kh8S1,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/Kh8S1,2,,local-env,GRU,16,3,0.1,elu,0.00645750136221492,24,32,20,7,2
1779146064051,Kh8S1,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/Kh8S1,2,,local-env,,,,,,,,,,,
1779146065061,LeLzw,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/LeLzw,3,,local-env,GRU,16,4,0.1,tanh,0.0003446264602118078,5,16,5,3,8
1779146086505,LeLzw,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/LeLzw,3,,local-env,,,,,,,,,,,
1779146087103,a4S0l,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/a4S0l,4,,local-env,GRU,16,3,0.1,elu,0.00029553142626950415,7,16,20,7,2
1779146137080,a4S0l,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/a4S0l,4,,local-env,,,,,,,,,,,
1779146137647,gtPgv,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/gtPgv,5,,local-env,CNN,64,1,0.1,tanh,0.0002489719386087897,28,32,10,2,4
1779146144824,gtPgv,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/gtPgv,5,,local-env,,,,,,,,,,,
1779146145667,n2ZVD,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/n2ZVD,6,,local-env,LSTM,16,1,0.1,elu,0.0010694877349367083,26,32,20,7,8
1779146167724,n2ZVD,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/n2ZVD,6,,local-env,,,,,,,,,,,
1779146168695,YJgvf,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/YJgvf,7,,local-env,MLP,32,4,0.1,sigmoid,6.261050749308538e-05,16,16,5,3,4
1779146174918,YJgvf,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/YJgvf,7,,local-env,,,,,,,,,,,
1779146175724,aozBD,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/aozBD,8,,local-env,GRU,256,3,0.1,elu,0.0008461020045463141,22,32,10,5,8
1779146296562,aozBD,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/aozBD,8,,local-env,,,,,,,,,,,
1779146297353,JdvQg,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/JdvQg,9,,local-env,LSTM,32,3,0.1,sigmoid,0.0002633702345193098,10,16,20,7,4
1779146351914,JdvQg,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/JdvQg,9,,local-env,,,,,,,,,,,
1779146352915,JdNnI,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/JdNnI,10,,local-env,CNN,16,2,0.1,elu,5.157615732569812e-05,28,32,20,2,4
1779146367533,JdNnI,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/JdNnI,10,,local-env,,,,,,,,,,,
1779146368454,E0rbu,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/E0rbu,11,,local-env,GRU,256,3,0.1,sigmoid,9.930493640011983e-05,2,16,20,7,4
1779146437685,E0rbu,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/E0rbu,11,,local-env,,,,,,,,,,,
1779146438515,CXADk,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/CXADk,12,,local-env,MLP,128,1,0.1,sigmoid,0.0008174903573081862,28,128,10,2,4
1779146442815,CXADk,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/CXADk,12,,local-env,,,,,,,,,,,
1779146443548,TOddI,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/TOddI,13,,local-env,GRU,256,2,0.5,sigmoid,3.5843756125380904e-05,28,16,15,7,4
1779146630429,TOddI,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/TOddI,13,,local-env,,,,,,,,,,,
1779146631218,KEeye,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/KEeye,14,,local-env,MLP,16,1,0.1,relu,0.0004656526963320277,28,128,5,5,4
1779146636005,KEeye,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/KEeye,14,,local-env,,,,,,,,,,,
1779146636747,dEpkm,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/dEpkm,15,,local-env,GRU,16,2,0.5,sigmoid,8.749382463400083e-05,28,32,15,7,4
1779146676335,dEpkm,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/dEpkm,15,,local-env,,,,,,,,,,,
1779146677300,h5vYD,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/h5vYD,16,,local-env,TCN,128,4,0,sigmoid,0.0005465946308146233,26,16,20,2,4
1779146712898,h5vYD,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/h5vYD,16,,local-env,,,,,,,,,,,
1779146713849,wuU8M,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/wuU8M,17,,local-env,GRU,256,4,0.2,sigmoid,2.629206356445798e-05,14,16,15,7,2
1779146919846,wuU8M,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/wuU8M,17,,local-env,,,,,,,,,,,
1779146920553,k7GSl,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/k7GSl,18,,local-env,MLP,128,2,0.5,sigmoid,4.8131114776865194e-05,28,32,15,7,2
1779146928266,k7GSl,SUCCEEDED,,,,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/k7GSl,18,,local-env,,,,,,,,,,,
1779146929090,zlqcN,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/sp9tqvm6/environments/local-env/trials/zlqcN,19,,local-env,LSTM,64,1,0.3,relu,0.00020189854052750223,14,32,20,2,4
