timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779186329095,TTU8t,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/TTU8t,0,,local-env,Transformer,16,1,0,sigmoid,0.0023565858300678465,24,32,15,5,8
1779186346590,TTU8t,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/TTU8t,0,,local-env,,,,,,,,,,,
1779186347131,Y14Cx,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/Y14Cx,1,,local-env,MLP,32,4,0.3,relu,7.810764359669315e-05,19,32,15,3,8
1779186356912,Y14Cx,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/Y14Cx,1,,local-env,,,,,,,,,,,
1779186357663,tjeRV,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/tjeRV,2,,local-env,MLP,64,1,0.2,sigmoid,2.0618109004677265e-05,20,128,10,2,8
1779186363365,tjeRV,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/tjeRV,2,,local-env,,,,,,,,,,,
1779186364192,EvY1M,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/EvY1M,3,,local-env,LSTM,64,2,0,sigmoid,2.3648744887503788e-05,6,64,5,3,8
1779186375625,EvY1M,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/EvY1M,3,,local-env,,,,,,,,,,,
1779186376229,EEHlX,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/EEHlX,4,,local-env,MLP,64,2,0.2,tanh,0.00013184588025460706,20,16,10,2,4
1779186383716,EEHlX,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/EEHlX,4,,local-env,,,,,,,,,,,
1779186384256,zKy90,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/zKy90,5,,local-env,MLP,32,1,0,sigmoid,0.000772335806590697,24,16,15,5,4
1779186393055,zKy90,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/zKy90,5,,local-env,,,,,,,,,,,
1779186393790,ql07G,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/ql07G,6,,local-env,CNN,32,1,0.5,relu,0.004398886470606294,22,128,15,5,4
1779186400212,ql07G,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/ql07G,6,,local-env,,,,,,,,,,,
1779186400820,CHDbo,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/CHDbo,7,,local-env,LSTM,128,1,0.2,relu,3.762872509767828e-05,13,16,10,5,8
1779186423978,CHDbo,SUCCEEDED,,,,/home/meliani/nni-experiments/o1slhr5x/environments/local-env/trials/CHDbo,7,,local-env,,,,,,,,,,,
