timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778639890595,PXcUW,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/PXcUW,0,,local-env,RNN,16,2,0.2,tanh,0.0005816640544152047,20,32,10,5,4
1778639902382,PXcUW,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/PXcUW,0,,local-env,,,,,,,,,,,
1778639903130,QoZq7,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/QoZq7,1,,local-env,RNN,16,1,0.5,sigmoid,0.008778643783800858,9,32,10,5,2
1778639909713,QoZq7,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/QoZq7,1,,local-env,,,,,,,,,,,
1778639910659,vfq0L,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/vfq0L,2,,local-env,RNN,32,4,0.3,sigmoid,0.00024320774782172442,15,16,5,2,2
1778639926912,vfq0L,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/vfq0L,2,,local-env,,,,,,,,,,,
1778639927693,Agl1P,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Agl1P,3,,local-env,CNN,32,4,0.3,sigmoid,0.0006411998005230783,23,128,15,5,2
1778639935706,Agl1P,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Agl1P,3,,local-env,,,,,,,,,,,
1778639936223,BCvEJ,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/BCvEJ,4,,local-env,CNN,32,4,0.5,relu,0.0003245807579710258,23,128,20,5,8
1778639945554,BCvEJ,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/BCvEJ,4,,local-env,,,,,,,,,,,
1778639946257,HQWGK,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/HQWGK,5,,local-env,Transformer,128,2,0.3,tanh,0.0006587167785094805,28,64,15,2,8
1778640045317,HQWGK,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/HQWGK,5,,local-env,,,,,,,,,,,
1778640045933,XOW56,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/XOW56,6,,local-env,RNN,256,3,0.2,tanh,0.0015326360864247094,18,32,15,5,4
1778640113993,XOW56,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/XOW56,6,,local-env,,,,,,,,,,,
1778640114514,BEuyL,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/BEuyL,7,,local-env,CNN,16,2,0.1,sigmoid,0.0001972612136904296,23,16,15,2,8
1778640126438,BEuyL,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/BEuyL,7,,local-env,,,,,,,,,,,
1778640127042,aSscc,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/aSscc,8,,local-env,CNN,32,4,0.3,sigmoid,0.00048137899627635175,23,128,5,5,8
1778640131838,aSscc,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/aSscc,8,,local-env,,,,,,,,,,,
1778640132571,c9uA0,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/c9uA0,9,,local-env,CNN,16,3,0.5,tanh,0.0007906953742225279,2,32,10,5,8
1778640139330,c9uA0,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/c9uA0,9,,local-env,,,,,,,,,,,
1778640140096,TkBHW,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/TkBHW,10,,local-env,CNN,16,4,0.3,sigmoid,0.0005022895143915095,23,128,5,5,2
1778640144544,TkBHW,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/TkBHW,10,,local-env,,,,,,,,,,,
1778640145124,fyFyk,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/fyFyk,11,,local-env,RNN,16,3,0.5,sigmoid,0.0036494179254234495,3,32,10,5,8
1778640154039,fyFyk,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/fyFyk,11,,local-env,,,,,,,,,,,
1778640154658,Kpvt1,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Kpvt1,12,,local-env,TCN,32,3,0.3,tanh,0.0012268102470513592,28,128,20,5,4
1778640163900,Kpvt1,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Kpvt1,12,,local-env,,,,,,,,,,,
1778640164688,T1EZU,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/T1EZU,13,,local-env,CNN,32,3,0.3,sigmoid,0.00058625664819833,23,32,15,2,2
1778640175297,T1EZU,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/T1EZU,13,,local-env,,,,,,,,,,,
1778640176215,Hk8Ye,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Hk8Ye,14,,local-env,TCN,16,3,0.3,relu,0.003928279458544428,28,16,20,5,4
1778640194352,Hk8Ye,SUCCEEDED,,,,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/Hk8Ye,14,,local-env,,,,,,,,,,,
1778640195252,jj0lu,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/c4rw5vli/environments/local-env/trials/jj0lu,15,,local-env,TCN,16,3,0.3,relu,0.005241109266418611,12,64,20,3,4
