timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779149279696,tXRlj,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/tXRlj,0,,local-env,LSTM,32,2,0.1,sigmoid,0.006829789432310736,30,64,10,2,2
1779149307100,tXRlj,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/tXRlj,0,,local-env,,,,,,,,,,,
1779149307756,csJkR,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/csJkR,1,,local-env,MLP,16,3,0.2,relu,6.698077732419754e-05,20,16,15,7,4
1779149328177,csJkR,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/csJkR,1,,local-env,,,,,,,,,,,
1779149328823,bbJl0,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/bbJl0,2,,local-env,MLP,16,1,0,tanh,0.0006255070086559712,2,16,20,2,2
1779149350085,bbJl0,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/bbJl0,2,,local-env,,,,,,,,,,,
1779149350890,IzPbe,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/IzPbe,3,,local-env,MLP,256,3,0.1,sigmoid,0.00014752451343611378,21,16,10,7,2
1779149363371,IzPbe,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/IzPbe,3,,local-env,,,,,,,,,,,
1779149363936,SRQiu,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/SRQiu,4,,local-env,Transformer,128,4,0.1,sigmoid,0.0035780478686165957,4,32,10,2,4
1779149421708,SRQiu,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/SRQiu,4,,local-env,,,,,,,,,,,
1779149422531,aPBke,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/aPBke,5,,local-env,GRU,128,1,0.1,sigmoid,7.024849763591155e-05,20,32,20,3,2
1779149462120,aPBke,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/aPBke,5,,local-env,,,,,,,,,,,
1779149463087,nbt0v,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/nbt0v,6,,local-env,GRU,64,1,0.1,sigmoid,1.1336829894613677e-05,29,16,20,5,2
1779149514749,nbt0v,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/nbt0v,6,,local-env,,,,,,,,,,,
1779149515638,h5bG8,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/h5bG8,7,,local-env,Transformer,128,4,0.3,sigmoid,1.7331023095594987e-05,5,16,20,5,4
1779149649315,h5bG8,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/h5bG8,7,,local-env,,,,,,,,,,,
1779149650273,cA1fu,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/cA1fu,8,,local-env,RNN,128,2,0.5,elu,0.004566721574336137,5,16,10,3,4
1779149669175,cA1fu,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/cA1fu,8,,local-env,,,,,,,,,,,
1779149669808,PoyYX,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/PoyYX,9,,local-env,TCN,64,2,0.1,tanh,1.6630016596765244e-05,12,16,10,5,4
1779149680445,PoyYX,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/PoyYX,9,,local-env,,,,,,,,,,,
1779149681345,HvBkC,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/HvBkC,10,,local-env,LSTM,64,1,0.3,elu,0.000268051640030286,23,16,15,5,8
1779149719068,HvBkC,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/HvBkC,10,,local-env,,,,,,,,,,,
1779149719889,NYGAx,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/NYGAx,11,,local-env,Transformer,16,4,0.1,tanh,0.0002387224056295275,22,32,5,3,8
1779149739884,NYGAx,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/NYGAx,11,,local-env,,,,,,,,,,,
1779149740419,gP2Mz,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/gP2Mz,12,,local-env,GRU,64,4,0.3,sigmoid,1.6548751775251383e-05,21,128,20,5,2
1779149791836,gP2Mz,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/gP2Mz,12,,local-env,,,,,,,,,,,
1779149792464,tTZll,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/tTZll,13,,local-env,RNN,256,3,0,elu,0.0003078871302118594,14,64,20,2,4
1779149845595,tTZll,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/tTZll,13,,local-env,,,,,,,,,,,
1779149846513,X2Pum,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/X2Pum,14,,local-env,CNN,16,2,0.3,elu,1.0005273586140847e-05,18,64,15,3,4
1779149853645,X2Pum,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/X2Pum,14,,local-env,,,,,,,,,,,
1779149854545,Davgl,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/Davgl,15,,local-env,GRU,128,2,0.5,relu,0.003415425863518532,2,16,5,2,8
1779149867360,Davgl,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/Davgl,15,,local-env,,,,,,,,,,,
1779149868071,Wp7A8,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/Wp7A8,16,,local-env,MLP,128,4,0.2,relu,0.007548101873166769,3,128,10,2,2
1779149873413,Wp7A8,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/Wp7A8,16,,local-env,,,,,,,,,,,
1779149874096,An9Qi,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/An9Qi,17,,local-env,GRU,32,3,0.3,relu,0.006052849908265473,13,64,10,3,4
1779149893542,An9Qi,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/An9Qi,17,,local-env,,,,,,,,,,,
1779149894131,HhySQ,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/HhySQ,18,,local-env,GRU,256,4,0.3,sigmoid,0.000383138527392839,19,16,15,3,4
1779150222814,HhySQ,SUCCEEDED,,,,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/HhySQ,18,,local-env,,,,,,,,,,,
1779150223415,hcCFx,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/dtk763lq/environments/local-env/trials/hcCFx,19,,local-env,LSTM,256,3,0,relu,0.00028904710386413405,24,128,5,3,2
