timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779148879580,HstVr,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/HstVr,0,,local-env,RNN,256,2,0.3,tanh,2.6344621862156625e-05,25,64,20,5,8
1779148940426,HstVr,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/HstVr,0,,local-env,,,,,,,,,,,
1779148941191,sXTFF,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/sXTFF,1,,local-env,Transformer,16,1,0.2,sigmoid,0.0002956207904286026,17,64,5,3,8
1779148949376,sXTFF,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/sXTFF,1,,local-env,,,,,,,,,,,
1779148950236,Pf2dl,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Pf2dl,2,,local-env,MLP,256,2,0,elu,0.0025276709009399824,26,16,15,3,2
1779148963632,Pf2dl,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Pf2dl,2,,local-env,,,,,,,,,,,
1779148964288,HGzD3,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/HGzD3,3,,local-env,RNN,256,4,0.2,sigmoid,0.0007925174811653273,28,32,5,2,2
1779149009470,HGzD3,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/HGzD3,3,,local-env,,,,,,,,,,,
1779149010354,egSYo,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/egSYo,4,,local-env,RNN,16,4,0,relu,0.002764733842550987,27,128,10,3,4
1779149023189,egSYo,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/egSYo,4,,local-env,,,,,,,,,,,
1779149023887,UDo7L,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/UDo7L,5,,local-env,CNN,128,1,0.3,relu,2.9329282186550148e-05,20,128,5,7,8
1779149029536,UDo7L,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/UDo7L,5,,local-env,,,,,,,,,,,
1779149030408,CMfxo,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/CMfxo,6,,local-env,TCN,32,3,0.2,sigmoid,0.0013554624404041188,26,32,20,7,4
1779149049015,CMfxo,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/CMfxo,6,,local-env,,,,,,,,,,,
1779149049945,Ndrxl,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Ndrxl,7,,local-env,GRU,64,4,0.1,tanh,0.0023601239701951634,17,128,15,5,2
1779149078560,Ndrxl,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Ndrxl,7,,local-env,,,,,,,,,,,
1779149079484,n1vnE,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/n1vnE,8,,local-env,CNN,128,2,0.2,relu,0.002832614667362625,4,64,5,2,8
1779149084157,n1vnE,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/n1vnE,8,,local-env,,,,,,,,,,,
1779149085017,NNtJF,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/NNtJF,9,,local-env,LSTM,16,2,0.5,sigmoid,0.00018179631279430632,18,128,5,2,8
1779149093066,NNtJF,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/NNtJF,9,,local-env,,,,,,,,,,,
1779149094051,DCpWa,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/DCpWa,10,,local-env,RNN,64,4,0,sigmoid,0.000264263615200279,22,64,15,7,2
1779149114010,DCpWa,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/DCpWa,10,,local-env,,,,,,,,,,,
1779149114588,UOvsF,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/UOvsF,11,,local-env,TCN,64,2,0.2,elu,0.007085891007671143,27,64,5,7,2
1779149119999,UOvsF,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/UOvsF,11,,local-env,,,,,,,,,,,
1779149120613,Dm86k,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Dm86k,12,,local-env,CNN,32,1,0.3,elu,0.0025018679299217052,10,64,5,7,8
1779149124724,Dm86k,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Dm86k,12,,local-env,,,,,,,,,,,
1779149125637,Qo5JJ,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Qo5JJ,13,,local-env,TCN,32,3,0.3,sigmoid,0.0003470769070361253,27,128,5,7,2
1779149133952,Qo5JJ,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Qo5JJ,13,,local-env,,,,,,,,,,,
1779149134690,Hv6G2,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Hv6G2,14,,local-env,CNN,64,2,0.5,tanh,0.0024149321708893385,7,16,10,2,4
1779149157734,Hv6G2,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/Hv6G2,14,,local-env,,,,,,,,,,,
1779149158265,l6OXz,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/l6OXz,15,,local-env,GRU,64,1,0,elu,0.0006506409742477613,20,64,15,7,2
1779149185074,l6OXz,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/l6OXz,15,,local-env,,,,,,,,,,,
1779149185846,EF7QC,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/EF7QC,16,,local-env,MLP,64,1,0,sigmoid,1.0344632725975666e-05,2,128,10,3,2
1779149190322,EF7QC,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/EF7QC,16,,local-env,,,,,,,,,,,
1779149190878,cyNiP,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/cyNiP,17,,local-env,GRU,32,1,0.2,tanh,0.000132872861632809,6,64,15,5,8
1779149199528,cyNiP,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/cyNiP,17,,local-env,,,,,,,,,,,
1779149200409,dy0KV,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/dy0KV,18,,local-env,RNN,64,4,0.2,tanh,3.4420265181889196e-05,28,16,15,3,4
1779149258413,dy0KV,SUCCEEDED,,,,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/dy0KV,18,,local-env,,,,,,,,,,,
1779149259005,WBKKv,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/mlb4326a/environments/local-env/trials/WBKKv,19,,local-env,Transformer,16,2,0.2,relu,0.003820915306737373,20,16,20,5,8
