timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778613280460,B74bi,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/B74bi,0,,local-env,CNN,256,2,0,sigmoid,0.00013300823611745336,30,16,5,2,4
1778613288222,B74bi,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/B74bi,0,,local-env,,,,,,,,,,,
1778613288993,fVz3y,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/fVz3y,1,,local-env,TCN,16,2,0.5,relu,1.178995683622326e-05,19,16,5,7,8
1778613294613,fVz3y,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/fVz3y,1,,local-env,,,,,,,,,,,
1778613295519,SIHj9,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/SIHj9,2,,local-env,CNN,128,2,0.5,tanh,0.0026569675456653346,3,16,10,2,4
1778613303797,SIHj9,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/SIHj9,2,,local-env,,,,,,,,,,,
1778613304552,lSjbK,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/lSjbK,3,,local-env,GRU,256,4,0.3,tanh,0.004148800376028339,20,16,20,3,8
1778613603078,lSjbK,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/lSjbK,3,,local-env,,,,,,,,,,,
1778613603833,hlggI,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/hlggI,4,,local-env,RNN,256,3,0.1,sigmoid,0.006068014699572194,14,16,5,5,2
1778613622436,hlggI,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/hlggI,4,,local-env,,,,,,,,,,,
1778613623378,BjZwv,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/BjZwv,5,,local-env,RNN,64,1,0.5,elu,5.994619685742636e-05,6,32,20,7,2
1778613633706,BjZwv,SUCCEEDED,,,,/home/meliani/nni-experiments/d4opv31w/environments/local-env/trials/BjZwv,5,,local-env,,,,,,,,,,,
