timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778610810993,zpJ9g,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/zpJ9g,0,,local-env,LSTM,128,1,0.3,sigmoid,0.00010032282075716283,28,64,15,7,2
1778610823819,zpJ9g,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/zpJ9g,0,,local-env,,,,,,,,,,,
1778610824531,nbaCJ,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/nbaCJ,1,,local-env,TCN,128,2,0,relu,0.0015655804315372888,23,32,20,2,4
1778610833993,nbaCJ,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/nbaCJ,1,,local-env,,,,,,,,,,,
1778610834567,M83wI,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/M83wI,2,,local-env,GRU,128,4,0.2,tanh,0.00039531600774347973,23,32,15,2,2
1778610863995,M83wI,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/M83wI,2,,local-env,,,,,,,,,,,
1778610864618,uvBkx,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/uvBkx,3,,local-env,GRU,32,3,0.5,tanh,0.0020396867885606883,27,64,15,3,2
1778610877099,uvBkx,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/uvBkx,3,,local-env,,,,,,,,,,,
1778610877654,Zw3md,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/Zw3md,4,,local-env,MLP,128,1,0.3,relu,0.000546712991703002,9,64,10,3,8
1778610881894,Zw3md,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/Zw3md,4,,local-env,,,,,,,,,,,
1778610882679,pEpX3,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/pEpX3,5,,local-env,RNN,256,4,0.1,relu,9.711462491562075e-05,15,16,20,5,8
1778610905987,pEpX3,SUCCEEDED,,,,/home/meliani/nni-experiments/pqaldkf0/environments/local-env/trials/pEpX3,5,,local-env,,,,,,,,,,,
