timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778642636528,funjd,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/funjd,0,,local-env,LSTM,64,2,0.2,elu,3.053784755241463e-05,30,16,15,2,2
1778642706563,funjd,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/funjd,0,,local-env,,,,,,,,,,,
1778642707103,nBQP1,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/nBQP1,1,,local-env,RNN,64,1,0.3,tanh,0.006719696153505842,9,32,20,3,4
1778642717282,nBQP1,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/nBQP1,1,,local-env,,,,,,,,,,,
1778642718137,unRzE,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/unRzE,2,,local-env,GRU,64,1,0.3,relu,3.204020510470764e-05,23,16,5,5,8
1778642731133,unRzE,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/unRzE,2,,local-env,,,,,,,,,,,
1778642731669,IedAx,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/IedAx,3,,local-env,CNN,16,3,0.1,elu,5.0171822764948854e-05,20,16,10,2,8
1778642741827,IedAx,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/IedAx,3,,local-env,,,,,,,,,,,
1778642742702,AoBqE,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/AoBqE,4,,local-env,RNN,256,4,0.5,tanh,0.001683742879915069,15,16,15,5,2
1778642828517,AoBqE,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/AoBqE,4,,local-env,,,,,,,,,,,
1778642829314,LZ61D,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/LZ61D,5,,local-env,Transformer,16,3,0.1,sigmoid,0.0005412052572324212,9,32,5,2,4
1778642840208,LZ61D,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/LZ61D,5,,local-env,,,,,,,,,,,
1778642840846,PYGFC,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/PYGFC,6,,local-env,MLP,16,2,0.3,relu,1.4913498211647682e-05,18,16,10,7,2
1778642847238,PYGFC,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/PYGFC,6,,local-env,,,,,,,,,,,
1778642847873,OK2yM,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/OK2yM,7,,local-env,RNN,128,4,0.2,sigmoid,0.007350848627497781,30,16,20,7,4
1778642948069,OK2yM,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/OK2yM,7,,local-env,,,,,,,,,,,
1778642948983,deMwn,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/deMwn,8,,local-env,CNN,32,3,0.2,elu,0.0033870078272998953,22,32,20,3,4
1778642961720,deMwn,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/deMwn,8,,local-env,,,,,,,,,,,
1778642962533,ICql2,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/ICql2,9,,local-env,TCN,32,2,0,elu,8.239487334713494e-05,21,16,5,5,2
1778642968462,ICql2,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/ICql2,9,,local-env,,,,,,,,,,,
1778642969062,jYQRo,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/jYQRo,10,,local-env,Transformer,32,4,0.1,relu,0.00010490211144332335,6,128,5,7,4
1778642979893,jYQRo,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/jYQRo,10,,local-env,,,,,,,,,,,
1778642980590,RaIGe,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/RaIGe,11,,local-env,CNN,32,3,0.3,elu,0.0008214328278579782,5,16,10,2,2
1778642990335,RaIGe,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/RaIGe,11,,local-env,,,,,,,,,,,
1778642991120,u5EKv,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/u5EKv,12,,local-env,GRU,256,4,0.3,sigmoid,0.0006777217914568592,12,64,15,5,4
1778643120579,u5EKv,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/u5EKv,12,,local-env,,,,,,,,,,,
1778643121231,cAkeK,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/cAkeK,13,,local-env,TCN,64,3,0.3,relu,0.006875453183543737,21,64,20,2,2
1778643132897,cAkeK,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/cAkeK,13,,local-env,,,,,,,,,,,
1778643133764,pZuH7,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/pZuH7,14,,local-env,CNN,16,2,0,sigmoid,0.0002677028632398851,6,128,15,3,4
1778643139119,pZuH7,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/pZuH7,14,,local-env,,,,,,,,,,,
1778643139791,yZn3T,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/yZn3T,15,,local-env,TCN,16,1,0.1,relu,0.0016895098943036598,20,32,5,7,8
1778643144542,yZn3T,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/yZn3T,15,,local-env,,,,,,,,,,,
1778643145314,dgnOB,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/dgnOB,16,,local-env,RNN,128,1,0.1,elu,0.00010726983372031053,5,128,5,2,4
1778643149792,dgnOB,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/dgnOB,16,,local-env,,,,,,,,,,,
1778643150342,Nb9Rd,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/Nb9Rd,17,,local-env,RNN,64,2,0.2,sigmoid,0.0008641936874593308,11,32,15,2,4
1778643163512,Nb9Rd,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/Nb9Rd,17,,local-env,,,,,,,,,,,
1778643164377,rhP94,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/rhP94,18,,local-env,LSTM,256,4,0,sigmoid,0.00025731310119370615,24,128,20,3,2
1778643392056,rhP94,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/rhP94,18,,local-env,,,,,,,,,,,
1778643393073,imrve,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/imrve,19,,local-env,MLP,256,2,0.1,elu,8.796024625054105e-05,30,32,10,7,4
1778643399482,imrve,SUCCEEDED,,,,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/imrve,19,,local-env,,,,,,,,,,,
1778643400094,rWkYZ,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/i8lbzhox/environments/local-env/trials/rWkYZ,20,,local-env,LSTM,256,2,0,tanh,0.005600892962456404,5,32,10,7,4
