timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778643553331,mMQgf,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/mMQgf,0,,local-env,MLP,128,2,0,sigmoid,8.92146724420505e-05,18,128,15,2,8
1778643559910,mMQgf,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/mMQgf,0,,local-env,,,,,,,,,,,
1778643560862,JPtMO,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/JPtMO,1,,local-env,CNN,256,4,0.3,relu,0.0015360415669727308,6,128,5,2,2
1778643566728,JPtMO,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/JPtMO,1,,local-env,,,,,,,,,,,
1778643567388,ll1aI,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/ll1aI,2,,local-env,TCN,32,3,0.1,relu,0.0007920188753167253,16,32,20,3,2
1778643578273,ll1aI,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/ll1aI,2,,local-env,,,,,,,,,,,
1778643578914,nNHgF,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/nNHgF,3,,local-env,MLP,128,1,0.2,sigmoid,7.911650046890679e-05,10,16,15,5,8
1778643585775,nNHgF,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/nNHgF,3,,local-env,,,,,,,,,,,
1778643586444,bhVk4,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/bhVk4,4,,local-env,GRU,128,3,0,sigmoid,1.0025844085509892e-05,16,128,5,3,2
1778643602016,bhVk4,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/bhVk4,4,,local-env,,,,,,,,,,,
1778643602983,HqDt8,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HqDt8,5,,local-env,RNN,16,1,0.3,relu,0.0002591871732439407,10,128,10,2,8
1778643607748,HqDt8,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HqDt8,5,,local-env,,,,,,,,,,,
1778643608514,bXhJQ,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/bXhJQ,6,,local-env,CNN,256,4,0.1,sigmoid,0.0003455087406671949,29,16,20,3,4
1778643671485,bXhJQ,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/bXhJQ,6,,local-env,,,,,,,,,,,
1778643672092,LDLXK,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LDLXK,7,,local-env,TCN,16,3,0.1,tanh,0.00015530890851436026,14,128,5,7,8
1778643676816,LDLXK,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LDLXK,7,,local-env,,,,,,,,,,,
1778643677619,HfepM,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HfepM,8,,local-env,LSTM,256,1,0.2,tanh,5.7534080618334764e-05,25,128,10,7,8
1778643710270,HfepM,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HfepM,8,,local-env,,,,,,,,,,,
1778643711177,FUbrz,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/FUbrz,9,,local-env,Transformer,64,2,0.2,elu,0.0009224741874078757,16,128,5,3,4
1778643719690,FUbrz,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/FUbrz,9,,local-env,,,,,,,,,,,
1778643720212,PFzWH,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/PFzWH,10,,local-env,TCN,64,3,0.3,elu,0.0004771948882113875,14,128,20,7,8
1778643729806,PFzWH,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/PFzWH,10,,local-env,,,,,,,,,,,
1778643730743,Ufk52,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/Ufk52,11,,local-env,CNN,32,3,0.2,relu,0.004596355654820026,22,128,10,2,8
1778643736212,Ufk52,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/Ufk52,11,,local-env,,,,,,,,,,,
1778643736771,X5pT2,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/X5pT2,12,,local-env,CNN,256,3,0.5,relu,0.0005908124410560448,29,32,15,3,2
1778643764798,X5pT2,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/X5pT2,12,,local-env,,,,,,,,,,,
1778643765328,KbvQi,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/KbvQi,13,,local-env,Transformer,128,1,0.5,elu,1.199996640523408e-05,10,32,5,7,2
1778643773724,KbvQi,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/KbvQi,13,,local-env,,,,,,,,,,,
1778643774363,HKGiC,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HKGiC,14,,local-env,MLP,64,1,0,tanh,1.6688952646953625e-05,30,64,15,3,8
1778643779770,HKGiC,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/HKGiC,14,,local-env,,,,,,,,,,,
1778643780395,LS7NJ,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LS7NJ,15,,local-env,CNN,128,4,0.3,tanh,5.3656494512101755e-05,30,64,15,3,8
1778643795688,LS7NJ,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LS7NJ,15,,local-env,,,,,,,,,,,
1778643796432,eXNLA,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/eXNLA,16,,local-env,TCN,16,3,0,sigmoid,3.681557313660694e-05,23,128,10,5,2
1778643801926,eXNLA,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/eXNLA,16,,local-env,,,,,,,,,,,
1778643802452,UYYFf,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/UYYFf,17,,local-env,TCN,32,2,0,tanh,7.850210644667011e-05,27,16,20,5,8
1778643819131,UYYFf,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/UYYFf,17,,local-env,,,,,,,,,,,
1778643819978,PBIuP,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/PBIuP,18,,local-env,MLP,32,3,0.5,tanh,0.00029822808300459044,26,128,20,2,8
1778643827829,PBIuP,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/PBIuP,18,,local-env,,,,,,,,,,,
1778643828515,kSUIQ,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kSUIQ,19,,local-env,RNN,256,2,0.1,tanh,0.00019151224460692623,21,128,20,7,2
1778643863625,kSUIQ,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kSUIQ,19,,local-env,,,,,,,,,,,
1778643864552,kRvOU,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kRvOU,20,,local-env,CNN,16,4,0.3,tanh,0.009406367047698568,21,16,5,2,2
1778643871444,kRvOU,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kRvOU,20,,local-env,,,,,,,,,,,
1778643872077,qWNGq,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/qWNGq,21,,local-env,GRU,256,2,0.1,elu,0.00029918170507762403,24,16,10,5,4
1778643953937,qWNGq,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/qWNGq,21,,local-env,,,,,,,,,,,
1778643954658,tU7ir,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/tU7ir,22,,local-env,TCN,16,3,0,elu,0.004426240373752284,27,16,20,3,8
1778643970866,tU7ir,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/tU7ir,22,,local-env,,,,,,,,,,,
1778643971699,A2Y2n,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/A2Y2n,23,,local-env,MLP,128,1,0.5,tanh,0.00028208925638758045,24,32,5,2,2
1778643975512,A2Y2n,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/A2Y2n,23,,local-env,,,,,,,,,,,
1778643976224,ssYGH,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/ssYGH,24,,local-env,GRU,128,3,0.2,elu,0.007430134307653266,13,64,5,3,8
1778643992387,ssYGH,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/ssYGH,24,,local-env,,,,,,,,,,,
1778643993252,LlW3y,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LlW3y,25,,local-env,TCN,128,2,0.3,elu,0.0007373276398915183,22,16,5,5,2
1778644000621,LlW3y,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/LlW3y,25,,local-env,,,,,,,,,,,
1778644001280,kgbY9,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kgbY9,26,,local-env,LSTM,32,4,0.5,relu,2.52490200554934e-05,4,32,5,7,2
1778644013338,kgbY9,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kgbY9,26,,local-env,,,,,,,,,,,
1778644014305,oAYCV,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/oAYCV,27,,local-env,GRU,128,4,0.3,elu,0.0017946053989056326,4,64,15,5,2
1778644037150,oAYCV,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/oAYCV,27,,local-env,,,,,,,,,,,
1778644037845,fZbjB,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/fZbjB,28,,local-env,GRU,32,2,0.5,sigmoid,0.0001240171881071953,24,16,5,7,4
1778644053060,fZbjB,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/fZbjB,28,,local-env,,,,,,,,,,,
1778644053877,gWXcF,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/gWXcF,29,,local-env,MLP,16,4,0.2,elu,0.00047583368811080385,8,64,10,7,2
1778644059124,gWXcF,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/gWXcF,29,,local-env,,,,,,,,,,,
1778644059907,jH40z,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/jH40z,30,,local-env,MLP,64,4,0.1,tanh,1.334682235492085e-05,2,16,15,3,2
1778644068276,jH40z,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/jH40z,30,,local-env,,,,,,,,,,,
1778644068932,d0Mu8,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/d0Mu8,31,,local-env,LSTM,32,2,0.3,relu,0.001392922282023942,27,64,10,5,2
1778644082888,d0Mu8,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/d0Mu8,31,,local-env,,,,,,,,,,,
1778644083466,kYUbO,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kYUbO,32,,local-env,CNN,256,4,0.3,relu,0.0015360415669727308,6,128,10,2,2
1778644092208,kYUbO,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/kYUbO,32,,local-env,,,,,,,,,,,
1778644093001,vRJGE,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/vRJGE,33,,local-env,GRU,64,2,0.1,elu,0.00029918170507762403,24,16,10,5,4
1778644119491,vRJGE,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/vRJGE,33,,local-env,,,,,,,,,,,
1778644120036,yPQKv,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/yPQKv,34,,local-env,RNN,256,1,0.3,relu,0.0002591871732439407,10,128,10,2,8
1778644128114,yPQKv,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/yPQKv,34,,local-env,,,,,,,,,,,
1778644129064,yAzuc,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/yAzuc,35,,local-env,Transformer,64,2,0.2,elu,1.7588055813204873e-05,16,128,5,3,4
1778644137971,yAzuc,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/yAzuc,35,,local-env,,,,,,,,,,,
1778644138599,GI0CO,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/GI0CO,36,,local-env,LSTM,16,2,0.3,relu,0.001392922282023942,27,64,10,5,2
1778644151996,GI0CO,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/GI0CO,36,,local-env,,,,,,,,,,,
1778644152632,QQR1U,RUNNING,37,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/QQR1U,37,,local-env,RNN,256,2,0.2,tanh,0.00019151224460692623,21,128,20,7,2
1778644187000,QQR1U,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/QQR1U,37,,local-env,,,,,,,,,,,
1778644187687,hytCI,RUNNING,38,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/hytCI,38,,local-env,TCN,32,2,0,tanh,7.850210644667011e-05,27,16,10,5,8
1778644195756,hytCI,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/hytCI,38,,local-env,,,,,,,,,,,
1778644196719,YKpFI,RUNNING,39,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/YKpFI,39,,local-env,TCN,128,2,0.3,elu,0.00022821286627061372,22,16,5,5,2
1778644207465,YKpFI,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/YKpFI,39,,local-env,,,,,,,,,,,
1778644208250,cEMeB,RUNNING,40,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/cEMeB,40,,local-env,TCN,32,2,0.1,relu,0.0007920188753167253,16,32,20,3,2
1778644217614,cEMeB,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/cEMeB,40,,local-env,,,,,,,,,,,
1778644218276,rb13O,RUNNING,41,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/rb13O,41,,local-env,Transformer,32,2,0.5,sigmoid,0.0001240171881071953,24,16,5,7,4
1778644229910,rb13O,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/rb13O,41,,local-env,,,,,,,,,,,
1778644230803,i6p81,RUNNING,42,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/i6p81,42,,local-env,LSTM,256,1,0.2,tanh,5.7534080618334764e-05,12,128,10,7,8
1778644243601,i6p81,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/i6p81,42,,local-env,,,,,,,,,,,
1778644244347,Sh6lg,RUNNING,43,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/Sh6lg,43,,local-env,TCN,64,3,0.3,elu,0.0004771948882113875,14,128,20,7,8
1778644254276,Sh6lg,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/Sh6lg,43,,local-env,,,,,,,,,,,
1778644254879,FRP60,RUNNING,44,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/FRP60,44,,local-env,TCN,128,2,0.3,elu,0.0007373276398915183,19,16,5,5,2
1778644262637,FRP60,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/FRP60,44,,local-env,,,,,,,,,,,
1778644263405,SsVpp,RUNNING,45,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/SsVpp,45,,local-env,RNN,256,2,0.2,tanh,0.00019151224460692623,21,128,20,7,2
1778644297568,SsVpp,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/SsVpp,45,,local-env,,,,,,,,,,,
1778644298443,hVFR5,RUNNING,46,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/hVFR5,46,,local-env,Transformer,64,2,0.2,elu,1.7588055813204873e-05,16,128,5,3,4
1778644307629,hVFR5,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/hVFR5,46,,local-env,,,,,,,,,,,
1778644308474,l2Zpo,RUNNING,47,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/l2Zpo,47,,local-env,RNN,256,2,0.1,tanh,0.00019151224460692623,21,128,20,5,2
1778644348814,l2Zpo,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/l2Zpo,47,,local-env,,,,,,,,,,,
1778644349523,pBZJt,RUNNING,48,algorithm,0,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/pBZJt,48,,local-env,MLP,64,4,0.1,tanh,0.00033726727315516963,2,16,15,3,2
1778644357777,pBZJt,SUCCEEDED,,,,/home/meliani/nni-experiments/90eib42j/environments/local-env/trials/pBZJt,48,,local-env,,,,,,,,,,,
