timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779127923571,dgm2U,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/dgm2U,0,,local-env,Transformer,128,2,0.2,elu,0.0007616700688081995,26,16,5,3,4
1779127959278,dgm2U,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/dgm2U,0,,local-env,,,,,,,,,,,
1779127960164,bb3jU,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/bb3jU,1,,local-env,TCN,256,1,0.1,relu,0.007018413033380649,19,16,20,7,4
1779127983946,bb3jU,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/bb3jU,1,,local-env,,,,,,,,,,,
1779127984715,jLpt7,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/jLpt7,2,,local-env,Transformer,16,4,0.1,elu,0.0017840037213887254,30,16,20,2,8
1779128069310,jLpt7,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/jLpt7,2,,local-env,,,,,,,,,,,
1779128069839,ZvGmx,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/ZvGmx,3,,local-env,LSTM,16,1,0.5,tanh,0.0012310357475385444,24,32,20,7,2
1779128086810,ZvGmx,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/ZvGmx,3,,local-env,,,,,,,,,,,
1779128087376,veeLT,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/veeLT,4,,local-env,TCN,64,4,0.2,sigmoid,0.0002628538764137403,17,32,10,2,2
1779128097812,veeLT,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/veeLT,4,,local-env,,,,,,,,,,,
1779128098412,iX6hV,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/iX6hV,5,,local-env,LSTM,256,3,0.2,relu,0.0016709507425847528,24,128,10,2,4
1779128167758,iX6hV,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/iX6hV,5,,local-env,,,,,,,,,,,
1779128168494,srNXy,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/srNXy,6,,local-env,Transformer,16,3,0,tanh,0.0001441150746456031,18,64,20,3,4
1779128194140,srNXy,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/srNXy,6,,local-env,,,,,,,,,,,
1779128195031,gHTbD,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/gHTbD,7,,local-env,Transformer,64,1,0,relu,0.0027909413376785747,27,32,15,5,4
1779128220479,gHTbD,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/gHTbD,7,,local-env,,,,,,,,,,,
1779128221075,cPhUk,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/cPhUk,8,,local-env,Transformer,32,2,0.2,tanh,2.284002211036924e-05,20,32,5,2,8
1779128245679,cPhUk,SUCCEEDED,,,,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/cPhUk,8,,local-env,,,,,,,,,,,
1779128246635,nedg7,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/k6hjo8yt/environments/local-env/trials/nedg7,9,,local-env,GRU,32,1,0.3,relu,5.170369798186303e-05,19,32,15,5,2
