timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778652093718,Vkrou,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Vkrou,0,,local-env,LSTM,16,2,0.2,tanh,0.0005629108460909634,11,64,15,2,8
1778652106059,Vkrou,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Vkrou,0,,local-env,,,,,,,,,,,
1778652106754,cx3Ty,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/cx3Ty,1,,local-env,MLP,16,2,0.1,relu,0.008007697188805101,5,32,5,3,8
1778652110736,cx3Ty,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/cx3Ty,1,,local-env,,,,,,,,,,,
1778652111277,RKvQF,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/RKvQF,2,,local-env,TCN,256,4,0.5,relu,2.8486308500167684e-05,24,16,10,2,2
1778652140228,RKvQF,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/RKvQF,2,,local-env,,,,,,,,,,,
1778652140835,gGqT8,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/gGqT8,3,,local-env,GRU,32,3,0.2,relu,0.0008497598105648325,3,32,5,5,4
1778652151050,gGqT8,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/gGqT8,3,,local-env,,,,,,,,,,,
1778652151871,IVZqp,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/IVZqp,4,,local-env,MLP,32,1,0.1,elu,0.0013895947448770184,2,128,5,5,2
1778652155406,IVZqp,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/IVZqp,4,,local-env,,,,,,,,,,,
1778652156398,llQjd,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/llQjd,5,,local-env,TCN,256,2,0.1,relu,0.0024500030081468604,3,16,5,7,8
1778652168531,llQjd,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/llQjd,5,,local-env,,,,,,,,,,,
1778652169436,pqKT4,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pqKT4,6,,local-env,Transformer,256,3,0.1,relu,5.6248384659507196e-05,15,32,5,3,2
1778652208724,pqKT4,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pqKT4,6,,local-env,,,,,,,,,,,
1778652209523,aoaTn,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aoaTn,7,,local-env,TCN,128,2,0.5,elu,0.00019264838830859845,8,16,5,5,2
1778652215878,aoaTn,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aoaTn,7,,local-env,,,,,,,,,,,
1778652216553,xMZhC,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/xMZhC,8,,local-env,LSTM,64,1,0.2,tanh,0.004377156725815871,15,128,15,2,2
1778652226646,xMZhC,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/xMZhC,8,,local-env,,,,,,,,,,,
1778652227579,YuPRy,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/YuPRy,9,,local-env,GRU,64,3,0,elu,0.000130550352809318,20,128,5,7,8
1778652239591,YuPRy,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/YuPRy,9,,local-env,,,,,,,,,,,
1778652240109,iKWjB,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/iKWjB,10,,local-env,LSTM,256,1,0,relu,0.0007336859254698894,13,16,10,3,4
1778652272646,iKWjB,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/iKWjB,10,,local-env,,,,,,,,,,,
1778652273647,lQEtz,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/lQEtz,11,,local-env,Transformer,256,4,0.5,elu,7.408968874465394e-05,22,128,10,5,2
1778652393067,lQEtz,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/lQEtz,11,,local-env,,,,,,,,,,,
1778652393850,MLPb2,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/MLPb2,12,,local-env,TCN,32,3,0.2,relu,0.001193482112351844,10,128,10,7,4
1778652399725,MLPb2,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/MLPb2,12,,local-env,,,,,,,,,,,
1778652400374,aDXYP,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aDXYP,13,,local-env,RNN,256,2,0.1,tanh,0.00322114728688178,16,64,10,5,8
1778652418374,aDXYP,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aDXYP,13,,local-env,,,,,,,,,,,
1778652418908,rRvJ0,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/rRvJ0,14,,local-env,CNN,16,1,0.5,elu,0.002936980857382264,9,16,10,7,2
1778652425504,rRvJ0,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/rRvJ0,14,,local-env,,,,,,,,,,,
1778652426434,VSsP8,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/VSsP8,15,,local-env,GRU,64,4,0.2,tanh,7.425183146810176e-05,26,128,5,3,2
1778652449416,VSsP8,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/VSsP8,15,,local-env,,,,,,,,,,,
1778652449972,nauNN,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/nauNN,16,,local-env,LSTM,64,1,0.1,elu,0.0005596775692037982,21,16,5,7,4
1778652460885,nauNN,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/nauNN,16,,local-env,,,,,,,,,,,
1778652461499,Yf182,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Yf182,17,,local-env,GRU,16,3,0.1,tanh,0.006657144428225815,14,16,10,3,8
1778652493155,Yf182,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Yf182,17,,local-env,,,,,,,,,,,
1778652494040,loKT6,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/loKT6,18,,local-env,GRU,32,4,0.5,relu,0.0002923673233905653,12,128,5,2,8
1778652505077,loKT6,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/loKT6,18,,local-env,,,,,,,,,,,
1778652506074,I5gzD,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/I5gzD,19,,local-env,TCN,256,4,0,sigmoid,0.00012296902883784125,9,16,15,7,4
1778652574172,I5gzD,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/I5gzD,19,,local-env,,,,,,,,,,,
1778652574686,pnaSd,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pnaSd,20,,local-env,LSTM,64,3,0.2,sigmoid,0.007075220734239611,17,64,10,3,8
1778652605930,pnaSd,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pnaSd,20,,local-env,,,,,,,,,,,
1778652606736,OxW37,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/OxW37,21,,local-env,LSTM,64,4,0,elu,3.515670658133345e-05,13,128,15,5,4
1778652629882,OxW37,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/OxW37,21,,local-env,,,,,,,,,,,
1778652630778,pMcWv,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pMcWv,22,,local-env,GRU,256,2,0.1,sigmoid,1.922790289235292e-05,8,32,5,2,4
1778652649380,pMcWv,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/pMcWv,22,,local-env,,,,,,,,,,,
1778652650313,nmAhj,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/nmAhj,23,,local-env,TCN,64,3,0.5,tanh,0.0054427777416723245,26,64,5,2,4
1778652655780,nmAhj,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/nmAhj,23,,local-env,,,,,,,,,,,
1778652656340,prAYR,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/prAYR,24,,local-env,MLP,32,2,0,elu,0.00033952662129690904,2,16,20,3,2
1778652664611,prAYR,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/prAYR,24,,local-env,,,,,,,,,,,
1778652665369,aYSvK,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aYSvK,25,,local-env,TCN,32,4,0.5,sigmoid,0.0004602450723846124,21,64,20,3,4
1778652675830,aYSvK,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/aYSvK,25,,local-env,,,,,,,,,,,
1778652676403,XkVii,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/XkVii,26,,local-env,RNN,16,4,0.5,relu,0.005403267181819053,27,128,20,5,8
1778652690665,XkVii,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/XkVii,26,,local-env,,,,,,,,,,,
1778652691436,dDPxn,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/dDPxn,27,,local-env,RNN,128,1,0.3,elu,8.01159929297599e-05,9,64,10,3,2
1778652697389,dDPxn,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/dDPxn,27,,local-env,,,,,,,,,,,
1778652697966,mkabS,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/mkabS,28,,local-env,CNN,256,2,0.1,sigmoid,0.0005586802610977682,9,32,15,3,8
1778652710673,mkabS,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/mkabS,28,,local-env,,,,,,,,,,,
1778652711497,W2vPj,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/W2vPj,29,,local-env,MLP,256,1,0,elu,0.0017395346024500417,2,16,15,5,4
1778652718254,W2vPj,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/W2vPj,29,,local-env,,,,,,,,,,,
1778652719022,hWuV8,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/hWuV8,30,,local-env,MLP,16,3,0,sigmoid,0.00011433707361178094,8,128,15,7,8
1778652723919,hWuV8,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/hWuV8,30,,local-env,,,,,,,,,,,
1778652724551,Gp9Rj,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Gp9Rj,31,,local-env,MLP,16,1,0.5,relu,0.000938631159620258,11,128,15,3,4
1778652729095,Gp9Rj,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Gp9Rj,31,,local-env,,,,,,,,,,,
1778652730078,HtuKj,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/HtuKj,32,,local-env,GRU,256,1,0.1,relu,0.0002790913481560062,17,64,5,2,8
1778652744537,HtuKj,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/HtuKj,32,,local-env,,,,,,,,,,,
1778652745114,rlJYH,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/rlJYH,33,,local-env,LSTM,128,4,0.5,tanh,9.478226038808984e-05,15,32,20,3,2
1778652834555,rlJYH,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/rlJYH,33,,local-env,,,,,,,,,,,
1778652835183,OYcxE,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/OYcxE,34,,local-env,CNN,128,2,0.3,relu,0.005418869970412987,25,64,5,2,2
1778652842470,OYcxE,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/OYcxE,34,,local-env,,,,,,,,,,,
1778652843212,F16kN,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/F16kN,35,,local-env,TCN,64,2,0.5,relu,0.0002015070994566584,23,128,15,2,4
1778652850118,F16kN,SUCCEEDED,,,,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/F16kN,35,,local-env,,,,,,,,,,,
1778652850744,Pxszx,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/4gxqytis/environments/local-env/trials/Pxszx,36,,local-env,MLP,128,1,0.1,sigmoid,0.00016099387469266458,29,32,5,7,4
