timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779155641592,ywKT7,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/ywKT7,0,,local-env,CNN,16,2,0.5,sigmoid,0.0013282534822571725,9,16,10,5,2
1779155651225,ywKT7,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/ywKT7,0,,local-env,,,,,,,,,,,
1779155652141,VCX3j,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/VCX3j,1,,local-env,MLP,32,2,0,relu,4.5393847429132466e-05,9,16,15,3,8
1779155665989,VCX3j,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/VCX3j,1,,local-env,,,,,,,,,,,
1779155666695,rl8GX,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/rl8GX,2,,local-env,GRU,128,3,0.2,elu,0.0021436557300656403,30,32,15,7,4
1779155770085,rl8GX,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/rl8GX,2,,local-env,,,,,,,,,,,
1779155770847,W0D6n,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/W0D6n,3,,local-env,CNN,128,1,0.1,tanh,0.001902997861471488,23,32,15,3,2
1779155781218,W0D6n,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/W0D6n,3,,local-env,,,,,,,,,,,
1779155781884,HUAtS,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/HUAtS,4,,local-env,Transformer,32,2,0.5,tanh,0.0007533122731578713,8,16,15,2,8
1779155809262,HUAtS,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/HUAtS,4,,local-env,,,,,,,,,,,
1779155809919,KmoQN,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/KmoQN,5,,local-env,GRU,256,2,0.5,relu,0.005397679570797682,22,32,10,2,8
1779155893323,KmoQN,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/KmoQN,5,,local-env,,,,,,,,,,,
1779155894008,OAMJq,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/OAMJq,6,,local-env,CNN,16,3,0.5,relu,2.936614322170254e-05,29,64,10,5,2
1779155901771,OAMJq,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/OAMJq,6,,local-env,,,,,,,,,,,
1779155902542,jbZIm,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/jbZIm,7,,local-env,GRU,16,1,0.2,tanh,1.2804000820888387e-05,7,32,5,5,2
1779155909738,jbZIm,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/jbZIm,7,,local-env,,,,,,,,,,,
1779155910562,SM1IP,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/SM1IP,8,,local-env,MLP,256,3,0,relu,0.004289451856149541,12,16,5,3,8
1779155917530,SM1IP,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/SM1IP,8,,local-env,,,,,,,,,,,
1779155918096,A8dyY,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/A8dyY,9,,local-env,TCN,64,4,0,relu,1.8936396396630746e-05,9,128,5,5,4
1779155923850,A8dyY,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/A8dyY,9,,local-env,,,,,,,,,,,
1779155924623,I5UM4,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/I5UM4,10,,local-env,MLP,16,1,0.5,sigmoid,1.4321674061238692e-05,19,128,10,5,2
1779155929487,I5UM4,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/I5UM4,10,,local-env,,,,,,,,,,,
1779155930143,jOc9n,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/jOc9n,11,,local-env,RNN,128,1,0.2,sigmoid,0.0007571565146827905,3,32,5,2,8
1779155936283,jOc9n,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/jOc9n,11,,local-env,,,,,,,,,,,
1779155937182,ZFpM4,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/ZFpM4,12,,local-env,LSTM,32,1,0.1,sigmoid,0.0006194128099473673,13,128,10,5,4
1779155945978,ZFpM4,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/ZFpM4,12,,local-env,,,,,,,,,,,
1779155946720,e0Wnt,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/e0Wnt,13,,local-env,CNN,32,4,0.1,relu,0.00046534857904227255,27,128,5,3,8
1779155952399,e0Wnt,SUCCEEDED,,,,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/e0Wnt,13,,local-env,,,,,,,,,,,
1779155953249,d45ke,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/ludf5nhb/environments/local-env/trials/d45ke,14,,local-env,RNN,16,4,0.1,elu,0.0015302309017563597,27,32,5,7,4
