timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779137700919,upH8v,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/upH8v,0,,local-env,RNN,128,1,0.3,relu,1.5842094268922755e-05,9,64,20,2,8
1779137717195,upH8v,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/upH8v,0,,local-env,,,,,,,,,,,
1779137717973,nXLH9,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/nXLH9,1,,local-env,MLP,16,4,0,elu,0.0019019099198200955,17,128,15,7,2
1779137723881,nXLH9,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/nXLH9,1,,local-env,,,,,,,,,,,
1779137724500,QOaUZ,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/QOaUZ,2,,local-env,LSTM,256,1,0,relu,6.931112856717642e-05,18,128,5,7,2
1779137739289,QOaUZ,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/QOaUZ,2,,local-env,,,,,,,,,,,
1779137740044,EtyXU,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/EtyXU,3,,local-env,LSTM,32,1,0.5,elu,0.008452093720569138,25,128,5,3,2
1779137747635,EtyXU,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/EtyXU,3,,local-env,,,,,,,,,,,
1779137748579,xCd35,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/xCd35,4,,local-env,LSTM,64,1,0.2,relu,0.00982809801002046,18,16,15,2,8
1779137782269,xCd35,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/xCd35,4,,local-env,,,,,,,,,,,
1779137783135,A8MZn,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/A8MZn,5,,local-env,RNN,64,1,0.3,relu,0.0005221018696682298,19,128,10,7,4
1779137790107,A8MZn,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/A8MZn,5,,local-env,,,,,,,,,,,
1779137790667,xzTzu,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/xzTzu,6,,local-env,LSTM,32,2,0.2,tanh,0.00016149320992149557,7,64,10,3,2
1779137802276,xzTzu,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/xzTzu,6,,local-env,,,,,,,,,,,
1779137803208,Z3LYk,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/Z3LYk,7,,local-env,CNN,128,4,0,elu,0.0004971493722296887,2,16,10,7,2
1779137825838,Z3LYk,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/Z3LYk,7,,local-env,,,,,,,,,,,
1779137826772,INQm7,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/INQm7,8,,local-env,LSTM,128,4,0.3,elu,0.00019834423127259638,21,64,10,2,8
1779137906643,INQm7,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/INQm7,8,,local-env,,,,,,,,,,,
1779137907383,QSRQz,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/QSRQz,9,,local-env,GRU,64,2,0.1,elu,3.844720228223228e-05,7,32,10,2,2
1779137925164,QSRQz,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/QSRQz,9,,local-env,,,,,,,,,,,
1779137925920,LvSrJ,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/LvSrJ,10,,local-env,MLP,128,3,0.2,relu,0.003230437616903582,22,128,5,5,2
1779137930697,LvSrJ,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/LvSrJ,10,,local-env,,,,,,,,,,,
1779137931456,ejzCG,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/ejzCG,11,,local-env,Transformer,128,3,0.3,relu,1.869594515251879e-05,14,64,20,7,2
1779137992268,ejzCG,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/ejzCG,11,,local-env,,,,,,,,,,,
1779137993049,s2Av2,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/s2Av2,12,,local-env,LSTM,16,4,0,elu,0.0005383072801860542,4,128,20,5,4
1779138013312,s2Av2,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/s2Av2,12,,local-env,,,,,,,,,,,
1779138014090,UmNd3,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/UmNd3,13,,local-env,TCN,256,3,0.3,sigmoid,0.007285547135312317,17,16,10,3,2
1779138047875,UmNd3,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/UmNd3,13,,local-env,,,,,,,,,,,
1779138048640,KrNFR,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/KrNFR,14,,local-env,RNN,16,2,0.2,elu,0.00021721557964013625,25,128,20,3,8
1779138060019,KrNFR,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/KrNFR,14,,local-env,,,,,,,,,,,
1779138060667,gqwWx,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/gqwWx,15,,local-env,GRU,128,1,0.3,tanh,0.0023065556808880665,6,32,5,5,4
1779138071029,gqwWx,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/gqwWx,15,,local-env,,,,,,,,,,,
1779138071695,zZjhx,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/zZjhx,16,,local-env,RNN,32,3,0,relu,0.0007063880029605084,4,64,5,3,4
1779138078262,zZjhx,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/zZjhx,16,,local-env,,,,,,,,,,,
1779138079219,fGHZ0,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/fGHZ0,17,,local-env,CNN,16,2,0.1,elu,0.0028027654147804006,6,16,20,7,8
1779138096534,fGHZ0,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/fGHZ0,17,,local-env,,,,,,,,,,,
1779138097252,OT2VX,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/OT2VX,18,,local-env,GRU,16,1,0.1,tanh,8.749376755448179e-05,14,32,10,2,4
1779138110388,OT2VX,SUCCEEDED,,,,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/OT2VX,18,,local-env,,,,,,,,,,,
1779138111293,rHAWc,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/t9y1lnoe/environments/local-env/trials/rHAWc,19,,local-env,Transformer,256,1,0,sigmoid,0.00011740259330552886,27,32,5,5,8
