timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779200791733,iSbXs,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/iSbXs,0,,local-env,GRU,32,4,0.5,tanh,0.0016541104214683943,15,32,10,2,2
1779200807988,iSbXs,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/iSbXs,0,,local-env,,,,,,,,,,,
1779200808777,l41IX,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/l41IX,1,,local-env,TCN,128,2,0.5,relu,0.0001360660320034914,4,64,5,5,8
1779200812872,l41IX,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/l41IX,1,,local-env,,,,,,,,,,,
1779200813815,Xu9t1,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Xu9t1,2,,local-env,CNN,128,3,0.2,tanh,0.007293067262650574,20,128,5,3,8
1779200819097,Xu9t1,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Xu9t1,2,,local-env,,,,,,,,,,,
1779200819846,gJSnO,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/gJSnO,3,,local-env,GRU,16,4,0.1,sigmoid,0.0004032257880079622,18,16,20,2,2
1779200854522,gJSnO,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/gJSnO,3,,local-env,,,,,,,,,,,
1779200855404,UvENo,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/UvENo,4,,local-env,GRU,128,3,0.3,tanh,0.00011186778078517769,13,64,20,3,8
1779200876014,UvENo,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/UvENo,4,,local-env,,,,,,,,,,,
1779200876952,PEn6H,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/PEn6H,5,,local-env,LSTM,64,4,0.1,relu,0.003220646521620774,24,128,20,7,4
1779200901540,PEn6H,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/PEn6H,5,,local-env,,,,,,,,,,,
1779200902511,BvLla,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/BvLla,6,,local-env,CNN,128,2,0.1,elu,0.0005574124177778636,17,64,20,3,4
1779200912190,BvLla,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/BvLla,6,,local-env,,,,,,,,,,,
1779200913044,bwdPl,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bwdPl,7,,local-env,Transformer,32,3,0.3,sigmoid,0.00014181879984667047,5,16,20,3,8
1779200931687,bwdPl,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bwdPl,7,,local-env,,,,,,,,,,,
1779200932581,O3n4e,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/O3n4e,8,,local-env,Transformer,128,4,0,tanh,0.0001371843768169638,26,128,5,2,8
1779200958346,O3n4e,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/O3n4e,8,,local-env,,,,,,,,,,,
1779200959122,zu0pl,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zu0pl,9,,local-env,RNN,128,1,0.5,sigmoid,0.0017349669510797819,26,128,10,2,4
1779200964789,zu0pl,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zu0pl,9,,local-env,,,,,,,,,,,
1779200965642,epbex,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/epbex,10,,local-env,TCN,16,1,0.1,elu,7.856728602107215e-05,14,128,20,5,4
1779200971999,epbex,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/epbex,10,,local-env,,,,,,,,,,,
1779200972676,Isjiq,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Isjiq,11,,local-env,Transformer,128,1,0.5,sigmoid,0.0002356871288293392,23,64,10,5,4
1779200980305,Isjiq,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Isjiq,11,,local-env,,,,,,,,,,,
1779200981204,MCiZx,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/MCiZx,12,,local-env,MLP,128,1,0.5,tanh,0.0002547098123038585,14,128,5,7,8
1779200985513,MCiZx,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/MCiZx,12,,local-env,,,,,,,,,,,
1779200986228,Nm5wD,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Nm5wD,13,,local-env,Transformer,64,4,0.1,relu,0.00020270853486407852,11,32,15,3,2
1779201007589,Nm5wD,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Nm5wD,13,,local-env,,,,,,,,,,,
1779201008265,fHh47,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/fHh47,14,,local-env,TCN,32,3,0,elu,0.00025941022925130887,10,32,15,7,8
1779201014893,fHh47,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/fHh47,14,,local-env,,,,,,,,,,,
1779201015795,HWY5r,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/HWY5r,15,,local-env,TCN,16,4,0.5,sigmoid,0.00011187964251271888,12,64,5,7,2
1779201020456,HWY5r,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/HWY5r,15,,local-env,,,,,,,,,,,
1779201021322,hVY4n,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/hVY4n,16,,local-env,RNN,32,2,0.5,sigmoid,0.0001928604083364005,5,16,10,7,4
1779201028744,hVY4n,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/hVY4n,16,,local-env,,,,,,,,,,,
1779201029351,WuSpi,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/WuSpi,17,,local-env,Transformer,128,3,0.1,relu,2.1742679144888496e-05,12,64,15,7,8
1779201050298,WuSpi,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/WuSpi,17,,local-env,,,,,,,,,,,
1779201050900,K5QUm,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/K5QUm,18,,local-env,TCN,32,3,0.1,elu,0.0029510332504642475,29,16,5,7,2
1779201056508,K5QUm,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/K5QUm,18,,local-env,,,,,,,,,,,
1779201057438,uO5fy,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/uO5fy,19,,local-env,Transformer,32,3,0.5,tanh,7.779171347037222e-05,11,64,20,5,4
1779201070549,uO5fy,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/uO5fy,19,,local-env,,,,,,,,,,,
1779201071483,UQmIT,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/UQmIT,20,,local-env,LSTM,64,2,0.3,relu,0.0010121118632823902,2,128,10,2,4
1779201083028,UQmIT,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/UQmIT,20,,local-env,,,,,,,,,,,
1779201084026,bujcc,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bujcc,21,,local-env,Transformer,256,4,0,sigmoid,0.0002504651466965648,12,128,15,5,4
1779201195701,bujcc,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bujcc,21,,local-env,,,,,,,,,,,
1779201196394,Ei9gu,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Ei9gu,22,,local-env,GRU,64,3,0.1,sigmoid,0.0004556794461499902,20,128,10,3,2
1779201217896,Ei9gu,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Ei9gu,22,,local-env,,,,,,,,,,,
1779201218469,Lm2BK,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Lm2BK,23,,local-env,MLP,128,4,0.5,relu,3.6072951218639056e-05,3,32,20,7,4
1779201226724,Lm2BK,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Lm2BK,23,,local-env,,,,,,,,,,,
1779201227509,mNey9,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/mNey9,24,,local-env,GRU,32,3,0,sigmoid,0.007294014482397152,11,128,10,5,4
1779201236856,mNey9,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/mNey9,24,,local-env,,,,,,,,,,,
1779201237536,GpORW,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/GpORW,25,,local-env,MLP,32,4,0,tanh,0.005417616440580064,16,64,20,5,8
1779201242953,GpORW,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/GpORW,25,,local-env,,,,,,,,,,,
1779201243572,bWaBx,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bWaBx,26,,local-env,LSTM,64,4,0.2,elu,0.0022226237908660146,14,128,20,2,8
1779201263426,bWaBx,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/bWaBx,26,,local-env,,,,,,,,,,,
1779201264112,VpHvk,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/VpHvk,27,,local-env,CNN,16,4,0,sigmoid,0.0013013657419193782,11,16,10,3,4
1779201270044,VpHvk,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/VpHvk,27,,local-env,,,,,,,,,,,
1779201270647,Ch0qW,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Ch0qW,28,,local-env,TCN,64,4,0.3,tanh,0.0002599481543966119,4,16,10,2,4
1779201277525,Ch0qW,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Ch0qW,28,,local-env,,,,,,,,,,,
1779201278178,M0MdG,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/M0MdG,29,,local-env,RNN,256,4,0.2,sigmoid,0.002652632015666277,21,64,5,5,8
1779201289142,M0MdG,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/M0MdG,29,,local-env,,,,,,,,,,,
1779201289713,Yoizz,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Yoizz,30,,local-env,LSTM,128,1,0.2,tanh,0.006427290275581346,8,64,15,3,2
1779201300107,Yoizz,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Yoizz,30,,local-env,,,,,,,,,,,
1779201300740,zWBzO,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zWBzO,31,,local-env,CNN,32,1,0.5,relu,0.008810238371816114,19,128,5,7,8
1779201305442,zWBzO,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zWBzO,31,,local-env,,,,,,,,,,,
1779201306268,YUVBV,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/YUVBV,32,,local-env,Transformer,128,1,0,relu,0.0010247640920488623,4,32,20,3,2
1779201317259,YUVBV,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/YUVBV,32,,local-env,,,,,,,,,,,
1779201317809,V3VDA,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/V3VDA,33,,local-env,CNN,64,4,0.3,sigmoid,0.007552727539452037,12,32,20,2,2
1779201328130,V3VDA,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/V3VDA,33,,local-env,,,,,,,,,,,
1779201328847,nbe9s,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/nbe9s,34,,local-env,GRU,32,1,0.3,sigmoid,0.00022470396813869108,3,64,15,2,2
1779201336529,nbe9s,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/nbe9s,34,,local-env,,,,,,,,,,,
1779201337379,Z01kj,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Z01kj,35,,local-env,MLP,64,2,0.1,elu,0.0015439343839419872,2,32,15,2,8
1779201342346,Z01kj,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Z01kj,35,,local-env,,,,,,,,,,,
1779201342908,HA9Ja,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/HA9Ja,36,,local-env,RNN,256,2,0.5,tanh,0.0024359317467124667,3,64,15,3,8
1779201354445,HA9Ja,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/HA9Ja,36,,local-env,,,,,,,,,,,
1779201355453,TJhM2,RUNNING,37,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/TJhM2,37,,local-env,Transformer,64,2,0.1,elu,7.297578211009823e-05,19,128,20,3,4
1779201371213,TJhM2,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/TJhM2,37,,local-env,,,,,,,,,,,
1779201371995,YZLGb,RUNNING,38,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/YZLGb,38,,local-env,TCN,32,1,0,tanh,0.0051110746093236065,26,32,20,7,8
1779201377965,YZLGb,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/YZLGb,38,,local-env,,,,,,,,,,,
1779201378519,Kjx5i,RUNNING,39,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Kjx5i,39,,local-env,GRU,128,1,0.2,tanh,3.2081500476702534e-05,30,128,10,5,4
1779201387512,Kjx5i,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/Kjx5i,39,,local-env,,,,,,,,,,,
1779201388047,zmY2i,RUNNING,40,algorithm,0,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zmY2i,40,,local-env,Transformer,16,1,0,relu,1.919149646846689e-05,18,16,10,3,4
1779201395132,zmY2i,SUCCEEDED,,,,/home/meliani/nni-experiments/l2vrtubj/environments/local-env/trials/zmY2i,40,,local-env,,,,,,,,,,,
