timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778587817315,rmn3M,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/rmn3M,0,,local-env,TCN,256,1,0.2,relu,0.004130245576660124,2,64,20,7,4
1778587825151,rmn3M,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/rmn3M,0,,local-env,,,,,,,,,,,
1778587825851,vZvAp,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/vZvAp,1,,local-env,CNN,64,3,0.3,sigmoid,0.0007230343479350759,10,64,20,5,8
1778587837229,vZvAp,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/vZvAp,1,,local-env,,,,,,,,,,,
1778587837886,esdiZ,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/esdiZ,2,,local-env,TCN,64,3,0.5,elu,0.0026895038438017656,17,32,10,2,2
1778587847408,esdiZ,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/esdiZ,2,,local-env,,,,,,,,,,,
1778587847925,FNmA9,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/FNmA9,3,,local-env,LSTM,32,2,0.2,elu,0.0003320491004084338,14,16,10,7,4
1778587873856,FNmA9,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/FNmA9,3,,local-env,,,,,,,,,,,
1778587874472,ppnEH,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/ppnEH,4,,local-env,CNN,64,2,0.2,relu,0.0017830004319800707,14,64,10,2,2
1778587886197,ppnEH,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/ppnEH,4,,local-env,,,,,,,,,,,
1778587887010,L9L49,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/L9L49,5,,local-env,GRU,256,1,0.1,sigmoid,5.666709174290397e-05,10,16,15,3,2
1778587933574,L9L49,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/L9L49,5,,local-env,,,,,,,,,,,
1778587934578,kRl4i,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/kRl4i,6,,local-env,TCN,256,2,0.1,relu,3.2508953687998474e-05,12,128,20,3,8
1778587950929,kRl4i,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/kRl4i,6,,local-env,,,,,,,,,,,
1778587951627,XAneA,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/XAneA,7,,local-env,MLP,256,1,0.3,tanh,0.0003558658109482968,7,16,10,3,4
1778587958303,XAneA,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/XAneA,7,,local-env,,,,,,,,,,,
1778587959167,inIf7,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/inIf7,8,,local-env,CNN,16,4,0.3,elu,0.000950866685303649,29,16,10,7,2
1778587970616,inIf7,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/inIf7,8,,local-env,,,,,,,,,,,
1778587971214,SjrPp,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/SjrPp,9,,local-env,Transformer,16,2,0.3,elu,0.0016372326532298003,7,32,20,2,8
1778588010420,SjrPp,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/SjrPp,9,,local-env,,,,,,,,,,,
1778588011288,SisNa,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/SisNa,10,,local-env,LSTM,128,3,0.3,sigmoid,1.2875649041521387e-05,21,64,15,5,4
1778588070604,SisNa,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/SisNa,10,,local-env,,,,,,,,,,,
1778588071348,CtyLC,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/CtyLC,11,,local-env,CNN,64,2,0.3,elu,1.2085681551745767e-05,14,128,10,7,2
1778588078253,CtyLC,SUCCEEDED,,,,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/CtyLC,11,,local-env,,,,,,,,,,,
1778588078878,JWRD5,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/3xtsq5ye/environments/local-env/trials/JWRD5,12,,local-env,Transformer,128,3,0.3,sigmoid,0.00010030645386517576,28,128,15,7,4
