timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779174442463,MHXek,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/MHXek,0,,local-env,LSTM,256,3,0.5,elu,0.0020367331504856923,11,64,15,3,8
1779174511547,MHXek,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/MHXek,0,,local-env,,,,,,,,,,,
1779174512084,Vu2c4,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/Vu2c4,1,,local-env,Transformer,64,4,0.1,tanh,7.621770209325748e-05,26,64,5,7,2
1779174530013,Vu2c4,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/Vu2c4,1,,local-env,,,,,,,,,,,
1779174530636,QvbY2,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/QvbY2,2,,local-env,CNN,128,1,0.2,relu,4.265237974574511e-05,8,64,10,7,4
1779174536043,QvbY2,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/QvbY2,2,,local-env,,,,,,,,,,,
1779174536660,eiTIj,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/eiTIj,3,,local-env,LSTM,256,2,0.3,sigmoid,1.991119701800029e-05,12,64,20,3,8
1779174595489,eiTIj,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/eiTIj,3,,local-env,,,,,,,,,,,
1779174596233,PLCNB,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/PLCNB,4,,local-env,MLP,16,1,0.2,elu,0.00021683500813400217,8,128,10,2,4
1779174600507,PLCNB,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/PLCNB,4,,local-env,,,,,,,,,,,
1779174601262,N6YnK,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/N6YnK,5,,local-env,MLP,32,1,0.3,tanh,6.877213231396316e-05,25,32,20,3,2
1779174607973,N6YnK,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/N6YnK,5,,local-env,,,,,,,,,,,
1779174608793,jwjLt,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/jwjLt,6,,local-env,CNN,256,1,0.5,relu,0.0003659376757962953,2,32,20,7,8
1779174617426,jwjLt,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/jwjLt,6,,local-env,,,,,,,,,,,
1779174618319,OUyu8,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/OUyu8,7,,local-env,TCN,128,3,0.1,tanh,6.513161292074194e-05,21,16,15,2,2
1779174638143,OUyu8,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/OUyu8,7,,local-env,,,,,,,,,,,
1779174638861,r4Jz5,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/r4Jz5,8,,local-env,CNN,128,1,0.5,elu,0.0005924654995575388,17,128,20,3,2
1779174645761,r4Jz5,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/r4Jz5,8,,local-env,,,,,,,,,,,
1779174646394,zzaxX,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/zzaxX,9,,local-env,CNN,128,1,0.3,relu,0.00037200864254450985,2,32,20,7,8
1779174654571,zzaxX,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/zzaxX,9,,local-env,,,,,,,,,,,
1779174655421,gIpbQ,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/gIpbQ,10,,local-env,CNN,256,2,0.2,tanh,2.736271777860117e-05,14,64,20,2,4
1779174669856,gIpbQ,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/gIpbQ,10,,local-env,,,,,,,,,,,
1779174670462,EFKTK,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/EFKTK,11,,local-env,LSTM,16,3,0.5,elu,2.3697126000980923e-05,11,32,20,7,4
1779174701023,EFKTK,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/EFKTK,11,,local-env,,,,,,,,,,,
1779174702008,Jl8gT,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/Jl8gT,12,,local-env,MLP,256,2,0,relu,0.0006397364060372068,21,64,10,7,4
1779174707324,Jl8gT,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/Jl8gT,12,,local-env,,,,,,,,,,,
1779174708029,j0VMZ,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/j0VMZ,13,,local-env,RNN,64,2,0.2,tanh,1.1969346280995069e-05,16,16,15,7,4
1779174729965,j0VMZ,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/j0VMZ,13,,local-env,,,,,,,,,,,
1779174730566,SotaM,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/SotaM,14,,local-env,Transformer,64,1,0.5,sigmoid,3.5640182059732664e-05,22,32,10,3,2
1779174742634,SotaM,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/SotaM,14,,local-env,,,,,,,,,,,
1779174743601,mSk44,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/mSk44,15,,local-env,TCN,16,2,0.1,relu,0.00031782384768454133,9,16,10,3,2
1779174751721,mSk44,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/mSk44,15,,local-env,,,,,,,,,,,
1779174752630,GU6T5,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/GU6T5,16,,local-env,GRU,16,2,0.2,elu,0.0044582302000840315,21,16,15,5,2
1779174796383,GU6T5,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/GU6T5,16,,local-env,,,,,,,,,,,
1779174797187,GzREc,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/GzREc,17,,local-env,TCN,16,2,0,relu,0.00012057195516350812,29,32,5,7,2
1779174802196,GzREc,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/GzREc,17,,local-env,,,,,,,,,,,
1779174802716,dM3Vl,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/dM3Vl,18,,local-env,CNN,64,2,0.2,sigmoid,6.86643868250717e-05,8,128,5,7,8
1779174807027,dM3Vl,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/dM3Vl,18,,local-env,,,,,,,,,,,
1779174807766,PvLd3,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/PvLd3,19,,local-env,GRU,32,4,0.3,tanh,0.0004600082020609412,3,128,5,2,4
1779174817823,PvLd3,SUCCEEDED,,,,/home/meliani/nni-experiments/ar3e6k8i/environments/local-env/trials/PvLd3,19,,local-env,,,,,,,,,,,
