timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778627959551,faelx,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/faelx,0,,local-env,LSTM,32,2,0.3,elu,0.002162542960960525,22,32,20,7,8
1778627971898,faelx,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/faelx,0,,local-env,,,,,,,,,,,
1778627972585,vchLG,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/vchLG,1,,local-env,CNN,16,2,0.5,relu,0.000323288706384616,20,64,20,2,8
1778627978017,vchLG,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/vchLG,1,,local-env,,,,,,,,,,,
1778627978609,vRQ9H,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/vRQ9H,2,,local-env,TCN,64,2,0,relu,0.0002628482065522688,5,128,15,5,2
1778627983518,vRQ9H,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/vRQ9H,2,,local-env,,,,,,,,,,,
1778627984140,HaFdS,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/HaFdS,3,,local-env,Transformer,16,3,0.3,relu,9.687761379130699e-05,7,16,10,3,8
1778627993771,HaFdS,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/HaFdS,3,,local-env,,,,,,,,,,,
1778627994676,oYpXh,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/oYpXh,4,,local-env,GRU,64,4,0.3,relu,3.100150824460632e-05,19,128,5,7,4
1778628004833,oYpXh,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/oYpXh,4,,local-env,,,,,,,,,,,
1778628005708,JHSV7,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/JHSV7,5,,local-env,Transformer,64,2,0.5,tanh,1.674988169407055e-05,5,16,20,5,2
1778628017135,JHSV7,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/JHSV7,5,,local-env,,,,,,,,,,,
1778628017745,Sb5Up,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/Sb5Up,6,,local-env,Transformer,32,4,0.3,tanh,0.0054120706890947844,13,64,10,5,2
1778628027728,Sb5Up,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/Sb5Up,6,,local-env,,,,,,,,,,,
1778628028279,kn1Up,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/kn1Up,7,,local-env,MLP,128,1,0.2,elu,0.0006424669916936643,5,128,15,3,8
1778628032574,kn1Up,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/kn1Up,7,,local-env,,,,,,,,,,,
1778628033304,cakfI,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/cakfI,8,,local-env,GRU,32,3,0,relu,0.0006468461702802677,11,16,20,2,8
1778628051381,cakfI,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/cakfI,8,,local-env,,,,,,,,,,,
1778628052335,r4JGH,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/r4JGH,9,,local-env,TCN,256,2,0,relu,0.00015275498519117588,23,16,15,5,2
1778628061739,r4JGH,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/r4JGH,9,,local-env,,,,,,,,,,,
1778628062362,t3EmH,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/t3EmH,10,,local-env,GRU,16,2,0.2,sigmoid,5.4998149473776216e-05,3,64,10,5,8
1778628069325,t3EmH,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/t3EmH,10,,local-env,,,,,,,,,,,
1778628069887,Ywj82,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/Ywj82,11,,local-env,LSTM,128,1,0.5,elu,0.00011841281156031112,22,16,15,3,4
1778628081586,Ywj82,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/Ywj82,11,,local-env,,,,,,,,,,,
1778628082415,atHVP,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/atHVP,12,,local-env,GRU,128,3,0.5,sigmoid,0.00712386792826505,8,32,20,7,8
1778628098351,atHVP,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/atHVP,12,,local-env,,,,,,,,,,,
1778628098946,M8zhV,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/M8zhV,13,,local-env,LSTM,256,2,0,elu,1.3193863934801007e-05,27,16,10,2,4
1778628128916,M8zhV,SUCCEEDED,,,,/home/meliani/nni-experiments/g1zsq2xi/environments/local-env/trials/M8zhV,13,,local-env,,,,,,,,,,,
