timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779202938988,BfaBp,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/BfaBp,0,,local-env,CNN,256,2,0.1,elu,8.238860393486189e-05,28,16,10,3,8
1779203022181,BfaBp,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/BfaBp,0,,local-env,,,,,,,,,,,
1779203022757,Oem1u,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/Oem1u,1,,local-env,LSTM,16,1,0.3,relu,5.30583866889317e-05,14,16,20,3,4
1779203065778,Oem1u,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/Oem1u,1,,local-env,,,,,,,,,,,
1779203066311,XGAHV,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/XGAHV,2,,local-env,TCN,256,4,0.1,elu,8.445707010108778e-05,28,64,20,2,2
1779203136062,XGAHV,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/XGAHV,2,,local-env,,,,,,,,,,,
1779203136943,QGXlq,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/QGXlq,3,,local-env,RNN,128,1,0.3,relu,0.0009119988673208908,2,64,5,2,4
1779203142102,QGXlq,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/QGXlq,3,,local-env,,,,,,,,,,,
1779203142973,RneiQ,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/RneiQ,4,,local-env,Transformer,128,1,0.1,relu,5.98548589462875e-05,2,32,20,3,8
1779203163224,RneiQ,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/RneiQ,4,,local-env,,,,,,,,,,,
1779203164018,WpMII,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/WpMII,5,,local-env,MLP,128,2,0.3,relu,0.0002737735570443226,13,128,20,2,4
1779203171495,WpMII,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/WpMII,5,,local-env,,,,,,,,,,,
1779203172044,CkwRo,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/CkwRo,6,,local-env,GRU,128,2,0,relu,7.830250611616006e-05,17,32,20,2,2
1779203242415,CkwRo,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/CkwRo,6,,local-env,,,,,,,,,,,
1779203243144,pkB1a,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/pkB1a,7,,local-env,RNN,16,1,0,relu,3.302496262456808e-05,2,64,10,7,4
1779203248488,pkB1a,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/pkB1a,7,,local-env,,,,,,,,,,,
1779203249167,HYy0a,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/HYy0a,8,,local-env,GRU,256,4,0,elu,0.00011694436210241528,9,64,10,7,8
1779203349859,HYy0a,SUCCEEDED,,,,/home/meliani/nni-experiments/1jguld6t/environments/local-env/trials/HYy0a,8,,local-env,,,,,,,,,,,
