timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779221830036,VeaPY,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/VeaPY,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779221837435,VeaPY,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/VeaPY,0,,local-env,,,,,,,,,,,
1779221838073,YyOLJ,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/YyOLJ,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779221845447,YyOLJ,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/YyOLJ,1,,local-env,,,,,,,,,,,
1779221846108,iJ1mD,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/iJ1mD,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779221853237,iJ1mD,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/iJ1mD,2,,local-env,,,,,,,,,,,
1779221854145,fNXNi,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/fNXNi,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779221861304,fNXNi,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/fNXNi,3,,local-env,,,,,,,,,,,
1779221862179,lUQXN,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/lUQXN,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779221869546,lUQXN,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/lUQXN,4,,local-env,,,,,,,,,,,
1779221870213,aI0Ig,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/aI0Ig,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779221877736,aI0Ig,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/aI0Ig,5,,local-env,,,,,,,,,,,
1779221878754,vCUCk,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/vCUCk,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779221886064,vCUCk,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/vCUCk,6,,local-env,,,,,,,,,,,
1779221886794,pTjgk,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/pTjgk,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779221893650,pTjgk,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/pTjgk,7,,local-env,,,,,,,,,,,
1779221894329,SG9kl,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/SG9kl,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779221901522,SG9kl,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/SG9kl,8,,local-env,,,,,,,,,,,
1779221902366,VSmJH,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/VSmJH,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779221909776,VSmJH,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/VSmJH,9,,local-env,,,,,,,,,,,
1779221910403,prjTy,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/prjTy,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779221917692,prjTy,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/prjTy,10,,local-env,,,,,,,,,,,
1779221918439,qWLpc,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/qWLpc,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779221925615,qWLpc,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/qWLpc,11,,local-env,,,,,,,,,,,
1779221926473,RFlv0,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/RFlv0,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779221936985,RFlv0,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/RFlv0,12,,local-env,,,,,,,,,,,
1779221937504,WGIuv,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/WGIuv,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779221948021,WGIuv,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/WGIuv,13,,local-env,,,,,,,,,,,
1779221948538,sbF61,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/sbF61,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779221958692,sbF61,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/sbF61,14,,local-env,,,,,,,,,,,
1779221959573,idKt0,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/idKt0,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1779221970034,idKt0,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/idKt0,15,,local-env,,,,,,,,,,,
1779221970602,fWLbh,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/fWLbh,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
1779221981061,fWLbh,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/fWLbh,16,,local-env,,,,,,,,,,,
1779221981635,UTqtO,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/UTqtO,17,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,8
1779221992285,UTqtO,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/UTqtO,17,,local-env,,,,,,,,,,,
1779221993176,zRfLg,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/zRfLg,18,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,2
1779222003457,zRfLg,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/zRfLg,18,,local-env,,,,,,,,,,,
1779222004220,d0BqF,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/d0BqF,19,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,4
1779222014545,d0BqF,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/d0BqF,19,,local-env,,,,,,,,,,,
1779222015249,cgo80,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/cgo80,20,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,8
1779222025798,cgo80,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/cgo80,20,,local-env,,,,,,,,,,,
1779222026786,pAhcY,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/pAhcY,21,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,2
1779222037188,pAhcY,SUCCEEDED,,,,/home/meliani/nni-experiments/4b79k2pw/environments/local-env/trials/pAhcY,21,,local-env,,,,,,,,,,,
