timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779150723558,D2wo1,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/D2wo1,0,,local-env,GRU,64,3,0.5,elu,2.0536149912861006e-05,10,64,15,2,2
1779150758529,D2wo1,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/D2wo1,0,,local-env,,,,,,,,,,,
1779150759132,ug2CP,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/ug2CP,1,,local-env,Transformer,32,2,0.3,sigmoid,0.0007774199049038425,10,128,5,3,4
1779150772812,ug2CP,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/ug2CP,1,,local-env,,,,,,,,,,,
1779150773695,zOmfk,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/zOmfk,2,,local-env,CNN,128,3,0,sigmoid,0.0010520515987985292,3,64,20,3,2
1779150783640,zOmfk,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/zOmfk,2,,local-env,,,,,,,,,,,
1779150784229,VYxyP,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/VYxyP,3,,local-env,GRU,64,4,0.1,elu,0.0004650389711003736,21,64,20,5,8
1779150843768,VYxyP,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/VYxyP,3,,local-env,,,,,,,,,,,
1779150844322,Dhy6r,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/Dhy6r,4,,local-env,TCN,256,2,0,tanh,0.00017442673645222607,23,32,10,3,8
1779150861468,Dhy6r,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/Dhy6r,4,,local-env,,,,,,,,,,,
1779150862373,FMu4h,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/FMu4h,5,,local-env,TCN,128,1,0.2,elu,9.3287085799835e-05,26,16,15,5,2
1779150878392,FMu4h,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/FMu4h,5,,local-env,,,,,,,,,,,
1779150878915,s1wBR,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/s1wBR,6,,local-env,LSTM,32,3,0.2,relu,0.002487559947380528,18,32,15,3,4
1779150919631,s1wBR,SUCCEEDED,,,,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/s1wBR,6,,local-env,,,,,,,,,,,
1779150920482,xdcmG,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/4lxf0rsc/environments/local-env/trials/xdcmG,7,,local-env,TCN,32,3,0.2,elu,0.0024167066438990905,18,32,10,2,4
