timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779131600173,lHNTr,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/lHNTr,0,,local-env,Transformer,64,1,0,tanh,6.447429116487522e-05,29,128,15,7,8
1779131620950,lHNTr,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/lHNTr,0,,local-env,,,,,,,,,,,
1779131621724,u3NHQ,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/u3NHQ,1,,local-env,Transformer,32,4,0.5,elu,0.002442790448792891,29,64,20,2,8
1779131701293,u3NHQ,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/u3NHQ,1,,local-env,,,,,,,,,,,
1779131701824,vaZaq,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/vaZaq,2,,local-env,MLP,32,1,0,tanh,9.374707566170154e-05,24,64,15,7,8
1779131712784,vaZaq,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/vaZaq,2,,local-env,,,,,,,,,,,
1779131713367,eF9Nk,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/eF9Nk,3,,local-env,GRU,16,3,0.2,tanh,4.047717690803465e-05,30,64,5,2,8
1779131736034,eF9Nk,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/eF9Nk,3,,local-env,,,,,,,,,,,
1779131736937,avNXy,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/avNXy,4,,local-env,MLP,16,4,0.5,elu,0.00011430974213103214,29,32,20,2,8
1779131745644,avNXy,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/avNXy,4,,local-env,,,,,,,,,,,
1779131746465,zIHYe,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/zIHYe,5,,local-env,MLP,128,4,0.1,sigmoid,5.513201218602772e-05,22,64,15,5,8
1779131753322,zIHYe,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/zIHYe,5,,local-env,,,,,,,,,,,
1779131753992,YjQii,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/YjQii,6,,local-env,MLP,32,3,0,tanh,1.193469449695326e-05,24,16,10,5,4
1779131760459,YjQii,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/YjQii,6,,local-env,,,,,,,,,,,
1779131761022,z2vcX,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/z2vcX,7,,local-env,MLP,256,1,0.2,tanh,6.763677754348504e-05,24,16,15,3,8
1779131768702,z2vcX,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/z2vcX,7,,local-env,,,,,,,,,,,
1779131769552,I1ooH,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/I1ooH,8,,local-env,Transformer,128,2,0.2,tanh,8.005430312213101e-05,29,32,15,2,4
1779131828905,I1ooH,SUCCEEDED,,,,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/I1ooH,8,,local-env,,,,,,,,,,,
1779131829626,ZylBE,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/4rj3i2qo/environments/local-env/trials/ZylBE,9,,local-env,GRU,128,1,0.3,tanh,0.00010192645406213336,24,16,10,3,4
