timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778602795471,KYOcG,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/KYOcG,0,,local-env,RNN,32,1,0.3,tanh,0.00343829865164711,11,16,10,5,2
1778602804170,KYOcG,SUCCEEDED,,,,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/KYOcG,0,,local-env,,,,,,,,,,,
1778602805009,mgIWE,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/mgIWE,1,,local-env,TCN,16,4,0.3,sigmoid,0.006281240278795571,28,32,15,7,4
1778602817117,mgIWE,SUCCEEDED,,,,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/mgIWE,1,,local-env,,,,,,,,,,,
1778602818047,KLOXv,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/KLOXv,2,,local-env,GRU,32,4,0.1,tanh,0.001990376106791676,18,16,10,2,4
1778602869157,KLOXv,SUCCEEDED,,,,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/KLOXv,2,,local-env,,,,,,,,,,,
1778602870121,gPk9g,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/gPk9g,3,,local-env,MLP,16,4,0.3,elu,2.8225506224518703e-05,7,32,15,7,2
1778602877776,gPk9g,SUCCEEDED,,,,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/gPk9g,3,,local-env,,,,,,,,,,,
1778602878655,VVMSA,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/VVMSA,4,,local-env,LSTM,16,1,0.5,relu,0.0001216777259689728,25,16,15,7,4
1778602907042,VVMSA,SUCCEEDED,,,,/home/meliani/nni-experiments/572yjqkp/environments/local-env/trials/VVMSA,4,,local-env,,,,,,,,,,,
