timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778622470242,UCleb,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/UCleb,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1778622476544,UCleb,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/UCleb,0,,local-env,,,,,,,,,,,
1778622477270,A7qWk,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/A7qWk,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1778622483920,A7qWk,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/A7qWk,1,,local-env,,,,,,,,,,,
1778622484801,Aq2HU,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/Aq2HU,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1778622491369,Aq2HU,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/Aq2HU,2,,local-env,,,,,,,,,,,
1778622492335,gnT5q,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/gnT5q,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1778622498736,gnT5q,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/gnT5q,3,,local-env,,,,,,,,,,,
1778622499362,A7ALV,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/A7ALV,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1778622505936,A7ALV,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/A7ALV,4,,local-env,,,,,,,,,,,
1778622506894,jyxJP,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/jyxJP,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1778622513374,jyxJP,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/jyxJP,5,,local-env,,,,,,,,,,,
1778622513921,JScOv,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/JScOv,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1778622520349,JScOv,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/JScOv,6,,local-env,,,,,,,,,,,
1778622520947,Vcg4x,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/Vcg4x,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1778622527479,Vcg4x,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/Vcg4x,7,,local-env,,,,,,,,,,,
1778622528476,jabbx,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/jabbx,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1778622534875,jabbx,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/jabbx,8,,local-env,,,,,,,,,,,
1778622535500,TuVRc,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/TuVRc,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1778622542168,TuVRc,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/TuVRc,9,,local-env,,,,,,,,,,,
1778622543031,UHD64,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/UHD64,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1778622549732,UHD64,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/UHD64,10,,local-env,,,,,,,,,,,
1778622550560,e86N4,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/e86N4,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1778622556993,e86N4,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/e86N4,11,,local-env,,,,,,,,,,,
1778622557585,bmmZY,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/bmmZY,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1778622566334,bmmZY,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/bmmZY,12,,local-env,,,,,,,,,,,
1778622567114,CHw86,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/CHw86,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1778622575849,CHw86,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/CHw86,13,,local-env,,,,,,,,,,,
1778622576641,yIgMD,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/yIgMD,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1778622585662,yIgMD,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/yIgMD,14,,local-env,,,,,,,,,,,
1778622586664,TjA89,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/TjA89,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1778622595532,TjA89,SUCCEEDED,,,,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/TjA89,15,,local-env,,,,,,,,,,,
1778622596198,fOfPw,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/5w2euajo/environments/local-env/trials/fOfPw,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
