timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778608961979,jFAhA,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/jFAhA,0,,local-env,GRU,64,2,0.5,elu,0.0005473100933204257,21,128,20,5,2
1778608982156,jFAhA,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/jFAhA,0,,local-env,,,,,,,,,,,
1778608983020,mlmQp,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/mlmQp,1,,local-env,GRU,128,4,0.2,elu,0.0007784372475351835,9,32,20,7,2
1778609038623,mlmQp,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/mlmQp,1,,local-env,,,,,,,,,,,
1778609039589,Oml5r,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Oml5r,2,,local-env,MLP,128,1,0.1,sigmoid,0.0001643678418080323,9,64,15,7,2
1778609045053,Oml5r,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Oml5r,2,,local-env,,,,,,,,,,,
1778609045618,Rse1z,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Rse1z,3,,local-env,RNN,64,4,0.3,sigmoid,6.931937140787797e-05,9,32,20,2,2
1778609069731,Rse1z,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Rse1z,3,,local-env,,,,,,,,,,,
1778609070666,uDExP,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/uDExP,4,,local-env,CNN,64,1,0.2,tanh,0.008781025872147439,20,128,10,7,4
1778609076988,uDExP,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/uDExP,4,,local-env,,,,,,,,,,,
1778609077698,P7q3j,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/P7q3j,5,,local-env,MLP,256,1,0.5,tanh,6.686963846948647e-05,27,128,15,5,8
1778609082602,P7q3j,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/P7q3j,5,,local-env,,,,,,,,,,,
1778609083222,YqVdh,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/YqVdh,6,,local-env,CNN,32,4,0.2,tanh,0.0013461063820853379,20,128,15,7,4
1778609090333,YqVdh,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/YqVdh,6,,local-env,,,,,,,,,,,
1778609091259,JrHIK,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/JrHIK,7,,local-env,RNN,256,1,0.3,tanh,0.00045227694336157776,27,128,15,2,8
1778609108541,JrHIK,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/JrHIK,7,,local-env,,,,,,,,,,,
1778609109301,Ta3Ow,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Ta3Ow,8,,local-env,MLP,256,1,0,elu,0.0004359360917652487,11,64,20,5,8
1778609116645,Ta3Ow,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/Ta3Ow,8,,local-env,,,,,,,,,,,
1778609117327,F70af,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/F70af,9,,local-env,MLP,256,1,0.5,elu,0.00012624490429857083,27,128,15,2,2
1778609124235,F70af,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/F70af,9,,local-env,,,,,,,,,,,
1778609124854,MqmJ3,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/MqmJ3,10,,local-env,MLP,128,1,0,tanh,0.00013602393064478813,11,64,20,7,8
1778609131772,MqmJ3,SUCCEEDED,,,,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/MqmJ3,10,,local-env,,,,,,,,,,,
1778609132381,T43eA,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/6nxesvfc/environments/local-env/trials/T43eA,11,,local-env,MLP,16,4,0,sigmoid,0.00033348380399397353,5,64,15,2,2
