timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779220219142,RGgMi,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/RGgMi,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779220225806,RGgMi,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/RGgMi,0,,local-env,,,,,,,,,,,
1779220226675,XgTEK,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/XgTEK,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779220233451,XgTEK,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/XgTEK,1,,local-env,,,,,,,,,,,
1779220234208,U84Ij,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/U84Ij,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779220240984,U84Ij,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/U84Ij,2,,local-env,,,,,,,,,,,
1779220241746,HGajm,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HGajm,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779220248413,HGajm,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HGajm,3,,local-env,,,,,,,,,,,
1779220249279,gQinS,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gQinS,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779220255917,gQinS,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gQinS,4,,local-env,,,,,,,,,,,
1779220256818,UdY1w,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/UdY1w,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779220263628,UdY1w,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/UdY1w,5,,local-env,,,,,,,,,,,
1779220264354,qaOzF,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/qaOzF,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779220270965,qaOzF,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/qaOzF,6,,local-env,,,,,,,,,,,
1779220271893,V3WoT,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/V3WoT,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779220278743,V3WoT,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/V3WoT,7,,local-env,,,,,,,,,,,
1779220279433,CbEb9,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/CbEb9,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779220286249,CbEb9,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/CbEb9,8,,local-env,,,,,,,,,,,
1779220286966,nr1dt,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/nr1dt,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779220293753,nr1dt,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/nr1dt,9,,local-env,,,,,,,,,,,
1779220294503,H1ISd,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/H1ISd,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779220301367,H1ISd,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/H1ISd,10,,local-env,,,,,,,,,,,
1779220302036,QnvQw,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/QnvQw,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779220308751,QnvQw,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/QnvQw,11,,local-env,,,,,,,,,,,
1779220309572,G5XKh,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/G5XKh,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779220318946,G5XKh,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/G5XKh,12,,local-env,,,,,,,,,,,
1779220319601,BMyca,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/BMyca,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779220329016,BMyca,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/BMyca,13,,local-env,,,,,,,,,,,
1779220329632,gsJLh,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gsJLh,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779220339106,gsJLh,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gsJLh,14,,local-env,,,,,,,,,,,
1779220339664,NRiSN,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NRiSN,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1779220348729,NRiSN,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NRiSN,15,,local-env,,,,,,,,,,,
1779220349690,HmXzF,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HmXzF,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
1779220359106,HmXzF,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HmXzF,16,,local-env,,,,,,,,,,,
1779220359723,vUD05,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/vUD05,17,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,8
1779220369028,vUD05,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/vUD05,17,,local-env,,,,,,,,,,,
1779220369764,cyZyh,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/cyZyh,18,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,2
1779220379451,cyZyh,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/cyZyh,18,,local-env,,,,,,,,,,,
1779220380311,pdS2v,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/pdS2v,19,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,4
1779220389638,pdS2v,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/pdS2v,19,,local-env,,,,,,,,,,,
1779220390346,H5Rmm,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/H5Rmm,20,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,8
1779220399827,H5Rmm,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/H5Rmm,20,,local-env,,,,,,,,,,,
1779220400379,NhDh4,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NhDh4,21,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,2
1779220409968,NhDh4,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NhDh4,21,,local-env,,,,,,,,,,,
1779220410914,sWAEl,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sWAEl,22,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,4
1779220420101,sWAEl,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sWAEl,22,,local-env,,,,,,,,,,,
1779220420951,tmMLr,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/tmMLr,23,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,8
1779220430052,tmMLr,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/tmMLr,23,,local-env,,,,,,,,,,,
1779220430988,fCC1Y,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/fCC1Y,24,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,2,2
1779220443046,fCC1Y,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/fCC1Y,24,,local-env,,,,,,,,,,,
1779220444021,HRM5b,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HRM5b,25,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,2,4
1779220455615,HRM5b,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/HRM5b,25,,local-env,,,,,,,,,,,
1779220456558,iPfXN,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/iPfXN,26,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,2,8
1779220468655,iPfXN,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/iPfXN,26,,local-env,,,,,,,,,,,
1779220469588,TPf2r,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/TPf2r,27,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,3,2
1779220481526,TPf2r,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/TPf2r,27,,local-env,,,,,,,,,,,
1779220482128,urU3R,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/urU3R,28,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,3,4
1779220494192,urU3R,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/urU3R,28,,local-env,,,,,,,,,,,
1779220495168,NcrdG,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NcrdG,29,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,3,8
1779220507046,NcrdG,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/NcrdG,29,,local-env,,,,,,,,,,,
1779220507706,hu7hm,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/hu7hm,30,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,5,2
1779220519584,hu7hm,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/hu7hm,30,,local-env,,,,,,,,,,,
1779220520242,gF5wz,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gF5wz,31,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,5,4
1779220532084,gF5wz,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/gF5wz,31,,local-env,,,,,,,,,,,
1779220532778,O5Ybj,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/O5Ybj,32,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,5,8
1779220544728,O5Ybj,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/O5Ybj,32,,local-env,,,,,,,,,,,
1779220545313,WNUQT,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/WNUQT,33,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,7,2
1779220557015,WNUQT,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/WNUQT,33,,local-env,,,,,,,,,,,
1779220557852,vMv9d,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/vMv9d,34,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,7,4
1779220569519,vMv9d,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/vMv9d,34,,local-env,,,,,,,,,,,
1779220570385,UrALt,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/UrALt,35,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,7,8
1779220581916,UrALt,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/UrALt,35,,local-env,,,,,,,,,,,
1779220582923,MuU0h,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/MuU0h,36,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,2,2
1779220597517,MuU0h,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/MuU0h,36,,local-env,,,,,,,,,,,
1779220598462,GH1Pq,RUNNING,37,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/GH1Pq,37,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,2,4
1779220612641,GH1Pq,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/GH1Pq,37,,local-env,,,,,,,,,,,
1779220613506,hHQd5,RUNNING,38,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/hHQd5,38,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,2,8
1779220627965,hHQd5,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/hHQd5,38,,local-env,,,,,,,,,,,
1779220628544,BDzbm,RUNNING,39,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/BDzbm,39,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,3,2
1779220642768,BDzbm,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/BDzbm,39,,local-env,,,,,,,,,,,
1779220643587,my3jK,RUNNING,40,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/my3jK,40,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,3,4
1779220658380,my3jK,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/my3jK,40,,local-env,,,,,,,,,,,
1779220659125,E8LSl,RUNNING,41,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/E8LSl,41,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,3,8
1779220673942,E8LSl,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/E8LSl,41,,local-env,,,,,,,,,,,
1779220674669,RVEys,RUNNING,42,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/RVEys,42,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,5,2
1779220688932,RVEys,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/RVEys,42,,local-env,,,,,,,,,,,
1779220689702,QLEps,RUNNING,43,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/QLEps,43,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,5,4
1779220704308,QLEps,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/QLEps,43,,local-env,,,,,,,,,,,
1779220705243,sd3dK,RUNNING,44,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sd3dK,44,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,5,8
1779220719819,sd3dK,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sd3dK,44,,local-env,,,,,,,,,,,
1779220720783,YqIE4,RUNNING,45,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/YqIE4,45,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,7,2
1779220735164,YqIE4,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/YqIE4,45,,local-env,,,,,,,,,,,
1779220735821,eMqqX,RUNNING,46,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/eMqqX,46,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,7,4
1779220750307,eMqqX,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/eMqqX,46,,local-env,,,,,,,,,,,
1779220750854,LVWdB,RUNNING,47,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/LVWdB,47,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,20,7,8
1779220765154,LVWdB,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/LVWdB,47,,local-env,,,,,,,,,,,
1779220765886,sfOo8,RUNNING,48,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sfOo8,48,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,2,2
1779220771511,sfOo8,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/sfOo8,48,,local-env,,,,,,,,,,,
1779220772418,Dg5JD,RUNNING,49,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/Dg5JD,49,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,2,4
1779220778134,Dg5JD,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/Dg5JD,49,,local-env,,,,,,,,,,,
1779220778950,AHN7c,RUNNING,50,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/AHN7c,50,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,2,8
1779220784702,AHN7c,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/AHN7c,50,,local-env,,,,,,,,,,,
1779220785512,CaH6N,RUNNING,51,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/CaH6N,51,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,3,2
1779220791261,CaH6N,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/CaH6N,51,,local-env,,,,,,,,,,,
1779220792044,n9SCy,RUNNING,52,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/n9SCy,52,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,3,4
1779220797840,n9SCy,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/n9SCy,52,,local-env,,,,,,,,,,,
1779220798582,fGzmT,RUNNING,53,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/fGzmT,53,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,3,8
1779220804293,fGzmT,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/fGzmT,53,,local-env,,,,,,,,,,,
1779220805118,xc45G,RUNNING,54,algorithm,0,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/xc45G,54,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,32,5,5,2
1779220810850,xc45G,SUCCEEDED,,,,/home/meliani/nni-experiments/9cyrzn1j/environments/local-env/trials/xc45G,54,,local-env,,,,,,,,,,,
