timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779164735352,XqzVL,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/XqzVL,0,,local-env,TCN,32,3,0.3,elu,0.0073548779366278535,16,32,15,5,4
1779164746816,XqzVL,SUCCEEDED,,,,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/XqzVL,0,,local-env,,,,,,,,,,,
1779164747391,jwZJ1,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/jwZJ1,1,,local-env,Transformer,16,4,0.5,relu,6.787643886517998e-05,29,128,10,3,4
1779164769411,jwZJ1,SUCCEEDED,,,,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/jwZJ1,1,,local-env,,,,,,,,,,,
1779164769934,hfsZd,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/hfsZd,2,,local-env,RNN,64,3,0.1,sigmoid,0.00036181970202530257,20,128,10,5,4
1779164780529,hfsZd,SUCCEEDED,,,,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/hfsZd,2,,local-env,,,,,,,,,,,
1779164781468,XivIZ,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/XivIZ,3,,local-env,LSTM,16,1,0.3,sigmoid,0.0011142527959971942,19,128,20,3,8
1779164791899,XivIZ,SUCCEEDED,,,,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/XivIZ,3,,local-env,,,,,,,,,,,
1779164792508,QdpIF,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/QdpIF,4,,local-env,Transformer,32,1,0.3,elu,0.0010468621394122799,21,16,15,7,8
1779164817104,QdpIF,SUCCEEDED,,,,/home/meliani/nni-experiments/aw8yiksv/environments/local-env/trials/QdpIF,4,,local-env,,,,,,,,,,,
