timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779112824796,aUsEr,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/aUsEr,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779112831356,aUsEr,SUCCEEDED,,,,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/aUsEr,0,,local-env,,,,,,,,,,,
1779112832332,xzvum,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/xzvum,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779112838978,xzvum,SUCCEEDED,,,,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/xzvum,1,,local-env,,,,,,,,,,,
1779112839868,cvIFE,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/cvIFE,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779112846397,cvIFE,SUCCEEDED,,,,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/cvIFE,2,,local-env,,,,,,,,,,,
1779112847406,wa4Zk,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/wa4Zk,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779112853918,wa4Zk,SUCCEEDED,,,,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/wa4Zk,3,,local-env,,,,,,,,,,,
1779112854438,BXxqX,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/BXxqX,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779112861241,BXxqX,SUCCEEDED,,,,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/BXxqX,4,,local-env,,,,,,,,,,,
1779112861970,fbjVq,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/b75ytpw1/environments/local-env/trials/fbjVq,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
