timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779173824270,IfSwj,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/IfSwj,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779173836555,IfSwj,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/IfSwj,0,,local-env,,,,,,,,,,,
1779173837325,lc3wq,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/lc3wq,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779173845472,lc3wq,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/lc3wq,1,,local-env,,,,,,,,,,,
1779173846360,OlwsE,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/OlwsE,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779173853261,OlwsE,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/OlwsE,2,,local-env,,,,,,,,,,,
1779173853886,Q0tyv,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/Q0tyv,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779173861772,Q0tyv,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/Q0tyv,3,,local-env,,,,,,,,,,,
1779173862413,Zw34c,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/Zw34c,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779173870076,Zw34c,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/Zw34c,4,,local-env,,,,,,,,,,,
1779173870940,oAsnJ,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/oAsnJ,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779173878064,oAsnJ,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/oAsnJ,5,,local-env,,,,,,,,,,,
1779173878966,ljRLi,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/ljRLi,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779173886639,ljRLi,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/ljRLi,6,,local-env,,,,,,,,,,,
1779173887500,DAFts,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/DAFts,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779173895191,DAFts,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/DAFts,7,,local-env,,,,,,,,,,,
1779173896038,JhDbP,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/JhDbP,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779173903780,JhDbP,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/JhDbP,8,,local-env,,,,,,,,,,,
1779173904574,eO1uN,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/eO1uN,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779173911507,eO1uN,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/eO1uN,9,,local-env,,,,,,,,,,,
1779173912102,vGhzU,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/vGhzU,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779173919258,vGhzU,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/vGhzU,10,,local-env,,,,,,,,,,,
1779173920128,waTDe,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/waTDe,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779173927713,waTDe,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/waTDe,11,,local-env,,,,,,,,,,,
1779173928658,iRkeY,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/iRkeY,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779173940434,iRkeY,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/iRkeY,12,,local-env,,,,,,,,,,,
1779173941190,CbJqK,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/CbJqK,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779173953775,CbJqK,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/CbJqK,13,,local-env,,,,,,,,,,,
1779173954727,xKXsX,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/xKXsX,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779173967303,xKXsX,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/xKXsX,14,,local-env,,,,,,,,,,,
1779173968261,KXO3u,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/KXO3u,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1779173981368,KXO3u,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/KXO3u,15,,local-env,,,,,,,,,,,
1779173982301,mn6wr,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/mn6wr,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
1779173994691,mn6wr,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/mn6wr,16,,local-env,,,,,,,,,,,
1779173995344,U9MS3,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/U9MS3,17,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,8
1779174008001,U9MS3,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/U9MS3,17,,local-env,,,,,,,,,,,
1779174008883,VLOlo,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/VLOlo,18,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,2
1779174019290,VLOlo,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/VLOlo,18,,local-env,,,,,,,,,,,
1779174019925,xwaUP,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/xwaUP,19,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,4
1779174032328,xwaUP,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/xwaUP,19,,local-env,,,,,,,,,,,
1779174032962,UWYkp,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/UWYkp,20,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,8
1779174045342,UWYkp,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/UWYkp,20,,local-env,,,,,,,,,,,
1779174045999,SgIOG,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/SgIOG,21,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,2
1779174058418,SgIOG,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/SgIOG,21,,local-env,,,,,,,,,,,
1779174059029,JnKtk,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/JnKtk,22,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,4
1779174070397,JnKtk,SUCCEEDED,,,,/home/meliani/nni-experiments/d9hj1mbx/environments/local-env/trials/JnKtk,22,,local-env,,,,,,,,,,,
