timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778608348470,KuasS,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/KuasS,0,,local-env,MLP,128,1,0.1,sigmoid,0.0015264916176350586,2,16,10,5,2
1778608353997,KuasS,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/KuasS,0,,local-env,,,,,,,,,,,
1778608354998,C8rlT,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/C8rlT,1,,local-env,TCN,256,1,0.2,elu,0.006239668693268996,29,64,20,5,2
1778608363842,C8rlT,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/C8rlT,1,,local-env,,,,,,,,,,,
1778608364522,stwl3,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/stwl3,2,,local-env,LSTM,128,4,0.2,sigmoid,0.0002681118676659183,24,32,15,5,2
1778608461598,stwl3,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/stwl3,2,,local-env,,,,,,,,,,,
1778608462133,W4Zo2,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/W4Zo2,3,,local-env,CNN,128,4,0.3,sigmoid,0.001183682667645378,2,128,15,5,8
1778608469494,W4Zo2,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/W4Zo2,3,,local-env,,,,,,,,,,,
1778608470164,G3m3c,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/G3m3c,4,,local-env,Transformer,64,1,0.1,sigmoid,0.0027513220396837785,30,16,10,5,2
1778608485988,G3m3c,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/G3m3c,4,,local-env,,,,,,,,,,,
1778608486701,vnqEL,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/vnqEL,5,,local-env,CNN,256,4,0,sigmoid,0.004465594333116187,23,64,10,5,8
1778608522497,vnqEL,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/vnqEL,5,,local-env,,,,,,,,,,,
1778608523298,pSoAr,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/pSoAr,6,,local-env,Transformer,16,1,0.1,sigmoid,0.00028299241964717907,30,64,10,5,2
1778608534267,pSoAr,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/pSoAr,6,,local-env,,,,,,,,,,,
1778608534829,qnaBv,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/qnaBv,7,,local-env,RNN,32,4,0,sigmoid,0.0035722000667628914,15,16,20,3,8
1778608569275,qnaBv,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/qnaBv,7,,local-env,,,,,,,,,,,
1778608569873,W2Rvm,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/W2Rvm,8,,local-env,Transformer,64,1,0.1,relu,0.00043067568874250345,30,16,10,2,2
1778608585090,W2Rvm,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/W2Rvm,8,,local-env,,,,,,,,,,,
1778608585906,BQxmx,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/BQxmx,9,,local-env,LSTM,64,1,0.2,tanh,0.008480170776749313,23,32,10,7,2
1778608598766,BQxmx,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/BQxmx,9,,local-env,,,,,,,,,,,
1778608599435,vcySG,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/vcySG,10,,local-env,MLP,16,4,0.1,tanh,0.0015524913926526726,2,16,10,5,2
1778608605574,vcySG,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/vcySG,10,,local-env,,,,,,,,,,,
1778608606460,C7XM9,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/C7XM9,11,,local-env,MLP,64,1,0.3,sigmoid,0.00031755889957646726,2,16,10,5,2
1778608612269,C7XM9,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/C7XM9,11,,local-env,,,,,,,,,,,
1778608612988,GxMYm,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/GxMYm,12,,local-env,MLP,64,2,0.3,elu,0.0009828821005554125,30,128,10,5,8
1778608617231,GxMYm,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/GxMYm,12,,local-env,,,,,,,,,,,
1778608618020,POvGJ,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/POvGJ,13,,local-env,GRU,16,3,0,sigmoid,0.0003939736076296363,2,16,10,5,2
1778608633944,POvGJ,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/POvGJ,13,,local-env,,,,,,,,,,,
1778608634548,xmTH6,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/xmTH6,14,,local-env,CNN,64,4,0.3,sigmoid,0.0005804901658811854,30,128,10,3,8
1778608641624,xmTH6,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/xmTH6,14,,local-env,,,,,,,,,,,
1778608642573,kVpCx,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/kVpCx,15,,local-env,Transformer,64,3,0.3,elu,0.00379791758875096,30,128,15,7,2
1778608668039,kVpCx,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/kVpCx,15,,local-env,,,,,,,,,,,
1778608668622,kQGkz,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/kQGkz,16,,local-env,CNN,64,2,0.3,relu,0.0001634410589941986,2,16,10,5,2
1778608676694,kQGkz,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/kQGkz,16,,local-env,,,,,,,,,,,
1778608677647,IeAvD,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/IeAvD,17,,local-env,MLP,64,1,0.3,sigmoid,0.0005710569272794045,2,16,10,5,2
1778608683465,IeAvD,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/IeAvD,17,,local-env,,,,,,,,,,,
1778608684175,iwJvi,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/iwJvi,18,,local-env,MLP,64,3,0.3,relu,0.0007625459534446128,2,16,10,5,2
1778608690520,iwJvi,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/iwJvi,18,,local-env,,,,,,,,,,,
1778608691207,enpxZ,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/enpxZ,19,,local-env,CNN,64,3,0.3,sigmoid,0.001455391533885302,22,128,10,5,2
1778608697300,enpxZ,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/enpxZ,19,,local-env,,,,,,,,,,,
1778608698233,gAAFF,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/gAAFF,20,,local-env,MLP,64,1,0.3,sigmoid,0.00011722699094394353,2,16,10,5,2
1778608703841,gAAFF,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/gAAFF,20,,local-env,,,,,,,,,,,
1778608704766,uCPhw,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/uCPhw,21,,local-env,RNN,16,1,0.5,sigmoid,0.00030526745419481676,2,16,5,5,2
1778608709984,uCPhw,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/uCPhw,21,,local-env,,,,,,,,,,,
1778608710793,XgXYZ,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/XgXYZ,22,,local-env,GRU,32,4,0.3,sigmoid,0.0008269477691684732,22,128,20,3,8
1778608743539,XgXYZ,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/XgXYZ,22,,local-env,,,,,,,,,,,
1778608744347,rj4j3,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/rj4j3,23,,local-env,CNN,64,4,0.3,sigmoid,0.0007794495755718086,30,128,10,3,8
1778608751030,rj4j3,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/rj4j3,23,,local-env,,,,,,,,,,,
1778608751875,dQqqf,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/dQqqf,24,,local-env,GRU,64,4,0.1,sigmoid,0.0019132525735795348,30,128,10,3,8
1778608778828,dQqqf,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/dQqqf,24,,local-env,,,,,,,,,,,
1778608779427,HpNIA,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/HpNIA,25,,local-env,MLP,64,1,0.3,sigmoid,0.00028902329957789446,2,16,10,3,2
1778608785074,HpNIA,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/HpNIA,25,,local-env,,,,,,,,,,,
1778608785953,Bf5Kn,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/Bf5Kn,26,,local-env,GRU,64,1,0,sigmoid,0.0003837334026286745,2,64,10,5,8
1778608792321,Bf5Kn,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/Bf5Kn,26,,local-env,,,,,,,,,,,
1778608792981,zs1VI,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/zs1VI,27,,local-env,CNN,64,1,0.5,relu,0.00037209348635810975,23,128,10,3,2
1778608797826,zs1VI,SUCCEEDED,,,,/home/meliani/nni-experiments/e29h8otp/environments/local-env/trials/zs1VI,27,,local-env,,,,,,,,,,,
