timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779186557006,Dl6Zl,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/Dl6Zl,0,,local-env,Transformer,128,3,0.5,elu,0.00017812714777070963,29,32,15,5,2
1779186629840,Dl6Zl,SUCCEEDED,,,,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/Dl6Zl,0,,local-env,,,,,,,,,,,
1779186630651,oBUyP,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/oBUyP,1,,local-env,CNN,32,1,0.5,tanh,1.1404762945994157e-05,9,16,20,7,2
1779186643091,oBUyP,SUCCEEDED,,,,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/oBUyP,1,,local-env,,,,,,,,,,,
1779186643683,sBBR1,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/sBBR1,2,,local-env,RNN,64,1,0.1,tanh,2.035563892101052e-05,8,64,15,3,4
1779186651118,sBBR1,SUCCEEDED,,,,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/sBBR1,2,,local-env,,,,,,,,,,,
1779186651708,YRvGx,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/YRvGx,3,,local-env,TCN,16,2,0.2,elu,1.0049572332086261e-05,14,16,5,3,8
1779186657501,YRvGx,SUCCEEDED,,,,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/YRvGx,3,,local-env,,,,,,,,,,,
1779186658237,Xsl3N,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/Xsl3N,4,,local-env,CNN,128,3,0,relu,0.0031878628841960363,30,64,20,5,4
1779186676859,Xsl3N,SUCCEEDED,,,,/home/meliani/nni-experiments/e4dqx01r/environments/local-env/trials/Xsl3N,4,,local-env,,,,,,,,,,,
