timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779124376309,iuGog,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/iuGog,0,,local-env,GRU,64,4,0.5,tanh,0.001845528666168218,6,16,20,7,4
1779124444470,iuGog,SUCCEEDED,,,,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/iuGog,0,,local-env,,,,,,,,,,,
1779124445410,OfKCh,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/OfKCh,1,,local-env,Transformer,32,3,0.3,elu,0.00044588584975160787,3,16,20,2,2
1779124481803,OfKCh,SUCCEEDED,,,,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/OfKCh,1,,local-env,,,,,,,,,,,
1779124482475,c891T,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/c891T,2,,local-env,CNN,16,4,0.1,tanh,0.00020452892167111594,19,64,10,7,4
1779124489992,c891T,SUCCEEDED,,,,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/c891T,2,,local-env,,,,,,,,,,,
1779124491004,lcH42,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/lcH42,3,,local-env,Transformer,32,1,0.2,tanh,0.002641285922375098,6,64,10,7,2
1779124498783,lcH42,SUCCEEDED,,,,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/lcH42,3,,local-env,,,,,,,,,,,
1779124499543,ZvkNL,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/ZvkNL,4,,local-env,TCN,16,2,0,elu,0.00013297919694284666,15,128,5,5,8
1779124504016,ZvkNL,SUCCEEDED,,,,/home/meliani/nni-experiments/ev1qahdx/environments/local-env/trials/ZvkNL,4,,local-env,,,,,,,,,,,
