timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779166796496,Ed4zF,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Ed4zF,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779166803837,Ed4zF,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Ed4zF,0,,local-env,,,,,,,,,,,
1779166804533,Q94kg,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Q94kg,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779166812141,Q94kg,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Q94kg,1,,local-env,,,,,,,,,,,
1779166813064,Dq5wi,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Dq5wi,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779166820500,Dq5wi,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Dq5wi,2,,local-env,,,,,,,,,,,
1779166821091,FYMMW,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/FYMMW,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779166828172,FYMMW,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/FYMMW,3,,local-env,,,,,,,,,,,
1779166829129,pFdBB,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/pFdBB,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779166836437,pFdBB,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/pFdBB,4,,local-env,,,,,,,,,,,
1779166837157,aftbH,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/aftbH,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779166844692,aftbH,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/aftbH,5,,local-env,,,,,,,,,,,
1779166845691,hABRp,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/hABRp,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779166853370,hABRp,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/hABRp,6,,local-env,,,,,,,,,,,
1779166854218,ga5nN,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/ga5nN,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779166861351,ga5nN,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/ga5nN,7,,local-env,,,,,,,,,,,
1779166862240,idlhh,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/idlhh,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779166869610,idlhh,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/idlhh,8,,local-env,,,,,,,,,,,
1779166870266,Mtba5,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Mtba5,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779166877887,Mtba5,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/Mtba5,9,,local-env,,,,,,,,,,,
1779166878797,S3aS2,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/S3aS2,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779166886057,S3aS2,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/S3aS2,10,,local-env,,,,,,,,,,,
1779166886834,VG4Oz,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/VG4Oz,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779166893991,VG4Oz,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/VG4Oz,11,,local-env,,,,,,,,,,,
1779166894868,rl5LH,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/rl5LH,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779166904876,rl5LH,SUCCEEDED,,,,/home/meliani/nni-experiments/f06mrqjs/environments/local-env/trials/rl5LH,12,,local-env,,,,,,,,,,,
