timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778638974946,X8CuU,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/X8CuU,0,,local-env,GRU,32,2,0.1,tanh,0.0010248646539600104,4,128,20,7,8
1778638985610,X8CuU,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/X8CuU,0,,local-env,,,,,,,,,,,
1778638986477,ZZjWT,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/ZZjWT,1,,local-env,LSTM,64,2,0.1,elu,0.00045387580531662026,4,64,20,7,4
1778639000919,ZZjWT,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/ZZjWT,1,,local-env,,,,,,,,,,,
1778639001511,kCogP,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/kCogP,2,,local-env,TCN,16,3,0.3,relu,4.4837159278216645e-05,30,64,10,3,8
1778639008081,kCogP,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/kCogP,2,,local-env,,,,,,,,,,,
1778639009037,uaK53,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/uaK53,3,,local-env,Transformer,16,2,0.3,relu,0.00011879264031982715,7,128,10,7,4
1778639017965,uaK53,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/uaK53,3,,local-env,,,,,,,,,,,
1778639018574,P7kNJ,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/P7kNJ,4,,local-env,MLP,16,2,0.5,sigmoid,6.209112344218302e-05,15,16,10,3,4
1778639025062,P7kNJ,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/P7kNJ,4,,local-env,,,,,,,,,,,
1778639025607,tuYxO,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/tuYxO,5,,local-env,GRU,16,3,0.3,relu,0.0003066928942213715,3,64,5,5,4
1778639034457,tuYxO,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/tuYxO,5,,local-env,,,,,,,,,,,
1778639035136,FRKtb,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/FRKtb,6,,local-env,TCN,64,3,0.2,relu,1.2126110403514961e-05,30,64,10,3,8
1778639043517,FRKtb,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/FRKtb,6,,local-env,,,,,,,,,,,
1778639044167,YSafc,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/YSafc,7,,local-env,RNN,16,2,0.3,tanh,0.0006733135338542503,8,32,15,3,4
1778639055422,YSafc,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/YSafc,7,,local-env,,,,,,,,,,,
1778639056192,qDSrs,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/qDSrs,8,,local-env,RNN,16,2,0.5,elu,0.00011403911356693012,29,32,5,3,4
1778639065121,qDSrs,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/qDSrs,8,,local-env,,,,,,,,,,,
1778639065725,SOA2p,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/SOA2p,9,,local-env,MLP,256,4,0.3,relu,3.3311972054567806e-05,5,128,10,3,4
1778639071673,SOA2p,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/SOA2p,9,,local-env,,,,,,,,,,,
1778639072252,ju1rf,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/ju1rf,10,,local-env,MLP,32,4,0,relu,5.759766576694156e-05,30,128,5,3,4
1778639076114,ju1rf,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/ju1rf,10,,local-env,,,,,,,,,,,
1778639076784,lIa7X,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/lIa7X,11,,local-env,MLP,256,4,0.3,relu,1.0799987208123674e-05,5,128,20,3,8
1778639085659,lIa7X,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/lIa7X,11,,local-env,,,,,,,,,,,
1778639086312,dpyQp,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/dpyQp,12,,local-env,MLP,256,1,0.5,relu,6.355756100959151e-05,5,32,20,3,8
1778639093702,dpyQp,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/dpyQp,12,,local-env,,,,,,,,,,,
1778639094337,Dclhq,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/Dclhq,13,,local-env,MLP,256,4,0.5,tanh,1.3420625430148326e-05,5,128,20,3,4
1778639104011,Dclhq,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/Dclhq,13,,local-env,,,,,,,,,,,
1778639104862,VDiPH,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/VDiPH,14,,local-env,TCN,256,4,0.1,relu,9.306491429211632e-05,5,32,20,2,8
1778639144458,VDiPH,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/VDiPH,14,,local-env,,,,,,,,,,,
1778639145427,deIUC,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/deIUC,15,,local-env,MLP,256,4,0,relu,9.955148394389837e-05,18,64,20,3,8
1778639154722,deIUC,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/deIUC,15,,local-env,,,,,,,,,,,
1778639155455,oLBpn,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/oLBpn,16,,local-env,MLP,256,4,0.5,relu,5.035371697653096e-05,28,128,20,5,2
1778639164518,oLBpn,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/oLBpn,16,,local-env,,,,,,,,,,,
1778639165484,HcX6G,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/HcX6G,17,,local-env,Transformer,256,1,0.1,tanh,0.001080684143198745,8,32,10,3,4
1778639185077,HcX6G,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/HcX6G,17,,local-env,,,,,,,,,,,
1778639186022,n47lw,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/n47lw,18,,local-env,MLP,256,4,0,relu,2.0708554975380744e-05,5,128,20,3,8
1778639196810,n47lw,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/n47lw,18,,local-env,,,,,,,,,,,
1778639197558,CJ0L9,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/CJ0L9,19,,local-env,Transformer,256,1,0,relu,4.465352099922515e-05,18,64,20,7,2
1778639228365,CJ0L9,SUCCEEDED,,,,/home/meliani/nni-experiments/hc80yaiq/environments/local-env/trials/CJ0L9,19,,local-env,,,,,,,,,,,
