timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779228261386,w3qbs,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/w3qbs,0,,local-env,GRU,128,2,0.2,elu,0.003228275292108046,7,32,10,2,8
1779228281477,w3qbs,SUCCEEDED,,,,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/w3qbs,0,,local-env,,,,,,,,,,,
1779228282430,FXgR7,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/FXgR7,1,,local-env,GRU,16,4,0.2,sigmoid,0.00021889511861512888,15,128,15,5,8
1779228301032,FXgR7,SUCCEEDED,,,,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/FXgR7,1,,local-env,,,,,,,,,,,
1779228301981,RQV2w,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/RQV2w,2,,local-env,RNN,32,1,0.3,relu,0.003427600026695577,8,128,5,5,2
1779228305954,RQV2w,SUCCEEDED,,,,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/RQV2w,2,,local-env,,,,,,,,,,,
1779228306513,gsWJc,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/gsWJc,3,,local-env,CNN,256,4,0.3,tanh,0.004633472484147349,26,32,5,3,2
1779228320601,gsWJc,SUCCEEDED,,,,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/gsWJc,3,,local-env,,,,,,,,,,,
1779228321558,WRf1x,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/WRf1x,4,,local-env,MLP,32,2,0.5,relu,0.0006457390768815969,9,64,10,5,8
1779228325805,WRf1x,SUCCEEDED,,,,/home/meliani/nni-experiments/khf3gia5/environments/local-env/trials/WRf1x,4,,local-env,,,,,,,,,,,
