timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779153821915,O0wYV,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/O0wYV,0,,local-env,LSTM,16,2,0.3,tanh,0.007294272311071412,30,32,15,2,4
1779153835776,O0wYV,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/O0wYV,0,,local-env,,,,,,,,,,,
1779153836455,iBGyK,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iBGyK,1,,local-env,TCN,16,4,0.2,relu,0.004955363220914422,8,128,20,7,8
1779153844810,iBGyK,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iBGyK,1,,local-env,,,,,,,,,,,
1779153845487,oUObK,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/oUObK,2,,local-env,RNN,64,3,0.1,sigmoid,0.00011349779388571197,10,128,5,2,8
1779153852448,oUObK,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/oUObK,2,,local-env,,,,,,,,,,,
1779153853023,tpJhf,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/tpJhf,3,,local-env,LSTM,128,3,0,tanh,0.00015557876281562484,15,32,15,7,2
1779153873410,tpJhf,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/tpJhf,3,,local-env,,,,,,,,,,,
1779153874062,SW4YL,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/SW4YL,4,,local-env,LSTM,32,3,0.1,tanh,1.2617546251036667e-05,6,32,20,2,8
1779153891780,SW4YL,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/SW4YL,4,,local-env,,,,,,,,,,,
1779153892604,baitO,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/baitO,5,,local-env,CNN,64,4,0.5,tanh,8.262655084859873e-05,8,32,5,7,4
1779153898460,baitO,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/baitO,5,,local-env,,,,,,,,,,,
1779153899135,Dc7cx,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Dc7cx,6,,local-env,RNN,32,1,0,sigmoid,0.00929569900586173,20,64,20,3,2
1779153907143,Dc7cx,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Dc7cx,6,,local-env,,,,,,,,,,,
1779153907659,WXCig,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/WXCig,7,,local-env,MLP,256,3,0.2,relu,1.2227463141832502e-05,10,16,5,7,8
1779153912626,WXCig,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/WXCig,7,,local-env,,,,,,,,,,,
1779153913185,RQAKo,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/RQAKo,8,,local-env,TCN,256,1,0.5,sigmoid,0.00014327446156401646,4,32,15,7,4
1779153919323,RQAKo,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/RQAKo,8,,local-env,,,,,,,,,,,
1779153920210,iyx8Z,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iyx8Z,9,,local-env,CNN,256,1,0.3,sigmoid,0.0008350485006445887,30,128,20,5,8
1779153927368,iyx8Z,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iyx8Z,9,,local-env,,,,,,,,,,,
1779153928242,vAsjP,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/vAsjP,10,,local-env,TCN,256,3,0.2,relu,0.0003961639668980444,8,128,20,2,8
1779153938122,vAsjP,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/vAsjP,10,,local-env,,,,,,,,,,,
1779153938784,obeKB,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/obeKB,11,,local-env,RNN,256,4,0.2,tanh,0.0005532301546543004,8,64,15,2,4
1779153954760,obeKB,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/obeKB,11,,local-env,,,,,,,,,,,
1779153955325,lnzEi,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/lnzEi,12,,local-env,RNN,256,2,0.2,sigmoid,8.565163544715248e-05,29,32,5,7,4
1779153964836,lnzEi,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/lnzEi,12,,local-env,,,,,,,,,,,
1779153965361,gwR2E,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/gwR2E,13,,local-env,TCN,128,3,0,tanh,0.00012746297857345142,3,128,15,7,2
1779153973355,gwR2E,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/gwR2E,13,,local-env,,,,,,,,,,,
1779153973893,mI0Ko,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mI0Ko,14,,local-env,CNN,64,4,0.1,sigmoid,0.003689194692658089,14,32,20,2,4
1779153983537,mI0Ko,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mI0Ko,14,,local-env,,,,,,,,,,,
1779153984430,jBAZ5,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/jBAZ5,15,,local-env,GRU,64,4,0.3,sigmoid,1.3883553170428638e-05,10,64,20,2,4
1779154002801,jBAZ5,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/jBAZ5,15,,local-env,,,,,,,,,,,
1779154003467,q2cDN,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/q2cDN,16,,local-env,LSTM,64,2,0.2,sigmoid,4.272005177584196e-05,25,128,15,3,4
1779154015693,q2cDN,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/q2cDN,16,,local-env,,,,,,,,,,,
1779154016500,wibWl,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/wibWl,17,,local-env,Transformer,256,3,0.5,elu,2.90008504935134e-05,26,16,5,5,2
1779154036889,wibWl,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/wibWl,17,,local-env,,,,,,,,,,,
1779154037545,wiFkL,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/wiFkL,18,,local-env,RNN,256,2,0.5,elu,0.0014912181119964133,3,16,15,7,4
1779154046777,wiFkL,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/wiFkL,18,,local-env,,,,,,,,,,,
1779154047583,k2Owj,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/k2Owj,19,,local-env,CNN,16,2,0.2,elu,2.828373429144875e-05,7,16,15,3,8
1779154054054,k2Owj,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/k2Owj,19,,local-env,,,,,,,,,,,
1779154054611,Ud3oY,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Ud3oY,20,,local-env,TCN,128,2,0.1,sigmoid,0.0024723558981901944,24,128,15,3,8
1779154060706,Ud3oY,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Ud3oY,20,,local-env,,,,,,,,,,,
1779154061636,nuzrG,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/nuzrG,21,,local-env,LSTM,256,3,0.5,sigmoid,0.004020462536605941,26,128,20,3,8
1779154116357,nuzrG,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/nuzrG,21,,local-env,,,,,,,,,,,
1779154117222,W0Lct,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/W0Lct,22,,local-env,LSTM,32,3,0.3,elu,0.0001387357463368445,11,64,20,2,4
1779154131926,W0Lct,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/W0Lct,22,,local-env,,,,,,,,,,,
1779154132769,T2rxO,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/T2rxO,23,,local-env,RNN,16,3,0,tanh,1.3057580087855272e-05,23,16,20,5,8
1779154154577,T2rxO,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/T2rxO,23,,local-env,,,,,,,,,,,
1779154155321,A9ggj,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/A9ggj,24,,local-env,CNN,256,3,0,elu,0.0029009864092056363,8,64,15,3,4
1779154166045,A9ggj,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/A9ggj,24,,local-env,,,,,,,,,,,
1779154166861,iq3VF,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iq3VF,25,,local-env,MLP,32,1,0.3,relu,0.0001415202783757471,23,16,20,5,4
1779154177967,iq3VF,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/iq3VF,25,,local-env,,,,,,,,,,,
1779154178907,mpnfB,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mpnfB,26,,local-env,Transformer,64,3,0.3,relu,0.00012073619643169498,14,16,15,7,2
1779154199255,mpnfB,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mpnfB,26,,local-env,,,,,,,,,,,
1779154199952,Ewuib,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Ewuib,27,,local-env,Transformer,64,3,0.3,sigmoid,0.001804326693055896,19,128,5,2,8
1779154209438,Ewuib,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Ewuib,27,,local-env,,,,,,,,,,,
1779154209981,nDMPk,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/nDMPk,28,,local-env,MLP,128,4,0.1,relu,0.0008801185201955268,15,16,10,3,8
1779154215649,nDMPk,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/nDMPk,28,,local-env,,,,,,,,,,,
1779154216514,dBoPw,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/dBoPw,29,,local-env,GRU,32,2,0.1,tanh,2.1819479369986603e-05,10,16,15,7,8
1779154230735,dBoPw,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/dBoPw,29,,local-env,,,,,,,,,,,
1779154231548,XppOv,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/XppOv,30,,local-env,CNN,16,4,0.3,tanh,0.00045119027113499913,3,16,10,3,8
1779154237820,XppOv,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/XppOv,30,,local-env,,,,,,,,,,,
1779154238576,ajrXD,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ajrXD,31,,local-env,RNN,128,4,0.5,relu,0.00023985183384470302,15,16,15,5,2
1779154253126,ajrXD,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ajrXD,31,,local-env,,,,,,,,,,,
1779154254114,IQIgo,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/IQIgo,32,,local-env,MLP,32,3,0.3,elu,0.00027703045409264033,23,32,20,2,2
1779154260381,IQIgo,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/IQIgo,32,,local-env,,,,,,,,,,,
1779154261137,aBxNp,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/aBxNp,33,,local-env,GRU,256,2,0.3,tanh,0.00031569394476962454,6,128,10,7,2
1779154272602,aBxNp,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/aBxNp,33,,local-env,,,,,,,,,,,
1779154273168,ES0oL,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ES0oL,34,,local-env,RNN,32,3,0.3,sigmoid,4.6801768946909416e-05,20,64,15,7,2
1779154280936,ES0oL,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ES0oL,34,,local-env,,,,,,,,,,,
1779154281694,KKrJ1,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/KKrJ1,35,,local-env,RNN,128,4,0.3,relu,0.000679276175824067,10,16,10,2,2
1779154292276,KKrJ1,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/KKrJ1,35,,local-env,,,,,,,,,,,
1779154293219,xm198,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/xm198,36,,local-env,LSTM,32,4,0.3,relu,0.0004945749465953696,4,128,10,7,2
1779154303893,xm198,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/xm198,36,,local-env,,,,,,,,,,,
1779154304754,Rta7F,RUNNING,37,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Rta7F,37,,local-env,MLP,64,4,0.3,tanh,0.0027523034628329124,17,16,15,5,2
1779154311858,Rta7F,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/Rta7F,37,,local-env,,,,,,,,,,,
1779154312789,xErGr,RUNNING,38,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/xErGr,38,,local-env,TCN,32,1,0.2,tanh,0.0011274395390681146,28,32,10,7,2
1779154318225,xErGr,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/xErGr,38,,local-env,,,,,,,,,,,
1779154318822,fr5pf,RUNNING,39,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/fr5pf,39,,local-env,TCN,256,2,0.2,tanh,0.00035827062021769946,28,64,20,7,4
1779154332922,fr5pf,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/fr5pf,39,,local-env,,,,,,,,,,,
1779154333853,mLKeA,RUNNING,40,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mLKeA,40,,local-env,RNN,64,1,0.5,relu,0.0037351630096588415,30,64,20,3,4
1779154343405,mLKeA,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/mLKeA,40,,local-env,,,,,,,,,,,
1779154344385,ozJz6,RUNNING,41,algorithm,0,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ozJz6,41,,local-env,GRU,32,4,0.5,elu,0.00035151789727903685,12,32,20,2,2
1779154365107,ozJz6,SUCCEEDED,,,,/home/meliani/nni-experiments/p48shjrg/environments/local-env/trials/ozJz6,41,,local-env,,,,,,,,,,,
