timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779138548373,rzTMd,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/rzTMd,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779138555571,rzTMd,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/rzTMd,0,,local-env,,,,,,,,,,,
1779138556412,lks6W,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/lks6W,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779138565773,lks6W,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/lks6W,1,,local-env,,,,,,,,,,,
1779138566449,vusF9,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/vusF9,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779138575135,vusF9,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/vusF9,2,,local-env,,,,,,,,,,,
1779138575989,OBg3T,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/OBg3T,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779138585083,OBg3T,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/OBg3T,3,,local-env,,,,,,,,,,,
1779138586026,ZSmeA,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/ZSmeA,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779138594831,ZSmeA,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/ZSmeA,4,,local-env,,,,,,,,,,,
1779138595568,DYgGb,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/DYgGb,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779138603318,DYgGb,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/DYgGb,5,,local-env,,,,,,,,,,,
1779138604116,MLZxQ,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/MLZxQ,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779138611764,MLZxQ,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/MLZxQ,6,,local-env,,,,,,,,,,,
1779138612643,McqJG,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/McqJG,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779138621453,McqJG,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/McqJG,7,,local-env,,,,,,,,,,,
1779138622179,aMANx,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/aMANx,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779138631119,aMANx,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/aMANx,8,,local-env,,,,,,,,,,,
1779138631726,qwryb,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/qwryb,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779138639397,qwryb,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/qwryb,9,,local-env,,,,,,,,,,,
1779138640267,BS2cR,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/BS2cR,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779138647911,BS2cR,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/BS2cR,10,,local-env,,,,,,,,,,,
1779138648792,Vq57M,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/Vq57M,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779138656918,Vq57M,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/Vq57M,11,,local-env,,,,,,,,,,,
1779138657826,rwpsc,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/rwpsc,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779138674303,rwpsc,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/rwpsc,12,,local-env,,,,,,,,,,,
1779138674870,k9uJH,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/k9uJH,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779138685939,k9uJH,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/k9uJH,13,,local-env,,,,,,,,,,,
1779138686910,PqWmB,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/PqWmB,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779138700138,PqWmB,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/PqWmB,14,,local-env,,,,,,,,,,,
1779138700945,lphve,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/lphve,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1779138713862,lphve,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/lphve,15,,local-env,,,,,,,,,,,
1779138714475,zS1rQ,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/zS1rQ,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
1779138733919,zS1rQ,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/zS1rQ,16,,local-env,,,,,,,,,,,
1779138734516,WbXWC,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/WbXWC,17,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,8
1779138754581,WbXWC,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/WbXWC,17,,local-env,,,,,,,,,,,
1779138755566,A1fIh,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/A1fIh,18,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,2
1779138775680,A1fIh,SUCCEEDED,,,,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/A1fIh,18,,local-env,,,,,,,,,,,
1779138776625,dwRjC,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/piq71ykj/environments/local-env/trials/dwRjC,19,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,4
