timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779252392798,jIkYU,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/jIkYU,0,,local-env,Transformer,32,1,0,elu,8.835805130138764e-05,24,64,20,7,8
1779252414813,jIkYU,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/jIkYU,0,,local-env,,,,,,,,,,,
1779252415347,Qw3vA,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/Qw3vA,1,,local-env,RNN,256,2,0.2,relu,5.880983145407108e-05,4,32,10,7,4
1779252429992,Qw3vA,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/Qw3vA,1,,local-env,,,,,,,,,,,
1779252430886,WGCzl,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/WGCzl,2,,local-env,RNN,16,2,0,tanh,0.0035698909765501017,9,32,15,3,4
1779252441936,WGCzl,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/WGCzl,2,,local-env,,,,,,,,,,,
1779252442924,LkoZb,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/LkoZb,3,,local-env,RNN,16,2,0.2,relu,0.009967463836323175,9,64,10,2,8
1779252449858,LkoZb,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/LkoZb,3,,local-env,,,,,,,,,,,
1779252450459,UeShW,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/UeShW,4,,local-env,LSTM,64,2,0.3,sigmoid,7.010228358259359e-05,24,128,10,5,4
1779252469720,UeShW,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/UeShW,4,,local-env,,,,,,,,,,,
1779252470503,oiB6p,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/oiB6p,5,,local-env,GRU,256,4,0.1,tanh,1.1329450767413308e-05,8,16,15,3,8
1779252654506,oiB6p,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/oiB6p,5,,local-env,,,,,,,,,,,
1779252655196,xY5q4,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/xY5q4,6,,local-env,GRU,128,3,0.1,relu,0.00021464042610894798,29,32,20,3,4
1779252817011,xY5q4,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/xY5q4,6,,local-env,,,,,,,,,,,
1779252817840,AFqYf,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/AFqYf,7,,local-env,LSTM,16,1,0.1,sigmoid,0.00017501374260605273,17,32,20,3,2
1779252837504,AFqYf,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/AFqYf,7,,local-env,,,,,,,,,,,
1779252838397,GpLP1,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/GpLP1,8,,local-env,LSTM,128,4,0.3,elu,1.7305396045675768e-05,12,16,10,2,2
1779252918841,GpLP1,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/GpLP1,8,,local-env,,,,,,,,,,,
1779252919485,qUcnB,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/qUcnB,9,,local-env,CNN,256,3,0,tanh,0.0010204146064147588,26,16,15,3,4
1779252965461,qUcnB,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/qUcnB,9,,local-env,,,,,,,,,,,
1779252966061,Udgr4,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/Udgr4,10,,local-env,GRU,128,1,0.1,sigmoid,1.2380677957405527e-05,27,128,5,3,8
1779252978135,Udgr4,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/Udgr4,10,,local-env,,,,,,,,,,,
1779252979094,QEroq,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/QEroq,11,,local-env,GRU,256,3,0.1,sigmoid,3.1368537037111675e-05,28,64,5,7,2
1779253058385,QEroq,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/QEroq,11,,local-env,,,,,,,,,,,
1779253059172,YUD5n,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/YUD5n,12,,local-env,LSTM,32,3,0.5,sigmoid,0.00031557067585251863,30,32,5,5,2
1779253080709,YUD5n,SUCCEEDED,,,,/home/meliani/nni-experiments/pqt4el71/environments/local-env/trials/YUD5n,12,,local-env,,,,,,,,,,,
