timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779157461971,KiWM6,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/KiWM6,0,,local-env,LSTM,256,3,0.2,sigmoid,0.005206717826201707,6,64,10,2,2
1779157500238,KiWM6,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/KiWM6,0,,local-env,,,,,,,,,,,
1779157501039,I2t3E,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/I2t3E,1,,local-env,CNN,64,1,0.5,sigmoid,0.002248703830696416,15,128,20,7,4
1779157511253,I2t3E,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/I2t3E,1,,local-env,,,,,,,,,,,
1779157512089,XUXdS,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XUXdS,2,,local-env,TCN,32,1,0.2,relu,0.0009875266648634922,7,64,10,5,2
1779157520435,XUXdS,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XUXdS,2,,local-env,,,,,,,,,,,
1779157521125,IBvR8,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/IBvR8,3,,local-env,CNN,256,1,0.5,elu,1.3150718772630835e-05,14,32,20,5,8
1779157537280,IBvR8,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/IBvR8,3,,local-env,,,,,,,,,,,
1779157538164,XDfiG,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XDfiG,4,,local-env,RNN,64,1,0.3,tanh,0.00036323388201042707,29,16,20,5,2
1779157568756,XDfiG,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XDfiG,4,,local-env,,,,,,,,,,,
1779157569723,AAoNO,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/AAoNO,5,,local-env,LSTM,128,4,0.3,sigmoid,0.00011008508136247173,6,128,5,5,8
1779157588052,AAoNO,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/AAoNO,5,,local-env,,,,,,,,,,,
1779157588776,e0duu,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/e0duu,6,,local-env,LSTM,32,3,0.3,elu,3.804932814833252e-05,13,128,5,2,2
1779157605026,e0duu,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/e0duu,6,,local-env,,,,,,,,,,,
1779157605837,aEHTo,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/aEHTo,7,,local-env,Transformer,256,3,0.3,elu,3.670659827967748e-05,15,16,15,3,8
1779157974670,aEHTo,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/aEHTo,7,,local-env,,,,,,,,,,,
1779157975466,NqJYO,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NqJYO,8,,local-env,TCN,128,3,0.1,elu,0.00012957780918047403,23,128,15,3,8
1779157994114,NqJYO,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NqJYO,8,,local-env,,,,,,,,,,,
1779157995011,VUHhc,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/VUHhc,9,,local-env,RNN,128,1,0,sigmoid,0.0022296695960614997,20,128,10,7,2
1779158007006,VUHhc,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/VUHhc,9,,local-env,,,,,,,,,,,
1779158007551,NNnBo,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NNnBo,10,,local-env,CNN,16,1,0.3,elu,0.0005160756479520436,24,32,15,2,8
1779158018499,NNnBo,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NNnBo,10,,local-env,,,,,,,,,,,
1779158019090,OFCEF,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/OFCEF,11,,local-env,RNN,256,3,0.2,elu,0.0002310154756102583,28,32,5,2,4
1779158056999,OFCEF,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/OFCEF,11,,local-env,,,,,,,,,,,
1779158057644,L3T63,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/L3T63,12,,local-env,CNN,64,2,0.5,sigmoid,1.2253831599535132e-05,24,128,10,7,4
1779158065874,L3T63,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/L3T63,12,,local-env,,,,,,,,,,,
1779158066675,TIhYa,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/TIhYa,13,,local-env,LSTM,128,3,0.2,elu,1.2039526695990617e-05,6,128,15,7,2
1779158099554,TIhYa,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/TIhYa,13,,local-env,,,,,,,,,,,
1779158100220,wT0Tw,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/wT0Tw,14,,local-env,Transformer,128,4,0.3,elu,8.998468646800044e-05,17,128,15,7,2
1779158159320,wT0Tw,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/wT0Tw,14,,local-env,,,,,,,,,,,
1779158160299,oBD2v,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/oBD2v,15,,local-env,RNN,64,3,0.3,tanh,0.0020557158664628243,23,32,10,5,4
1779158181849,oBD2v,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/oBD2v,15,,local-env,,,,,,,,,,,
1779158182840,I7c2G,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/I7c2G,16,,local-env,LSTM,16,2,0.1,relu,0.0003041119273727416,2,128,20,3,8
1779158193339,I7c2G,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/I7c2G,16,,local-env,,,,,,,,,,,
1779158193868,sOOVh,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/sOOVh,17,,local-env,LSTM,16,2,0.2,tanh,0.0012482280448086044,4,64,5,7,2
1779158202959,sOOVh,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/sOOVh,17,,local-env,,,,,,,,,,,
1779158203896,zWu4i,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/zWu4i,18,,local-env,LSTM,64,3,0,relu,0.00019190714139864944,8,16,5,5,2
1779158227973,zWu4i,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/zWu4i,18,,local-env,,,,,,,,,,,
1779158228942,kdQ3W,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/kdQ3W,19,,local-env,RNN,128,1,0.5,elu,5.0025445705458065e-05,14,128,20,7,8
1779158239958,kdQ3W,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/kdQ3W,19,,local-env,,,,,,,,,,,
1779158240482,QVgVa,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/QVgVa,20,,local-env,TCN,256,4,0.5,elu,2.8354475935423918e-05,4,32,20,7,2
1779158328602,QVgVa,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/QVgVa,20,,local-env,,,,,,,,,,,
1779158329119,Bvy2x,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/Bvy2x,21,,local-env,Transformer,128,1,0.5,elu,0.00010306577009738059,19,16,10,2,4
1779158360697,Bvy2x,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/Bvy2x,21,,local-env,,,,,,,,,,,
1779158361663,RhWay,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/RhWay,22,,local-env,TCN,16,4,0.1,tanh,0.00032948021029920806,15,64,20,3,2
1779158377754,RhWay,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/RhWay,22,,local-env,,,,,,,,,,,
1779158378707,T8HUc,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/T8HUc,23,,local-env,Transformer,32,4,0.2,sigmoid,0.0001239520313670388,24,32,20,5,4
1779158463015,T8HUc,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/T8HUc,23,,local-env,,,,,,,,,,,
1779158463820,XjlK4,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XjlK4,24,,local-env,MLP,256,2,0.2,relu,2.722037011192487e-05,2,64,5,3,8
1779158468588,XjlK4,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/XjlK4,24,,local-env,,,,,,,,,,,
1779158469352,PBp5L,RUNNING,25,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/PBp5L,25,,local-env,RNN,32,2,0.2,sigmoid,1.6701699466131528e-05,14,128,20,7,8
1779158479470,PBp5L,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/PBp5L,25,,local-env,,,,,,,,,,,
1779158480382,HgJXC,RUNNING,26,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/HgJXC,26,,local-env,MLP,256,4,0.3,relu,0.00028918605929394034,27,128,10,5,4
1779158487594,HgJXC,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/HgJXC,26,,local-env,,,,,,,,,,,
1779158488407,a49WQ,RUNNING,27,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/a49WQ,27,,local-env,CNN,16,2,0.2,sigmoid,8.645371200124538e-05,27,32,15,7,8
1779158498267,a49WQ,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/a49WQ,27,,local-env,,,,,,,,,,,
1779158498933,jZwoX,RUNNING,28,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/jZwoX,28,,local-env,RNN,64,3,0.1,sigmoid,0.004901437925800549,12,64,5,3,4
1779158506245,jZwoX,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/jZwoX,28,,local-env,,,,,,,,,,,
1779158506968,fBpYl,RUNNING,29,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/fBpYl,29,,local-env,LSTM,64,1,0,elu,0.004439454352254081,12,128,20,2,2
1779158522300,fBpYl,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/fBpYl,29,,local-env,,,,,,,,,,,
1779158523004,NU79T,RUNNING,30,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NU79T,30,,local-env,GRU,64,4,0.2,relu,0.0005077552946555009,2,16,20,5,4
1779158581124,NU79T,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/NU79T,30,,local-env,,,,,,,,,,,
1779158582055,oIhGW,RUNNING,31,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/oIhGW,31,,local-env,CNN,128,4,0.5,elu,0.0009940916982355968,8,16,10,3,2
1779158601033,oIhGW,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/oIhGW,31,,local-env,,,,,,,,,,,
1779158601589,QxGtj,RUNNING,32,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/QxGtj,32,,local-env,TCN,256,4,0,elu,0.0011444762701976223,22,32,20,2,2
1779158665580,QxGtj,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/QxGtj,32,,local-env,,,,,,,,,,,
1779158666183,Hsoyl,RUNNING,33,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/Hsoyl,33,,local-env,TCN,16,3,0.3,sigmoid,0.001333591152481869,21,32,20,2,2
1779158684315,Hsoyl,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/Hsoyl,33,,local-env,,,,,,,,,,,
1779158685224,R8p1s,RUNNING,34,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/R8p1s,34,,local-env,CNN,16,2,0,relu,0.000119888693381737,14,16,15,2,4
1779158697028,R8p1s,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/R8p1s,34,,local-env,,,,,,,,,,,
1779158697752,GsTm8,RUNNING,35,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/GsTm8,35,,local-env,RNN,128,3,0.5,tanh,0.0002456952978332172,28,16,15,7,2
1779158762352,GsTm8,SUCCEEDED,,,,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/GsTm8,35,,local-env,,,,,,,,,,,
1779158763316,eRLpJ,RUNNING,36,algorithm,0,/home/meliani/nni-experiments/qbjcoslm/environments/local-env/trials/eRLpJ,36,,local-env,MLP,256,2,0.1,tanh,0.0002661300335475568,11,16,5,3,4
