timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779201857974,kAUno,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/kAUno,0,,local-env,Transformer,256,1,0.2,sigmoid,0.0003380853766996873,7,16,20,2,2
1779201895006,kAUno,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/kAUno,0,,local-env,,,,,,,,,,,
1779201895528,YO1DW,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/YO1DW,1,,local-env,RNN,128,3,0.5,sigmoid,0.007071705981480716,19,128,5,7,2
1779201906064,YO1DW,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/YO1DW,1,,local-env,,,,,,,,,,,
1779201907064,e7OIb,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/e7OIb,2,,local-env,RNN,32,4,0.1,sigmoid,1.4499114324867056e-05,15,128,15,3,4
1779201918486,e7OIb,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/e7OIb,2,,local-env,,,,,,,,,,,
1779201919101,CgVQN,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/CgVQN,3,,local-env,Transformer,16,1,0.3,elu,0.002001741346226805,17,64,5,5,2
1779201924686,CgVQN,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/CgVQN,3,,local-env,,,,,,,,,,,
1779201925630,IrP0c,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/IrP0c,4,,local-env,RNN,128,3,0.5,tanh,0.0001430970938756505,16,32,5,7,2
1779201939269,IrP0c,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/IrP0c,4,,local-env,,,,,,,,,,,
1779201940169,wvArf,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/wvArf,5,,local-env,RNN,128,2,0,relu,0.001547560191032678,9,64,20,5,2
1779201954245,wvArf,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/wvArf,5,,local-env,,,,,,,,,,,
1779201955218,zli5f,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/zli5f,6,,local-env,MLP,16,3,0.1,relu,0.00019802958251858153,7,64,20,2,2
1779201963761,zli5f,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/zli5f,6,,local-env,,,,,,,,,,,
1779201964753,EKDSM,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/EKDSM,7,,local-env,RNN,16,3,0.1,tanh,2.6352589931984937e-05,10,64,5,3,8
1779201973250,EKDSM,SUCCEEDED,,,,/home/meliani/nni-experiments/vu80gp4y/environments/local-env/trials/EKDSM,7,,local-env,,,,,,,,,,,
