timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779198301745,ofCyk,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ofCyk,0,,local-env,MLP,16,1,0.2,tanh,0.00011573464086119133,25,128,20,2,8
1779198307499,ofCyk,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ofCyk,0,,local-env,,,,,,,,,,,
1779198308279,BkFG1,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/BkFG1,1,,local-env,MLP,64,3,0.5,tanh,7.205839447693005e-05,22,32,10,2,4
1779198315093,BkFG1,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/BkFG1,1,,local-env,,,,,,,,,,,
1779198315810,cI11p,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/cI11p,2,,local-env,CNN,32,3,0.5,elu,0.00026158962696547396,17,128,5,3,8
1779198320882,cI11p,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/cI11p,2,,local-env,,,,,,,,,,,
1779198321836,ZRQRn,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ZRQRn,3,,local-env,Transformer,128,1,0,elu,3.371427576804427e-05,13,64,20,2,8
1779198354807,ZRQRn,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ZRQRn,3,,local-env,,,,,,,,,,,
1779198355410,XNZrx,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/XNZrx,4,,local-env,RNN,128,3,0.5,relu,0.0003265851917740488,28,16,15,2,4
1779198437536,XNZrx,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/XNZrx,4,,local-env,,,,,,,,,,,
1779198438070,CdOkk,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/CdOkk,5,,local-env,LSTM,32,1,0.3,relu,0.00013528254381510042,29,32,20,2,8
1779198468608,CdOkk,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/CdOkk,5,,local-env,,,,,,,,,,,
1779198469611,pVm8x,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/pVm8x,6,,local-env,LSTM,64,1,0.3,relu,0.0018875611322272856,29,16,10,3,8
1779198533566,pVm8x,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/pVm8x,6,,local-env,,,,,,,,,,,
1779198534225,ScTwZ,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ScTwZ,7,,local-env,Transformer,32,4,0.3,relu,0.00013327148456529419,24,32,5,7,4
1779198562045,ScTwZ,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/ScTwZ,7,,local-env,,,,,,,,,,,
1779198562783,cZEMj,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/cZEMj,8,,local-env,RNN,128,2,0.2,tanh,6.479406928796527e-05,14,32,5,5,2
1779198581660,cZEMj,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/cZEMj,8,,local-env,,,,,,,,,,,
1779198582324,dXXoM,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dXXoM,9,,local-env,MLP,64,3,0.3,tanh,0.0005066382610738571,29,128,10,2,8
1779198593232,dXXoM,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dXXoM,9,,local-env,,,,,,,,,,,
1779198593865,dgHVm,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dgHVm,10,,local-env,LSTM,256,4,0.1,relu,0.00011718297067966806,5,16,20,3,8
1779198799977,dgHVm,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dgHVm,10,,local-env,,,,,,,,,,,
1779198800558,dbgcX,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dbgcX,11,,local-env,GRU,128,2,0.1,relu,0.008912077114594857,25,32,10,2,2
1779198862608,dbgcX,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/dbgcX,11,,local-env,,,,,,,,,,,
1779198863141,vtxNH,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/vtxNH,12,,local-env,MLP,32,2,0,tanh,0.0018546673719070127,29,32,10,7,4
1779198870357,vtxNH,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/vtxNH,12,,local-env,,,,,,,,,,,
1779198871171,Z2A5t,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/Z2A5t,13,,local-env,MLP,32,3,0.2,sigmoid,0.0009528366973761142,28,64,20,5,4
1779198880897,Z2A5t,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/Z2A5t,13,,local-env,,,,,,,,,,,
1779198881708,CQv2z,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/CQv2z,14,,local-env,GRU,256,2,0,sigmoid,0.00036062874830856143,28,128,20,7,2
1779199083977,CQv2z,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/CQv2z,14,,local-env,,,,,,,,,,,
1779199084916,xAjW3,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/xAjW3,15,,local-env,CNN,128,4,0,relu,5.976293461238283e-05,28,128,15,3,4
1779199100723,xAjW3,SUCCEEDED,,,,/home/meliani/nni-experiments/x27pa0sl/environments/local-env/trials/xAjW3,15,,local-env,,,,,,,,,,,
