timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778602181188,XBc2g,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/XBc2g,0,,local-env,CNN,128,4,0.5,sigmoid,0.007643371930019994,14,128,10,2,2
1778602186489,XBc2g,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/XBc2g,0,,local-env,,,,,,,,,,,
1778602187217,NV8Ag,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/NV8Ag,1,,local-env,LSTM,64,2,0.3,tanh,0.00011731828156303017,11,16,15,7,2
1778602200427,NV8Ag,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/NV8Ag,1,,local-env,,,,,,,,,,,
1778602201250,QbxeI,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/QbxeI,2,,local-env,TCN,64,2,0.3,tanh,0.008396985922599076,21,128,10,7,2
1778602206578,QbxeI,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/QbxeI,2,,local-env,,,,,,,,,,,
1778602207276,gwfWe,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/gwfWe,3,,local-env,CNN,16,3,0.3,tanh,0.008519713285462143,16,32,20,5,8
1778602215666,gwfWe,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/gwfWe,3,,local-env,,,,,,,,,,,
1778602216304,tQjHg,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/tQjHg,4,,local-env,GRU,128,4,0.5,elu,3.685070975806753e-05,10,128,15,2,8
1778602232907,tQjHg,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/tQjHg,4,,local-env,,,,,,,,,,,
1778602233836,hW1VG,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/hW1VG,5,,local-env,CNN,32,2,0.1,elu,0.000495330194932042,20,64,15,3,2
1778602239369,hW1VG,SUCCEEDED,,,,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/hW1VG,5,,local-env,,,,,,,,,,,
1778602240364,FgiWY,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/y3etonul/environments/local-env/trials/FgiWY,6,,local-env,CNN,32,2,0,sigmoid,0.0026353813900249997,7,32,5,7,4
