timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1778645389107,ODCwC,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ODCwC,0,,local-env,TCN,256,3,0.5,sigmoid,2.032683105789673e-05,18,16,15,7,2
1778645464996,ODCwC,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ODCwC,0,,local-env,,,,,,,,,,,
1778645465753,DDkYA,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/DDkYA,1,,local-env,LSTM,64,3,0.1,relu,0.0003224515589992015,12,128,15,3,4
1778645492279,DDkYA,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/DDkYA,1,,local-env,,,,,,,,,,,
1778645492807,KRL2M,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/KRL2M,2,,local-env,CNN,128,3,0.1,sigmoid,0.00048314651674148185,11,64,20,7,4
1778645510326,KRL2M,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/KRL2M,2,,local-env,,,,,,,,,,,
1778645510851,ABFIy,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ABFIy,3,,local-env,LSTM,256,4,0,tanh,0.003325935178655856,6,64,20,3,4
1778645626871,ABFIy,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ABFIy,3,,local-env,,,,,,,,,,,
1778645627463,WICZ5,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/WICZ5,4,,local-env,CNN,256,1,0.3,sigmoid,0.003620429956385783,8,64,20,3,2
1778645635233,WICZ5,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/WICZ5,4,,local-env,,,,,,,,,,,
1778645635993,oaVDW,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/oaVDW,5,,local-env,GRU,256,2,0.2,elu,0.0077351993402704575,10,64,10,5,4
1778645679566,oaVDW,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/oaVDW,5,,local-env,,,,,,,,,,,
1778645680544,IwDJG,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/IwDJG,6,,local-env,TCN,256,1,0.1,elu,3.8493242868177215e-05,16,128,10,7,2
1778645685953,IwDJG,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/IwDJG,6,,local-env,,,,,,,,,,,
1778645686566,YVd3r,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/YVd3r,7,,local-env,MLP,16,2,0.5,relu,8.963911732095974e-05,29,64,20,2,8
1778645692654,YVd3r,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/YVd3r,7,,local-env,,,,,,,,,,,
1778645693599,LPQQu,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/LPQQu,8,,local-env,Transformer,16,1,0.5,elu,1.3766755338158358e-05,26,16,20,7,4
1778645715324,LPQQu,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/LPQQu,8,,local-env,,,,,,,,,,,
1778645716141,W6rAe,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/W6rAe,9,,local-env,CNN,64,4,0.3,relu,0.0010275749081193714,28,64,20,3,2
1778645730245,W6rAe,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/W6rAe,9,,local-env,,,,,,,,,,,
1778645731169,ul6Dz,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ul6Dz,10,,local-env,TCN,128,3,0.2,tanh,0.0021931723095126553,27,64,15,3,4
1778645747634,ul6Dz,SUCCEEDED,,,,/home/meliani/nni-experiments/y739hbla/environments/local-env/trials/ul6Dz,10,,local-env,,,,,,,,,,,
