timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779390488415,EL4dn,0,0,28.72638702392578,0.012596129439771175,0.06578783690929413,28.72638702392578
1779390515786,NLUkb,1,0,45.5257682800293,0.021211132407188416,0.10622463375329971,45.5257682800293
1779390549335,x3Z6h,2,0,35.4256706237793,0.01642812415957451,0.08372718840837479,35.4256706237793
1779390562423,LkOir,3,0,51.6218147277832,0.02437835931777954,0.11909820884466171,51.6218147277832
1779390601182,hne0e,4,0,28.02764129638672,0.011568146757781506,0.06044265627861023,28.02764129638672
1779390673231,AUblC,5,0,26.278606414794922,0.011447535827755928,0.05767420306801796,26.278606414794922
1779390702032,H7K6R,6,0,49.364986419677734,0.02315896935760975,0.11432955414056778,49.364986419677734
1779390799984,NmMJw,7,0,29.610511779785156,0.011941705830395222,0.06377309560775757,29.610511779785156
1779390831688,jPwBW,8,0,27.448495864868164,0.010222774930298328,0.05587540939450264,27.448495864868164
1779390947813,dAW1z,9,0,29.34783935546875,0.011421773582696915,0.06044323742389679,29.34783935546875
1779390967146,OzFiw,10,0,28.114028930664062,0.010456501506268978,0.059844981878995895,28.114028930664062
1779390999948,HeZXA,11,0,34.235130310058594,0.011725110933184624,0.06460604071617126,34.235130310058594
1779391016088,hrca9,12,0,65.43586730957031,0.031769078224897385,0.14585956931114197,65.43586730957031
1779391047628,LrYKc,13,0,30.318130493164062,0.011515888385474682,0.06661063432693481,30.318130493164062
1779391062066,GFERB,14,0,28.39861297607422,0.011178916320204735,0.061239782720804214,28.39861297607422
1779391078545,evLOm,15,0,29.084003448486328,0.01120914425700903,0.05830485373735428,29.084003448486328
1779391284377,EbK3q,16,0,78.41607666015625,0.0391094833612442,0.16914360225200653,78.41607666015625
1779391293325,Q7yAT,17,0,50.99211502075195,0.024069273844361305,0.11785294860601425,50.99211502075195
1779391303521,cJaNB,18,0,33.459129333496094,0.015518252737820148,0.0789761170744896,33.459129333496094
1779391333234,mwhI7,19,0,28.850910186767578,0.009588516317307949,0.05638401582837105,28.850910186767578
1779391349293,dlebf,20,0,127.79058837890625,0.0612693652510643,0.2168021947145462,127.79058837890625
1779391384099,tpiQI,21,0,31.77984619140625,0.014707335270941257,0.07499203830957413,31.77984619140625
1779391466567,o8cp7,22,0,69.43948364257812,0.03393001854419708,0.1530689150094986,69.43948364257812
1779391480093,VMDTz,23,0,32.752193450927734,0.015052498318254948,0.07706338167190552,32.752193450927734
1779391489762,rEaZR,24,0,28.989212036132812,0.010897163301706314,0.05998407304286957,28.989212036132812
