timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779385519582,fsRSW,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/fsRSW,0,,local-env,CNN,32,1,0.3,elu,0.0003957560088842713,7,128,10,7,2
1779385578832,fsRSW,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/fsRSW,0,,local-env,,,,,,,,,,,
1779385579376,AQoOQ,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/AQoOQ,1,,local-env,Transformer,32,1,0.1,elu,0.0013157984417712498,12,32,10,7,4
1779385598745,AQoOQ,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/AQoOQ,1,,local-env,,,,,,,,,,,
1779385599448,eqHZG,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eqHZG,2,,local-env,RNN,128,1,0,relu,0.00039718102125193937,23,128,15,2,4
1779385614961,eqHZG,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eqHZG,2,,local-env,,,,,,,,,,,
1779385615507,LGrek,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/LGrek,3,,local-env,TCN,128,3,0.2,relu,0.0004591257099114135,23,16,5,5,4
1779385634087,LGrek,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/LGrek,3,,local-env,,,,,,,,,,,
1779385635062,escLq,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/escLq,4,,local-env,Transformer,256,4,0.3,tanh,0.00267049752176484,7,128,10,7,2
1779385688269,escLq,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/escLq,4,,local-env,,,,,,,,,,,
1779385689189,BHKHH,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/BHKHH,5,,local-env,TCN,128,4,0.5,elu,0.0014206835257448629,12,16,5,7,8
1779385715439,BHKHH,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/BHKHH,5,,local-env,,,,,,,,,,,
1779385716460,RUDM3,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/RUDM3,6,,local-env,RNN,32,1,0.1,relu,0.00012394890056423918,23,128,20,2,4
1779385777869,RUDM3,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/RUDM3,6,,local-env,,,,,,,,,,,
1779385778464,hIsNb,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/hIsNb,7,,local-env,RNN,256,1,0,elu,2.3560824454018952e-05,17,128,5,5,4
1779385791638,hIsNb,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/hIsNb,7,,local-env,,,,,,,,,,,
1779385792541,cQ1je,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/cQ1je,8,,local-env,CNN,16,1,0.3,elu,0.0002749488411060978,19,16,5,5,2
1779385804495,cQ1je,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/cQ1je,8,,local-env,,,,,,,,,,,
1779385805122,KxeXX,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/KxeXX,9,,local-env,CNN,16,2,0.3,relu,0.0009358248005776861,19,32,5,5,4
1779385817529,KxeXX,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/KxeXX,9,,local-env,,,,,,,,,,,
1779385818195,eaGmG,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eaGmG,10,,local-env,CNN,16,2,0.1,relu,0.003964402247408216,9,32,5,5,4
1779385830643,eaGmG,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eaGmG,10,,local-env,,,,,,,,,,,
1779385831250,dxwwN,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/dxwwN,11,,local-env,TCN,16,2,0.3,relu,0.000901280984111638,19,32,10,5,4
1779385843688,dxwwN,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/dxwwN,11,,local-env,,,,,,,,,,,
1779385844291,eip2y,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eip2y,12,,local-env,CNN,16,1,0,elu,0.00020921117024379866,24,16,5,5,4
1779385853989,eip2y,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/eip2y,12,,local-env,,,,,,,,,,,
1779385854841,L4DUf,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/L4DUf,13,,local-env,TCN,16,2,0.3,relu,0.0013965776740314803,19,32,10,5,4
1779385864761,L4DUf,SUCCEEDED,,,,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/L4DUf,13,,local-env,,,,,,,,,,,
1779385865375,nn6JW,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/roley1ku/environments/local-env/trials/nn6JW,14,,local-env,Transformer,16,2,0.3,relu,0.002794322112775455,14,32,10,5,4
