timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779388777747,IspYr,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/IspYr,0,,local-env,LSTM,32,4,0.1,sigmoid,9.950429124928602e-05,19,64,15,2,4
1779388804285,IspYr,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/IspYr,0,,local-env,,,,,,,,,,,
1779388804826,tzJ2a,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/tzJ2a,1,,local-env,Transformer,32,2,0.3,sigmoid,0.001872665263597035,3,64,15,3,2
1779388819373,tzJ2a,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/tzJ2a,1,,local-env,,,,,,,,,,,
1779388820380,TYQAc,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/TYQAc,2,,local-env,GRU,16,3,0.5,relu,2.5670140364171603e-05,22,64,10,5,4
1779388845427,TYQAc,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/TYQAc,2,,local-env,,,,,,,,,,,
1779388845946,WGUKk,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/WGUKk,3,,local-env,LSTM,32,3,0.5,relu,7.970625159961282e-05,7,16,10,3,2
1779388877586,WGUKk,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/WGUKk,3,,local-env,,,,,,,,,,,
1779388878506,wbSPN,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/wbSPN,4,,local-env,RNN,64,4,0.5,sigmoid,0.0011936567323900659,17,32,10,2,2
1779388897773,wbSPN,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/wbSPN,4,,local-env,,,,,,,,,,,
1779388898540,Xl7aA,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/Xl7aA,5,,local-env,TCN,32,4,0.5,tanh,0.0003171609080715378,19,64,15,2,4
1779388910503,Xl7aA,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/Xl7aA,5,,local-env,,,,,,,,,,,
1779388911068,yJbOR,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/yJbOR,6,,local-env,Transformer,32,4,0.1,sigmoid,0.0003155809078754398,3,32,15,7,2
1779388961460,yJbOR,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/yJbOR,6,,local-env,,,,,,,,,,,
1779388962220,jt1FJ,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jt1FJ,7,,local-env,CNN,256,2,0.1,sigmoid,0.009639861560395159,3,64,15,3,8
1779388973905,jt1FJ,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jt1FJ,7,,local-env,,,,,,,,,,,
1779388974752,imdln,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/imdln,8,,local-env,GRU,32,2,0.3,relu,0.0030381911000158784,6,64,15,3,2
1779388989672,imdln,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/imdln,8,,local-env,,,,,,,,,,,
1779388990283,sHQnq,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/sHQnq,9,,local-env,CNN,16,4,0.3,relu,3.522592111772343e-05,19,16,15,5,4
1779389002873,sHQnq,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/sHQnq,9,,local-env,,,,,,,,,,,
1779389003823,JzYwv,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/JzYwv,10,,local-env,CNN,16,1,0.2,elu,1.3553258109266106e-05,24,128,5,5,2
1779389013583,JzYwv,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/JzYwv,10,,local-env,,,,,,,,,,,
1779389014383,qfyyw,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/qfyyw,11,,local-env,GRU,16,2,0.2,relu,0.0010224765732027637,15,16,15,7,2
1779389105596,qfyyw,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/qfyyw,11,,local-env,,,,,,,,,,,
1779389106169,onzev,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/onzev,12,,local-env,GRU,16,2,0.5,relu,0.0016911936135791889,12,16,20,7,4
1779389132837,onzev,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/onzev,12,,local-env,,,,,,,,,,,
1779389133740,Jq6p4,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/Jq6p4,13,,local-env,GRU,16,2,0.2,relu,0.0018177406546576044,14,128,15,7,2
1779389149944,Jq6p4,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/Jq6p4,13,,local-env,,,,,,,,,,,
1779389150790,l6qDU,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/l6qDU,14,,local-env,MLP,128,2,0.3,sigmoid,0.007749855669757111,3,128,15,3,4
1779389160876,l6qDU,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/l6qDU,14,,local-env,,,,,,,,,,,
1779389161843,YBZBy,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/YBZBy,15,,local-env,Transformer,32,3,0.3,sigmoid,0.0025523127600239077,3,64,15,3,2
1779389189124,YBZBy,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/YBZBy,15,,local-env,,,,,,,,,,,
1779389189935,UH42h,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/UH42h,16,,local-env,GRU,256,2,0.5,relu,0.004621343284102439,12,128,20,7,4
1779389232693,UH42h,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/UH42h,16,,local-env,,,,,,,,,,,
1779389233534,jDV7r,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jDV7r,17,,local-env,GRU,32,2,0.5,elu,0.004665169495240584,12,128,10,2,4
1779389256997,jDV7r,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jDV7r,17,,local-env,,,,,,,,,,,
1779389257601,fPik2,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/fPik2,18,,local-env,GRU,16,2,0.2,relu,0.0020704680753391804,15,16,15,2,2
1779389291600,fPik2,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/fPik2,18,,local-env,,,,,,,,,,,
1779389292194,sIghN,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/sIghN,19,,local-env,Transformer,32,2,0.3,sigmoid,0.001958999708196525,26,64,15,7,2
1779389317941,sIghN,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/sIghN,19,,local-env,,,,,,,,,,,
1779389318754,jKRtB,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jKRtB,20,,local-env,GRU,256,2,0.2,sigmoid,0.002407986202851147,15,128,15,7,2
1779389370086,jKRtB,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/jKRtB,20,,local-env,,,,,,,,,,,
1779389370853,KYynL,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/KYynL,21,,local-env,GRU,64,1,0.2,relu,0.0033979315453463565,29,16,15,2,4
1779389391662,KYynL,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/KYynL,21,,local-env,,,,,,,,,,,
1779389392404,wsPKs,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/wsPKs,22,,local-env,GRU,16,2,0.2,relu,0.0007961346446569777,24,16,20,2,2
1779389427471,wsPKs,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/wsPKs,22,,local-env,,,,,,,,,,,
1779389428475,hsEhf,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/hsEhf,23,,local-env,GRU,128,2,0.3,relu,0.0030504563510142333,15,16,15,2,2
1779389473538,hsEhf,SUCCEEDED,,,,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/hsEhf,23,,local-env,,,,,,,,,,,
1779389474066,u8uPx,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/iu2jzfcl/environments/local-env/trials/u8uPx,24,,local-env,GRU,16,2,0.2,sigmoid,0.005645971068083922,15,16,15,2,2
