timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779392651715,ysD0x,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/ysD0x,0,,local-env,CNN,64,3,0.3,sigmoid,0.00032370879833446936,4,32,20,7,4
1779392666582,ysD0x,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/ysD0x,0,,local-env,,,,,,,,,,,
1779392667269,dhQMD,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/dhQMD,1,,local-env,MLP,16,4,0.3,sigmoid,0.008815277183694252,21,128,15,3,2
1779392675823,dhQMD,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/dhQMD,1,,local-env,,,,,,,,,,,
1779392676807,eDtuj,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/eDtuj,2,,local-env,RNN,32,4,0.3,sigmoid,0.004799323182530611,13,128,15,2,2
1779392698553,eDtuj,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/eDtuj,2,,local-env,,,,,,,,,,,
1779392699389,h6eXF,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/h6eXF,3,,local-env,RNN,32,3,0.3,tanh,0.0034516486396410284,24,16,10,7,8
1779392739246,h6eXF,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/h6eXF,3,,local-env,,,,,,,,,,,
1779392740023,GPJyj,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/GPJyj,4,,local-env,CNN,64,2,0.1,elu,1.867106743896022e-05,4,16,5,3,8
1779392751468,GPJyj,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/GPJyj,4,,local-env,,,,,,,,,,,
1779392752070,C3kau,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/C3kau,5,,local-env,TCN,128,3,0.1,sigmoid,0.0022403497532613196,17,32,15,5,4
1779392775631,C3kau,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/C3kau,5,,local-env,,,,,,,,,,,
1779392776161,Y6U37,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/Y6U37,6,,local-env,MLP,64,4,0.1,relu,0.005802137168378598,23,128,15,2,8
1779392788150,Y6U37,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/Y6U37,6,,local-env,,,,,,,,,,,
1779392788709,uJJEp,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/uJJEp,7,,local-env,LSTM,64,1,0.1,sigmoid,0.006995791469947025,17,16,5,7,2
1779392807183,uJJEp,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/uJJEp,7,,local-env,,,,,,,,,,,
1779392807780,a4UvK,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/a4UvK,8,,local-env,RNN,16,4,0.3,sigmoid,0.0010856872041238063,2,16,5,7,8
1779392832472,a4UvK,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/a4UvK,8,,local-env,,,,,,,,,,,
1779392833359,GrXoa,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/GrXoa,9,,local-env,CNN,128,1,0.1,tanh,2.0468900611420236e-05,23,64,5,3,4
1779392840814,GrXoa,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/GrXoa,9,,local-env,,,,,,,,,,,
1779392841413,jAH5G,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/jAH5G,10,,local-env,TCN,256,2,0,sigmoid,0.00010086236013177729,3,64,20,3,4
1779392856113,jAH5G,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/jAH5G,10,,local-env,,,,,,,,,,,
1779392856949,h4Bts,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/h4Bts,11,,local-env,LSTM,16,2,0,sigmoid,3.379303306683435e-05,14,64,15,3,2
1779392873256,h4Bts,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/h4Bts,11,,local-env,,,,,,,,,,,
1779392873994,rI3Wl,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/rI3Wl,12,,local-env,MLP,16,1,0.2,sigmoid,0.00274189314596853,13,64,20,3,4
1779392884259,rI3Wl,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/rI3Wl,12,,local-env,,,,,,,,,,,
1779392885026,nLa8p,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/nLa8p,13,,local-env,GRU,64,3,0,elu,5.6410957297686126e-05,16,64,5,2,4
1779392906988,nLa8p,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/nLa8p,13,,local-env,,,,,,,,,,,
1779392907590,nJ6Vc,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/nJ6Vc,14,,local-env,CNN,64,1,0.1,tanh,0.00016148137574013247,24,128,15,3,4
1779392924106,nJ6Vc,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/nJ6Vc,14,,local-env,,,,,,,,,,,
1779392924640,w0oU5,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/w0oU5,15,,local-env,TCN,128,3,0.2,tanh,6.213675780293466e-05,7,128,5,5,8
1779392935129,w0oU5,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/w0oU5,15,,local-env,,,,,,,,,,,
1779392935686,JJnEw,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/JJnEw,16,,local-env,LSTM,32,3,0.1,sigmoid,0.0006133892005182863,9,16,10,7,2
1779392958342,JJnEw,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/JJnEw,16,,local-env,,,,,,,,,,,
1779392959244,Yzf0w,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/Yzf0w,17,,local-env,Transformer,64,4,0.1,sigmoid,0.008501254410930153,22,64,15,3,4
1779393004252,Yzf0w,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/Yzf0w,17,,local-env,,,,,,,,,,,
1779393004908,D0LaU,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/D0LaU,18,,local-env,Transformer,32,3,0.5,sigmoid,0.007367617611389949,12,32,10,5,8
1779393076202,D0LaU,SUCCEEDED,,,,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/D0LaU,18,,local-env,,,,,,,,,,,
1779393076851,ziqdv,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/43oe7s9p/environments/local-env/trials/ziqdv,19,,local-env,Transformer,16,3,0,elu,1.7360134307222543e-05,12,16,15,2,8
