timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779395318467,E63cC,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/E63cC,0,,local-env,CNN,256,4,0.1,relu,0.0004530394950849288,9,128,15,2,8
1779395332690,E63cC,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/E63cC,0,,local-env,,,,,,,,,,,
1779395333503,E7J8l,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/E7J8l,1,,local-env,MLP,32,1,0.2,sigmoid,0.0013664976679177727,10,128,10,3,2
1779395339978,E7J8l,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/E7J8l,1,,local-env,,,,,,,,,,,
1779395340526,RFKpw,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/RFKpw,2,,local-env,GRU,64,3,0.1,tanh,0.009687598072829746,2,32,20,3,4
1779395367865,RFKpw,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/RFKpw,2,,local-env,,,,,,,,,,,
1779395368585,Qpqns,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/Qpqns,3,,local-env,LSTM,64,3,0.2,tanh,5.12153126066062e-05,24,64,5,5,8
1779395387466,Qpqns,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/Qpqns,3,,local-env,,,,,,,,,,,
1779395388134,Wx2JH,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/Wx2JH,4,,local-env,CNN,256,2,0.3,relu,0.0007707946084151652,28,16,10,5,4
1779395405996,Wx2JH,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/Wx2JH,4,,local-env,,,,,,,,,,,
1779395406677,PNQSD,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/PNQSD,5,,local-env,MLP,16,1,0,elu,0.002910818014940511,22,128,5,2,2
1779395414387,PNQSD,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/PNQSD,5,,local-env,,,,,,,,,,,
1779395415217,WDGLh,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/WDGLh,6,,local-env,Transformer,64,1,0.5,tanh,0.005091004609006191,17,64,15,5,2
1779395428141,WDGLh,SUCCEEDED,,,,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/WDGLh,6,,local-env,,,,,,,,,,,
1779395428762,agHIZ,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/n2thauw1/environments/local-env/trials/agHIZ,7,,local-env,RNN,16,2,0.2,relu,0.0010552955293950369,10,32,5,5,8
