timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779384894257,q4Pye,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/q4Pye,0,,local-env,Transformer,64,3,0,relu,0.0018446308371533526,24,32,10,2,4
1779384917656,q4Pye,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/q4Pye,0,,local-env,,,,,,,,,,,
1779384918325,Ygnbw,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Ygnbw,1,,local-env,CNN,64,2,0.2,elu,0.008535471442799628,24,128,15,3,2
1779384929877,Ygnbw,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Ygnbw,1,,local-env,,,,,,,,,,,
1779384930878,sLB7t,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/sLB7t,2,,local-env,TCN,32,4,0.5,tanh,0.00022084478102027717,13,64,20,5,8
1779384945614,sLB7t,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/sLB7t,2,,local-env,,,,,,,,,,,
1779384946420,n8Iyy,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/n8Iyy,3,,local-env,Transformer,64,3,0.2,sigmoid,0.0028752260808081686,18,16,15,5,2
1779385000724,n8Iyy,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/n8Iyy,3,,local-env,,,,,,,,,,,
1779385001578,HyoVy,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/HyoVy,4,,local-env,RNN,32,1,0.5,tanh,0.002383536876869526,27,64,15,3,4
1779385041738,HyoVy,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/HyoVy,4,,local-env,,,,,,,,,,,
1779385042439,TGrIP,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/TGrIP,5,,local-env,CNN,64,4,0.5,relu,0.0021015841919720195,3,128,15,2,4
1779385083316,TGrIP,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/TGrIP,5,,local-env,,,,,,,,,,,
1779385084245,HBex0,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/HBex0,6,,local-env,MLP,64,1,0.3,elu,0.0054757744871512075,4,32,20,3,8
1779385096468,HBex0,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/HBex0,6,,local-env,,,,,,,,,,,
1779385097296,bevDE,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/bevDE,7,,local-env,MLP,256,1,0.2,tanh,0.0023081141487745526,26,128,5,5,2
1779385104784,bevDE,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/bevDE,7,,local-env,,,,,,,,,,,
1779385105346,LHldW,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/LHldW,8,,local-env,CNN,128,3,0.3,tanh,3.90267961237037e-05,30,32,10,7,4
1779385120167,LHldW,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/LHldW,8,,local-env,,,,,,,,,,,
1779385120904,C47Td,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/C47Td,9,,local-env,Transformer,64,1,0,elu,0.00046076045995022493,8,32,10,2,4
1779385134574,C47Td,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/C47Td,9,,local-env,,,,,,,,,,,
1779385135465,G4YBN,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/G4YBN,10,,local-env,Transformer,32,2,0.5,elu,0.0005243523312091225,21,32,20,3,2
1779385159530,G4YBN,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/G4YBN,10,,local-env,,,,,,,,,,,
1779385160531,CyAQh,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/CyAQh,11,,local-env,GRU,128,4,0.5,tanh,0.0066020810671575825,7,128,15,7,4
1779385194302,CyAQh,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/CyAQh,11,,local-env,,,,,,,,,,,
1779385195130,JB9xt,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/JB9xt,12,,local-env,TCN,256,2,0.5,sigmoid,0.002367646459812732,4,16,20,2,8
1779385251036,JB9xt,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/JB9xt,12,,local-env,,,,,,,,,,,
1779385251607,khZ2q,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/khZ2q,13,,local-env,TCN,16,3,0.1,tanh,7.215040539189499e-05,22,32,15,2,8
1779385290155,khZ2q,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/khZ2q,13,,local-env,,,,,,,,,,,
1779385290927,Wg04F,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Wg04F,14,,local-env,TCN,256,1,0.1,relu,0.0007159374530611085,3,32,5,2,4
1779385298253,Wg04F,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Wg04F,14,,local-env,,,,,,,,,,,
1779385298970,KfMwr,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/KfMwr,15,,local-env,MLP,32,2,0.1,relu,0.00012275246208302625,28,16,20,2,8
1779385312352,KfMwr,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/KfMwr,15,,local-env,,,,,,,,,,,
1779385313013,NUu5P,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/NUu5P,16,,local-env,RNN,32,1,0.1,elu,2.3379218964835207e-05,9,32,15,5,2
1779385328007,NUu5P,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/NUu5P,16,,local-env,,,,,,,,,,,
1779385328554,UrtaZ,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/UrtaZ,17,,local-env,MLP,128,3,0.3,tanh,0.0006289028956536464,28,32,15,3,2
1779385340903,UrtaZ,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/UrtaZ,17,,local-env,,,,,,,,,,,
1779385341604,yRZcn,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/yRZcn,18,,local-env,GRU,64,2,0.3,elu,1.7934624359363714e-05,17,16,20,2,2
1779385378713,yRZcn,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/yRZcn,18,,local-env,,,,,,,,,,,
1779385379680,Cxhkr,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Cxhkr,19,,local-env,TCN,32,3,0.2,sigmoid,0.003912160881074189,9,32,10,2,8
1779385393792,Cxhkr,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Cxhkr,19,,local-env,,,,,,,,,,,
1779385394759,Vy32b,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Vy32b,20,,local-env,LSTM,16,3,0.1,tanh,4.6658814130855626e-05,30,64,10,7,8
1779385437459,Vy32b,SUCCEEDED,,,,/home/meliani/nni-experiments/ac5bjdmq/environments/local-env/trials/Vy32b,20,,local-env,,,,,,,,,,,
