timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779383521273,qS9aE,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/qS9aE,0,,local-env,GRU,256,1,0.5,tanh,0.0020370374002422155,22,128,10,2,8
1779383529041,qS9aE,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/qS9aE,0,,local-env,,,,,,,,,,,
1779383529814,H9A8K,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/H9A8K,1,,local-env,GRU,128,3,0,relu,0.0008664799339804746,9,16,5,7,4
1779383538744,H9A8K,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/H9A8K,1,,local-env,,,,,,,,,,,
1779383539355,WsDOH,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/WsDOH,2,,local-env,LSTM,64,3,0.2,tanh,3.220145887408325e-05,11,32,5,5,4
1779383552159,WsDOH,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/WsDOH,2,,local-env,,,,,,,,,,,
1779383552894,YwNss,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/YwNss,3,,local-env,CNN,16,3,0.2,relu,0.0022419875553824757,24,16,5,2,2
1779383559898,YwNss,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/YwNss,3,,local-env,,,,,,,,,,,
1779383560433,fOGtQ,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/fOGtQ,4,,local-env,Transformer,32,3,0.5,relu,8.34547151639307e-05,9,128,15,7,4
1779383578794,fOGtQ,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/fOGtQ,4,,local-env,,,,,,,,,,,
1779383579480,riUcu,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/riUcu,5,,local-env,TCN,16,2,0,relu,1.71970378069767e-05,14,64,20,3,8
1779383592347,riUcu,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/riUcu,5,,local-env,,,,,,,,,,,
1779383593090,A0CGO,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/A0CGO,6,,local-env,LSTM,64,2,0.2,sigmoid,0.0005841302238183362,24,32,15,5,4
1779383621975,A0CGO,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/A0CGO,6,,local-env,,,,,,,,,,,
1779383622671,ku0mH,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/ku0mH,7,,local-env,Transformer,32,1,0.2,sigmoid,0.0005099319374242642,29,16,5,5,2
1779383634893,ku0mH,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/ku0mH,7,,local-env,,,,,,,,,,,
1779383635736,jYq7n,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/jYq7n,8,,local-env,MLP,64,2,0.3,relu,3.613405934178167e-05,4,32,15,5,4
1779383647695,jYq7n,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/jYq7n,8,,local-env,,,,,,,,,,,
1779383648271,zGR8k,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/zGR8k,9,,local-env,GRU,128,3,0.3,relu,0.0020647457400614724,29,64,15,5,8
1779383677636,zGR8k,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/zGR8k,9,,local-env,,,,,,,,,,,
1779383678333,SFJNx,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/SFJNx,10,,local-env,RNN,64,2,0.2,sigmoid,0.009779486845119445,19,128,15,7,8
1779383693553,SFJNx,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/SFJNx,10,,local-env,,,,,,,,,,,
1779383694372,r6meC,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/r6meC,11,,local-env,LSTM,256,4,0,relu,0.00033537057300285733,20,16,5,7,4
1779383730556,r6meC,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/r6meC,11,,local-env,,,,,,,,,,,
1779383731448,IOA2x,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/IOA2x,12,,local-env,CNN,64,2,0.1,sigmoid,0.0001936602160968863,19,128,10,5,2
1779383742425,IOA2x,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/IOA2x,12,,local-env,,,,,,,,,,,
1779383742987,uyrGC,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/uyrGC,13,,local-env,MLP,256,4,0.1,sigmoid,0.001727692079297634,3,32,10,2,4
1779383755806,uyrGC,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/uyrGC,13,,local-env,,,,,,,,,,,
1779383756532,kW1ef,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/kW1ef,14,,local-env,RNN,256,3,0.3,tanh,0.005080272250185589,25,32,5,5,4
1779383772073,kW1ef,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/kW1ef,14,,local-env,,,,,,,,,,,
1779383773090,pIWXg,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/pIWXg,15,,local-env,RNN,256,2,0.1,relu,0.00015754441825537057,14,16,5,3,8
1779383787498,pIWXg,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/pIWXg,15,,local-env,,,,,,,,,,,
1779383788150,lmwKi,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/lmwKi,16,,local-env,CNN,128,1,0.2,sigmoid,5.7555457999302905e-05,25,64,5,7,4
1779383799333,lmwKi,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/lmwKi,16,,local-env,,,,,,,,,,,
1779383800216,xw3fC,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/xw3fC,17,,local-env,LSTM,256,4,0.3,tanh,0.0011934157652507239,3,32,20,5,2
1779383902674,xw3fC,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/xw3fC,17,,local-env,,,,,,,,,,,
1779383903223,KFWjg,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/KFWjg,18,,local-env,RNN,256,2,0.2,elu,4.990370714302163e-05,10,64,10,7,2
1779383918137,KFWjg,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/KFWjg,18,,local-env,,,,,,,,,,,
1779383918778,L9DyE,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/L9DyE,19,,local-env,Transformer,128,4,0.5,sigmoid,1.782886030496622e-05,20,128,10,2,8
1779383960348,L9DyE,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/L9DyE,19,,local-env,,,,,,,,,,,
1779383960868,cwnQ1,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/cwnQ1,20,,local-env,MLP,64,1,0.3,tanh,0.001603076096232794,17,128,10,3,4
1779383971246,cwnQ1,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/cwnQ1,20,,local-env,,,,,,,,,,,
1779383971914,N6fdx,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/N6fdx,21,,local-env,MLP,64,1,0.5,relu,0.000720277518275756,13,128,20,2,8
1779383983978,N6fdx,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/N6fdx,21,,local-env,,,,,,,,,,,
1779383984994,uHgCj,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/uHgCj,22,,local-env,LSTM,16,3,0,elu,0.00013380165048041258,22,64,5,5,8
1779384007351,uHgCj,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/uHgCj,22,,local-env,,,,,,,,,,,
1779384008070,V5WjT,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/V5WjT,23,,local-env,Transformer,256,4,0.5,tanh,1.4228459672424075e-05,16,16,15,2,8
1779384184112,V5WjT,SUCCEEDED,,,,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/V5WjT,23,,local-env,,,,,,,,,,,
1779384185048,Csp4r,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/5rmyfjbh/environments/local-env/trials/Csp4r,24,,local-env,GRU,128,3,0.3,tanh,6.37776233131328e-05,17,64,10,3,8
