timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779384316569,OqOjm,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/OqOjm,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779384334568,OqOjm,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/OqOjm,0,,local-env,,,,,,,,,,,
1779384335143,Wxdym,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/Wxdym,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779384351556,Wxdym,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/Wxdym,1,,local-env,,,,,,,,,,,
1779384352219,ouTYd,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/ouTYd,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779384368860,ouTYd,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/ouTYd,2,,local-env,,,,,,,,,,,
1779384369793,wyhy1,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/wyhy1,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779384411310,wyhy1,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/wyhy1,3,,local-env,,,,,,,,,,,
1779384412217,ssikk,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/ssikk,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779384450807,ssikk,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/ssikk,4,,local-env,,,,,,,,,,,
1779384451326,kxhPp,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/kxhPp,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779384462733,kxhPp,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/kxhPp,5,,local-env,,,,,,,,,,,
1779384463364,dMVyw,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/dMVyw,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779384474284,dMVyw,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/dMVyw,6,,local-env,,,,,,,,,,,
1779384474894,y6eta,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/y6eta,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779384487358,y6eta,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/y6eta,7,,local-env,,,,,,,,,,,
1779384487922,CsPti,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/CsPti,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779384501882,CsPti,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/CsPti,8,,local-env,,,,,,,,,,,
1779384502470,jmIum,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/jmIum,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779384516245,jmIum,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/jmIum,9,,local-env,,,,,,,,,,,
1779384517021,sjm4K,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/sjm4K,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779384527163,sjm4K,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/sjm4K,10,,local-env,,,,,,,,,,,
1779384528053,qbJlg,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/qbJlg,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779384540956,qbJlg,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/qbJlg,11,,local-env,,,,,,,,,,,
1779384541587,g3Q6K,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/g3Q6K,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
1779384555351,g3Q6K,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/g3Q6K,12,,local-env,,,,,,,,,,,
1779384556126,FsT1P,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/FsT1P,13,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,4
1779384571511,FsT1P,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/FsT1P,13,,local-env,,,,,,,,,,,
1779384572175,cF1PK,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/cF1PK,14,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,8
1779384596772,cF1PK,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/cF1PK,14,,local-env,,,,,,,,,,,
1779384597845,OMf2v,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/OMf2v,15,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,2
1779384660084,OMf2v,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/OMf2v,15,,local-env,,,,,,,,,,,
1779384660740,y8qEC,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/y8qEC,16,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,4
1779384676202,y8qEC,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/y8qEC,16,,local-env,,,,,,,,,,,
1779384676803,prCV7,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/prCV7,17,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,3,8
1779384692707,prCV7,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/prCV7,17,,local-env,,,,,,,,,,,
1779384693365,AQDkj,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/AQDkj,18,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,2
1779384709140,AQDkj,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/AQDkj,18,,local-env,,,,,,,,,,,
1779384709932,amSAD,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/amSAD,19,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,4
1779384723253,amSAD,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/amSAD,19,,local-env,,,,,,,,,,,
1779384723980,guV8o,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/guV8o,20,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,5,8
1779384736474,guV8o,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/guV8o,20,,local-env,,,,,,,,,,,
1779384737018,yZRbe,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/yZRbe,21,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,2
1779384749963,yZRbe,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/yZRbe,21,,local-env,,,,,,,,,,,
1779384750562,mWhn0,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/mWhn0,22,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,4
1779384763340,mWhn0,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/mWhn0,22,,local-env,,,,,,,,,,,
1779384764110,Q43DE,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/Q43DE,23,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,7,8
1779384778003,Q43DE,SUCCEEDED,,,,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/Q43DE,23,,local-env,,,,,,,,,,,
1779384778644,N7WaQ,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/7igdye6j/environments/local-env/trials/N7WaQ,24,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,15,2,2
