timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779386250994,n8or7,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/n8or7,0,,local-env,TCN,32,1,0.3,sigmoid,0.0012959942061736758,24,32,5,2,4
1779386260054,n8or7,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/n8or7,0,,local-env,,,,,,,,,,,
1779386261034,EcTxI,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/EcTxI,1,,local-env,LSTM,16,2,0.5,relu,0.0008108960218540382,26,16,20,2,2
1779386324325,EcTxI,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/EcTxI,1,,local-env,,,,,,,,,,,
1779386325153,avyzF,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/avyzF,2,,local-env,CNN,64,2,0.5,relu,3.5315002508299425e-05,26,16,20,2,2
1779386346988,avyzF,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/avyzF,2,,local-env,,,,,,,,,,,
1779386347703,MN5mr,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/MN5mr,3,,local-env,Transformer,32,3,0,relu,0.00015307298651317966,3,128,10,7,2
1779386366109,MN5mr,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/MN5mr,3,,local-env,,,,,,,,,,,
1779386366769,wsDdw,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/wsDdw,4,,local-env,MLP,128,1,0.5,sigmoid,0.0006436192923083683,3,16,20,3,2
1779386435976,wsDdw,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/wsDdw,4,,local-env,,,,,,,,,,,
1779386437017,qt6zW,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/qt6zW,5,,local-env,Transformer,256,1,0,sigmoid,0.00028803032444427797,3,128,10,7,2
1779386450678,qt6zW,SUCCEEDED,,,,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/qt6zW,5,,local-env,,,,,,,,,,,
1779386451588,v3KiT,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/dpsqxukh/environments/local-env/trials/v3KiT,6,,local-env,Transformer,16,4,0.1,elu,0.0003202302862068185,18,32,20,7,2
