timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779395256758,OyuxF,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/OyuxF,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779395266258,OyuxF,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/OyuxF,0,,local-env,,,,,,,,,,,
1779395266801,fkGW6,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/fkGW6,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779395275729,fkGW6,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/fkGW6,1,,local-env,,,,,,,,,,,
1779395276338,eKPu8,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/eKPu8,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779395290961,eKPu8,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/eKPu8,2,,local-env,,,,,,,,,,,
1779395291891,bO72H,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/bO72H,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779395300498,bO72H,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/bO72H,3,,local-env,,,,,,,,,,,
1779395301449,VNxjz,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/VNxjz,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779395310954,VNxjz,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/VNxjz,4,,local-env,,,,,,,,,,,
1779395311485,Tmw5H,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/Tmw5H,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779395320545,Tmw5H,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/Tmw5H,5,,local-env,,,,,,,,,,,
1779395321517,wAa6q,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/wAa6q,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779395332891,wAa6q,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/wAa6q,6,,local-env,,,,,,,,,,,
1779395333555,LmOiG,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/LmOiG,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779395340553,LmOiG,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/LmOiG,7,,local-env,,,,,,,,,,,
1779395341084,L51sB,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/L51sB,8,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,8
1779395348862,L51sB,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/L51sB,8,,local-env,,,,,,,,,,,
1779395349609,SPNSn,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/SPNSn,9,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,2
1779395361562,SPNSn,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/SPNSn,9,,local-env,,,,,,,,,,,
1779395362152,O4dBd,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/O4dBd,10,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,4
1779395375222,O4dBd,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/O4dBd,10,,local-env,,,,,,,,,,,
1779395376194,QasCg,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/QasCg,11,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,7,8
1779395386461,QasCg,SUCCEEDED,,,,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/QasCg,11,,local-env,,,,,,,,,,,
1779395387230,uXcDX,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/gybfth25/environments/local-env/trials/uXcDX,12,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,10,2,2
