timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779388126579,vqUkF,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/vqUkF,0,,local-env,GRU,128,3,0.3,relu,0.00016600384399271858,20,64,15,7,2
1779388165267,vqUkF,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/vqUkF,0,,local-env,,,,,,,,,,,
1779388166152,tM9NI,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/tM9NI,1,,local-env,GRU,64,1,0.1,sigmoid,2.3173301135437075e-05,8,64,20,5,8
1779388190306,tM9NI,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/tM9NI,1,,local-env,,,,,,,,,,,
1779388191237,fV86K,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/fV86K,2,,local-env,LSTM,128,2,0.5,relu,3.958817343966894e-05,21,16,5,3,8
1779388216410,fV86K,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/fV86K,2,,local-env,,,,,,,,,,,
1779388217290,Ru7bX,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Ru7bX,3,,local-env,GRU,128,4,0.5,elu,0.00041611823145142323,23,16,20,3,4
1779388312056,Ru7bX,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Ru7bX,3,,local-env,,,,,,,,,,,
1779388312959,Wr4qF,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Wr4qF,4,,local-env,Transformer,32,2,0.1,elu,0.00406035894329269,26,16,20,7,2
1779388397772,Wr4qF,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Wr4qF,4,,local-env,,,,,,,,,,,
1779388398371,erSwK,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/erSwK,5,,local-env,MLP,16,3,0,relu,2.1092993408977665e-05,15,128,15,2,2
1779388406507,erSwK,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/erSwK,5,,local-env,,,,,,,,,,,
1779388407409,oyJZo,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/oyJZo,6,,local-env,RNN,256,1,0.2,relu,0.0006049055827479508,14,128,5,5,2
1779388416096,oyJZo,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/oyJZo,6,,local-env,,,,,,,,,,,
1779388416961,jloFm,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/jloFm,7,,local-env,RNN,64,1,0.2,relu,5.201148510536715e-05,29,64,5,3,8
1779388424713,jloFm,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/jloFm,7,,local-env,,,,,,,,,,,
1779388425508,WyAn6,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/WyAn6,8,,local-env,MLP,64,3,0.5,tanh,0.0022797363139075337,16,32,20,7,4
1779388435916,WyAn6,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/WyAn6,8,,local-env,,,,,,,,,,,
1779388436539,Y0pIe,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Y0pIe,9,,local-env,GRU,16,3,0.1,tanh,0.00011081914083361213,4,16,10,5,8
1779388457336,Y0pIe,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/Y0pIe,9,,local-env,,,,,,,,,,,
1779388458097,AM8JW,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/AM8JW,10,,local-env,LSTM,64,1,0.5,sigmoid,0.0011025946799305452,27,128,15,3,8
1779388472271,AM8JW,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/AM8JW,10,,local-env,,,,,,,,,,,
1779388473157,dRd9B,RUNNING,11,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/dRd9B,11,,local-env,CNN,128,1,0.3,relu,0.00016311790126201752,6,64,15,3,8
1779388482460,dRd9B,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/dRd9B,11,,local-env,,,,,,,,,,,
1779388483198,IqGIJ,RUNNING,12,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/IqGIJ,12,,local-env,CNN,64,1,0.3,relu,4.276868335013197e-05,20,64,5,5,4
1779388489626,IqGIJ,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/IqGIJ,12,,local-env,,,,,,,,,,,
1779388490242,P7DKl,RUNNING,13,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/P7DKl,13,,local-env,Transformer,128,1,0.1,relu,0.0007683564587253663,29,128,5,5,8
1779388502045,P7DKl,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/P7DKl,13,,local-env,,,,,,,,,,,
1779388502801,tGcPp,RUNNING,14,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/tGcPp,14,,local-env,LSTM,128,1,0.3,sigmoid,3.835211824369455e-05,6,64,10,2,2
1779388518565,tGcPp,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/tGcPp,14,,local-env,,,,,,,,,,,
1779388519373,VBDWx,RUNNING,15,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/VBDWx,15,,local-env,TCN,256,2,0.3,elu,0.004105193794213448,22,16,20,3,4
1779388543463,VBDWx,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/VBDWx,15,,local-env,,,,,,,,,,,
1779388544445,AfxiG,RUNNING,16,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/AfxiG,16,,local-env,Transformer,64,4,0.2,sigmoid,0.0012643725082916331,15,16,20,2,2
1779388595284,AfxiG,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/AfxiG,16,,local-env,,,,,,,,,,,
1779388596020,VMTac,RUNNING,17,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/VMTac,17,,local-env,LSTM,64,1,0.5,sigmoid,0.00011544282475613261,22,64,20,2,8
1779388612027,VMTac,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/VMTac,17,,local-env,,,,,,,,,,,
1779388612556,fEtMe,RUNNING,18,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/fEtMe,18,,local-env,RNN,64,3,0.3,tanh,0.001437290556336784,6,64,10,7,4
1779388623718,fEtMe,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/fEtMe,18,,local-env,,,,,,,,,,,
1779388624615,HUAmx,RUNNING,19,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/HUAmx,19,,local-env,RNN,32,2,0.2,elu,3.123245682424028e-05,24,16,5,2,8
1779388635664,HUAmx,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/HUAmx,19,,local-env,,,,,,,,,,,
1779388636645,sJQhr,RUNNING,20,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/sJQhr,20,,local-env,GRU,128,3,0.2,relu,1.0996356000338315e-05,20,32,15,7,2
1779388682424,sJQhr,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/sJQhr,20,,local-env,,,,,,,,,,,
1779388683226,zjp7L,RUNNING,21,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/zjp7L,21,,local-env,RNN,256,4,0.2,relu,0.0001930344681346893,5,64,15,7,2
1779388699420,zjp7L,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/zjp7L,21,,local-env,,,,,,,,,,,
1779388700271,KSzXb,RUNNING,22,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/KSzXb,22,,local-env,TCN,256,4,0,relu,0.00023537911546752386,9,64,15,7,2
1779388728993,KSzXb,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/KSzXb,22,,local-env,,,,,,,,,,,
1779388729846,A2n1x,RUNNING,23,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/A2n1x,23,,local-env,RNN,256,4,0.2,relu,8.609557834954075e-05,5,64,15,7,2
1779388754668,A2n1x,SUCCEEDED,,,,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/A2n1x,23,,local-env,,,,,,,,,,,
1779388755393,ie1WM,RUNNING,24,algorithm,0,/home/meliani/nni-experiments/gyu4sxn1/environments/local-env/trials/ie1WM,24,,local-env,RNN,256,4,0.2,relu,8.341197573564407e-05,5,32,15,7,2
