timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779392586032,RbHV3,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/RbHV3,0,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,2
1779392597058,RbHV3,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/RbHV3,0,,local-env,,,,,,,,,,,
1779392598099,UDfgJ,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/UDfgJ,1,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,4
1779392611141,UDfgJ,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/UDfgJ,1,,local-env,,,,,,,,,,,
1779392612149,Mrpvz,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/Mrpvz,2,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,2,8
1779392622079,Mrpvz,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/Mrpvz,2,,local-env,,,,,,,,,,,
1779392622702,NarMu,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/NarMu,3,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,2
1779392632892,NarMu,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/NarMu,3,,local-env,,,,,,,,,,,
1779392633745,bQwC1,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/bQwC1,4,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,4
1779392644709,bQwC1,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/bQwC1,4,,local-env,,,,,,,,,,,
1779392645276,FpuJ5,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/FpuJ5,5,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,3,8
1779392656018,FpuJ5,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/FpuJ5,5,,local-env,,,,,,,,,,,
1779392656819,HYXdz,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/HYXdz,6,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,2
1779392669079,HYXdz,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/HYXdz,6,,local-env,,,,,,,,,,,
1779392669863,nXu2o,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/nXu2o,7,,local-env,LSTM,16,1,0,relu,0.00031622776601683783,2,16,5,5,4
1779392679563,nXu2o,SUCCEEDED,,,,/home/meliani/nni-experiments/su52eoa8/environments/local-env/trials/nXu2o,7,,local-env,,,,,,,,,,,
