timestamp,trial_job_id,event_type,parameter_id,parameter_source,parameter_index,log_dir,job_id,message,environment,model_type,units,num_layers,dropout,activation,lr,window_size,batch_size,epochs,kernel_size,attention_heads
1779385442776,NvWfO,RUNNING,0,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/NvWfO,0,,local-env,RNN,32,4,0,sigmoid,0.007026084731533925,26,64,10,3,2
1779385457796,NvWfO,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/NvWfO,0,,local-env,,,,,,,,,,,
1779385458330,RzOFy,RUNNING,1,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/RzOFy,1,,local-env,CNN,32,3,0.3,tanh,0.00026704643759154005,26,32,10,7,8
1779385472962,RzOFy,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/RzOFy,1,,local-env,,,,,,,,,,,
1779385473889,kr50e,RUNNING,2,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/kr50e,2,,local-env,CNN,256,4,0.3,tanh,0.0013295430686170806,20,32,10,5,4
1779385495708,kr50e,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/kr50e,2,,local-env,,,,,,,,,,,
1779385496467,ds8xG,RUNNING,3,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/ds8xG,3,,local-env,TCN,256,3,0.3,relu,0.00016160016096952178,12,16,20,7,4
1779385592478,ds8xG,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/ds8xG,3,,local-env,,,,,,,,,,,
1779385593058,FSvBE,RUNNING,4,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/FSvBE,4,,local-env,GRU,32,3,0.3,sigmoid,0.00041104504185521614,16,64,15,5,2
1779385624616,FSvBE,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/FSvBE,4,,local-env,,,,,,,,,,,
1779385625153,L8lRr,RUNNING,5,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/L8lRr,5,,local-env,LSTM,128,3,0.1,tanh,0.0003256577758215299,30,64,15,5,2
1779385671198,L8lRr,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/L8lRr,5,,local-env,,,,,,,,,,,
1779385671835,Ha3t7,RUNNING,6,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/Ha3t7,6,,local-env,RNN,32,2,0.3,sigmoid,0.0016731818385847138,21,64,10,7,4
1779385687786,Ha3t7,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/Ha3t7,6,,local-env,,,,,,,,,,,
1779385688420,df6kM,RUNNING,7,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/df6kM,7,,local-env,RNN,128,3,0.3,sigmoid,0.00010743470640052237,16,32,15,5,2
1779385749584,df6kM,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/df6kM,7,,local-env,,,,,,,,,,,
1779385750361,brIjn,RUNNING,8,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/brIjn,8,,local-env,Transformer,32,3,0.3,sigmoid,0.00017640970091156496,14,64,15,5,2
1779385795825,brIjn,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/brIjn,8,,local-env,,,,,,,,,,,
1779385796681,NW8YZ,RUNNING,9,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/NW8YZ,9,,local-env,RNN,32,3,0,relu,0.0013348125418902244,16,64,5,2,2
1779385812868,NW8YZ,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/NW8YZ,9,,local-env,,,,,,,,,,,
1779385813752,Nx05Y,RUNNING,10,algorithm,0,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/Nx05Y,10,,local-env,GRU,32,2,0.3,sigmoid,0.0005150171261003537,8,32,15,5,8
1779385839263,Nx05Y,SUCCEEDED,,,,/home/meliani/nni-experiments/tklm6dsg/environments/local-env/trials/Nx05Y,10,,local-env,,,,,,,,,,,
