timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779476857075,mWxsX,0,0,34.618995666503906,0.0007366197532974184,0.021613862365484238,34.618995666503906
1779476872385,fbvR1,1,0,271.6164245605469,0.04522060230374336,0.19752433896064758,271.6164245605469
1779476881428,FFxOj,2,0,25.931594848632812,0.0006718830554746091,0.020388664677739143,25.931594848632812
1779476893819,IbfNl,3,0,24.859209060668945,0.0006536933942697942,0.02015545405447483,24.859209060668945
1779476905049,BHCWl,4,0,51.877742767333984,0.0029080910608172417,0.04386262595653534,51.877742767333984
1779476920670,My7sM,5,0,38.25202941894531,0.001500287209637463,0.033825621008872986,38.25202941894531
1779476929594,TVr2a,6,0,24.77672576904297,0.000477040302939713,0.017184147611260414,24.77672576904297
1779476938192,Z3L3g,7,0,26.85757064819336,0.0007959744543768466,0.02284258045256138,26.85757064819336
1779476947714,Ho9kY,8,0,37.614646911621094,0.0014522570418193936,0.03322131559252739,37.614646911621094
1779476963346,Zq7Am,9,0,23.7130126953125,0.0005713443970307708,0.01876893825829029,23.7130126953125
1779476987672,yWowF,10,0,48.09821319580078,0.0022061574272811413,0.042463887482881546,48.09821319580078
1779476998781,YDp02,11,0,174.86834716796875,0.01657487265765667,0.1269606202840805,174.86834716796875
1779477014277,FEj2W,12,0,83.9875717163086,0.005488381255418062,0.07093343138694763,83.9875717163086
1779477025275,iy2kk,13,0,44.2672233581543,0.0019154564943164587,0.03912697732448578,44.2672233581543
1779477042886,CAThu,14,0,29.546701431274414,0.0005750578129664063,0.018548741936683655,29.546701431274414
1779477054207,cHdn8,15,0,24.813209533691406,0.0006726306164637208,0.020543040707707405,24.813209533691406
1779477064126,lvMzC,16,0,61.201419830322266,0.0032937484793365,0.05294716730713844,61.201419830322266
1779477094016,oH8gX,17,0,23.306272506713867,0.0005286215455271304,0.017930081114172935,23.306272506713867
1779477105456,Jpbr5,18,0,50.402896881103516,0.0024117939174175262,0.04387766867876053,50.402896881103516
1779477115526,RmYdS,19,0,23.61612319946289,0.0005322651704773307,0.017938295379281044,23.61612319946289
1779477124372,UTMGo,20,0,50.885643005371094,0.0024480512365698814,0.04489629343152046,50.885643005371094
1779477131027,gwB1Z,21,0,33.52887725830078,0.0011981376446783543,0.029479973018169403,33.52887725830078
1779477143195,Xd1gm,22,0,24.31549835205078,0.0004558515502139926,0.016725869849324226,24.31549835205078
1779477158615,puxFA,23,0,59.38249206542969,0.00354334176518023,0.05115174129605293,59.38249206542969
